报告日期,2020-09-30,2020-06-30,2019-12-31,2018-12-31,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),,50986,44328,32839,35755,14572,24589,20448,23777,
结算备付金(万元),,,,,,,,,,
拆出资金(万元),,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,
应收票据(万元),,,,,,,,,,
应收账款(万元),,22501,13395,16828,15304,18914,12657,9592,8561,
预付款项(万元),,17498,16739,14723,11208,10330,10769,10419,10570,
应收保费(万元),,,,,,,,,,
应收分保账款(万元),,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,
应收利息(万元),,,,,,,,,,
应收股利(万元),,,,,,,,,,
其他应收款(万元),,2934,,,,2984,2519,2488,3139,
应收出口退税(万元),,,,,,,,,,
应收补贴款(万元),,,,,,,,,,
应收保证金(万元),,,,,,,,,,
内部应收款(万元),,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,
存货(万元),,63223,60906,52828,41074,32180,33746,29077,26539,
待摊费用(万元),,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,
其他流动资产(万元),,2427,1837,626,1155,364,889,994,7000,
流动资产合计(万元),176105,159568,140099,120184,106409,79344,85170,73019,79586,
发放贷款及垫款(万元),,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,
长期应收款(万元),,,,,,,,,,
长期股权投资(万元),,,,,,52,,,,
其他长期投资(万元),,,,,,,,,,
投资性房地产(万元),,,,,,,,,,
固定资产原值(万元),,46596,,,,,,,,
累计折旧(万元),,9752,,,,,,,,
固定资产净值(万元),,36844,,,,,,,,
固定资产减值准备(万元),,,,,,,,,,
固定资产(万元),,36844,,,,20273,20702,7008,6152,
在建工程(万元),,123,,,,133,18,11628,3882,
工程物资(万元),,,,,,,,,,
固定资产清理(万元),,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,
油气资产(万元),,,,,,,,,,
无形资产(万元),,2882,2981,2706,1912,1853,1810,1701,1615,
开发支出(万元),,,,,,,,,,
商誉(万元),,5758,5758,,,,,,,
长期待摊费用(万元),,14808,13531,10533,8193,7612,8416,10606,9125,
股权分置流通权(万元),,,,,,,,,,
递延所得税资产(万元),,602,535,621,432,333,352,410,390,
其他非流动资产(万元),,,,,,,,,,
非流动资产合计(万元),,61017,59621,48834,42491,30256,31297,31353,21163,
资产总计(万元),239255,220585,199720,169018,148900,109599,116468,104371,100749,
短期借款(万元),,7400,2000,5000,9200,6600,8000,8500,13800,
向中央银行借款(万元),,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,
拆入资金(万元),,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,
应付票据(万元),,43969,44046,,,15219,25501,29138,26248,
应付账款(万元),,79415,73430,,,49488,47602,39886,37051,
预收账款(万元),,121,782,717,896,1272,1092,461,437,
卖出回购金融资产款(万元),,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,
应付职工薪酬(万元),,7310,6942,5673,5152,4037,4876,4345,4292,
应交税费(万元),,2961,5882,7167,4291,1485,2083,1846,1898,
应付利息(万元),,13,9,15,20,10,12,14,18,
应付股利(万元),,,,,,,,,,
其他应交款(万元),,,,,,,,,,
应付保证金(万元),,,,,,,,,,
内部应付款(万元),,,,,,,,,,
其他应付款(万元),,3542,,,,1791,1438,1723,1367,
预提费用(万元),,,,,,,,,,
预计流动负债(万元),,,,,,,,,,
应付分保账款(万元),,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,
国际票证结算(万元),,,,,,,,,,
国内票证结算(万元),,,,,,,,,,
递延收益(万元),,,,,,,,,,
应付短期债券(万元),,,,,,,,,,
一年内到期的非流动负债(万元),,540,540,540,540,,66,131,131,
其他流动负债(万元),,7,,,,,,,,
流动负债合计(万元),159909,147018,136239,118337,109119,79902,90669,86044,85242,
长期借款(万元),,3330,3600,4140,4680,,,66,197,
应付债券(万元),,,,,,,,,,
长期应付款(万元),,,,,,,,,,
专项应付款(万元),,,,,,,,,,
预计非流动负债(万元),,,,,,,,,,
长期递延收益(万元),,867,1512,1534,888,351,474,403,266,
递延所得税负债(万元),,541,429,112,,,,,,
其他非流动负债(万元),,,,,,,,,,
非流动负债合计(万元),,4738,5541,5786,5568,351,474,469,463,
负债合计(万元),,151756,141780,124123,114688,80253,91143,86512,85705,
实收资本(或股本)(万元),,3975,3975,3975,3975,3975,3975,3975,3975,
资本公积(万元),,12465,12465,12285,12089,11972,11870,11667,10521,
减:库存股(万元),,,,,,,,,,
专项储备(万元),,,,,,,,,,
盈余公积(万元),,4166,4169,3573,2421,1816,1816,1149,800,
一般风险准备(万元),,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,
未分配利润(万元),,49663,38701,26248,16820,12604,8639,1849,401,
拟分配现金股利(万元),,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,
归属于母公司股东权益合计(万元),76258,70269,59309,46081,35305,30367,26300,18640,15697,
少数股东权益(万元),,-1441,-1369,-1185,-1092,-1021,-975,-781,-653,
所有者权益(或股东权益)合计(万元),,68828,57940,44895,34212,29346,25325,17859,15045,
负债和所有者权益(或股东权益)总计(万元),239255,220585,199720,169018,148900,109599,116468,104371,100749,		
