报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2017-09-30,2016-12-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),38007,39816,65672,25452,15863,16467,37630,14393,10156,10688,16647,9277,20136,14464,
结算备付金(万元),,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,
交易性金融资产(万元),322470,270480,,,,,,12,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,
应收票据(万元),,,,,,,,,,,,,,,
应收账款(万元),280,235,150,167,,,,208,,,41,2102,2234,1445,
预付款项(万元),3886,2441,5089,3380,8517,2304,4434,5051,3017,2430,4851,1486,5141,6670,
应收保费(万元),,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,
其他应收款(万元),,3126,,3032,,,,2718,,,544,1365,1469,777,
应收出口退税(万元),,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,
存货(万元),94415,88863,90204,106031,88343,90263,91672,83224,81448,62437,61887,61761,61781,52042,
待摊费用(万元),,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,
其他流动资产(万元),624,731,277146,199946,199954,167237,98961,101053,90247,64527,61450,34030,7030,,
流动资产合计(万元),463523,405693,443085,338008,315893,278974,235265,206658,186419,140925,145421,110021,97791,75399,
发放贷款及垫款(万元),,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,398,398,398,398,398,110,110,110,110,110,110,
持有至到期投资(万元),,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,
长期股权投资(万元),1970,,,,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,
投资性房地产(万元),1283,1300,1340,1340,,1400,,,,,,,,,
固定资产原值(万元),,216724,,191065,176974,170694,167227,,,,,,,,
累计折旧(万元),,57349,,48711,46366,43760,39269,,,,,,,,
固定资产净值(万元),,159375,,142354,130608,126934,127958,,,,,,,,
固定资产减值准备(万元),,2106,,2106,1446,1446,1901,,,,,,,,
固定资产(万元),,157269,,140248,129162,125488,126057,120303,107277,89733,84702,76621,70778,55563,
在建工程(万元),,38944,,30363,26619,15953,6090,8823,8243,8521,8072,6902,4858,5495,
工程物资(万元),,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,
生产性生物资产(万元),31271,19540,16394,17897,20014,18687,17122,15845,15682,13418,13134,11995,11710,8466,
公益性生物资产(万元),,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,
无形资产(万元),18278,18392,17529,17568,17303,17417,16599,16688,15013,14439,14169,13132,12666,11450,
开发支出(万元),,,,,,,,,,,,,,,
商誉(万元),794,794,,,,,,,,,,,,,
长期待摊费用(万元),23829,21660,19237,17571,15266,14139,11470,10605,7946,4271,3921,3333,3460,3188,
股权分置流通权(万元),,,,,,,,,,,,,,,
递延所得税资产(万元),,,,,,,,,,,,,,1,
其他非流动资产(万元),12101,8302,4298,5810,,1454,355,959,2145,1168,,,,,
非流动资产合计(万元),303300,266599,239044,231196,208763,194937,178092,173621,156416,131660,124108,112093,103583,84275,
资产总计(万元),766823,672292,682129,569204,524656,473911,413357,380280,342835,272586,269528,222114,201374,159674,
短期借款(万元),800,800,1000,3900,3900,10280,10045,49545,17460,20100,31490,28878,52200,16339,
向中央银行借款(万元),,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,58,31,,,,
衍生金融负债(万元),,,,,,,,,,,,,,,
应付票据(万元),,,,,,,,,,,,50,50,,
应付账款(万元),42521,37632,,43896,,,,28764,,,16853,12801,20179,16317,
预收账款(万元),546,253,182,274,288,209,184,225,426,55,53,23,103,15,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,
应付职工薪酬(万元),20161,16805,18007,21357,17517,15390,15363,6801,12704,6581,5750,6646,3831,3576,
应交税费(万元),771,387,269,430,665,415,375,387,423,249,238,203,92,513,
应付利息(万元),14,14,18,8,,,,61,,,50,1392,244,36,
应付股利(万元),,,,,,,,,,,,240,240,240,
其他应交款(万元),,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,
其他应付款(万元),,78122,,75284,,,,61197,,,51047,45535,38989,32502,
预提费用(万元),,,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,,
一年内到期的非流动负债(万元),500,1250,1250,1500,1500,1000,500,,291,711,742,15778,,1800,
其他流动负债(万元),,,,,,,,,,,,,,,
流动负债合计(万元),145301,135262,128260,146649,135306,127794,120267,146980,127669,99011,106254,111546,115928,71339,
长期借款(万元),6000,6000,6000,500,500,1250,2000,,,2000,,,20000,,
应付债券(万元),,,,,,,,,,,,,,,
长期应付款(万元),,,,,7,300,,,,230,356,781,,,
专项应付款(万元),,,,,,,,,,,,,,,
预计非流动负债(万元),,,,,,,,,,,,,,,
长期递延收益(万元),7081,6626,7392,7241,6350,5916,6245,5823,5749,5084,4804,4230,3515,2262,
递延所得税负债(万元),,,,,,,,,,,,,,,
其他非流动负债(万元),,,,,,,,,,,,,,,
非流动负债合计(万元),13081,12626,13392,7741,6858,7466,8245,5823,5749,7314,5160,5011,23515,2262,
负债合计(万元),158383,147888,141652,154390,142164,135260,128513,152803,133418,106325,111414,116557,139443,73601,
实收资本(或股本)(万元),40388,40388,40388,36260,36260,36260,36260,36260,36260,36260,36260,10000,10000,10000,
资本公积(万元),148786,148786,148786,37914,37914,37914,37914,37914,37914,37914,37914,36930,28566,28878,
减:库存股(万元),,,,,,,,,,,,,,,
专项储备(万元),,,,,,,,,,,,,,,
盈余公积(万元),11112,11112,11112,11112,2923,2923,2923,1971,1971,887,,2220,2220,2220,
一般风险准备(万元),,,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,,
未分配利润(万元),408155,324118,340191,329528,305395,261554,207747,151331,133271,91200,83940,56407,21242,44938,
拟分配现金股利(万元),,,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,,,
归属于母公司股东权益合计(万元),608441,524404,540477,414814,382492,338651,284844,227477,209417,166261,158114,105557,62028,86036,
少数股东权益(万元),,,,,,,,,,,,,-97,36,
所有者权益(或股东权益)合计(万元),608441,524404,540477,414814,382492,338651,284844,227477,209417,166261,158114,105557,61931,86072,
负债和所有者权益(或股东权益)总计(万元),766823,672292,682129,569204,524656,473911,413357,380280,342835,272586,269528,222114,201374,159674,		
