报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),9649,11491,11893,15998,12103,12725,17476,24115,17413,22357,22530,11023,5448,5981,8337,6236,5004,8778,6057,1962,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),2029,1002,,,,,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,,,
应收票据(万元),70,366,366,146,,152,55,,,,48,,,,78,,,,,5,
应收账款(万元),32829,30902,27896,28540,28248,24112,21893,19418,22611,20705,19047,16374,17732,18138,15659,14275,12938,8766,10660,6800,
预付款项(万元),191,158,206,70,139,151,83,50,516,288,365,145,366,209,233,243,85,101,23,10,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,,,,,
其他应收款(万元),,448,,411,246,244,344,237,265,367,306,315,258,244,228,225,203,113,151,229,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,,
存货(万元),1127,629,2114,192,67,39,384,329,99,206,521,659,227,462,242,162,13,351,49,11,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,,,
其他流动资产(万元),235,366,2545,479,3881,7821,2944,770,578,107,646,18,,129,525,,,,,,
流动资产合计(万元),46705,45362,45398,45835,44683,45244,43179,44918,41482,44029,43462,28535,24031,25163,25302,21142,18243,18109,16940,9019,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,,
