报告日期,2020-09-30,2020-06-30,2019-12-31,2018-12-31,2017-12-31,2016-12-31,
货币资金(万元),3312,9359,3369,2281,2347,6540,
结算备付金(万元),,,,,,,
拆出资金(万元),,,,,,,
交易性金融资产(万元),,,,,,,
衍生金融资产(万元),,,,,,,
应收票据(万元),,,,,,,
应收账款(万元),,21245,20207,,,,
预付款项(万元),1106,511,325,170,149,592,
应收保费(万元),,,,,,,
应收分保账款(万元),,,,,,,
应收分保合同准备金(万元),,,,,,,
应收利息(万元),,,,,,,
应收股利(万元),,,,,,,
其他应收款(万元),,,,,,,
应收出口退税(万元),,,,,,,
应收补贴款(万元),,,,,,,
应收保证金(万元),,,,,,,
内部应收款(万元),,,,,,,
买入返售金融资产(万元),,,,,,,
存货(万元),36851,25391,20128,19564,21044,14303,
待摊费用(万元),,,,,,,
待处理流动资产损益(万元),,,,,,,
一年内到期的非流动资产(万元),,,,,,,
其他流动资产(万元),549,185,198,754,383,64,
流动资产合计(万元),72622,63930,56971,41448,45565,38139,
发放贷款及垫款(万元),,,,,,,
可供出售金融资产(万元),,,,,,,
持有至到期投资(万元),,,,,,,
长期应收款(万元),,,,,,,
长期股权投资(万元),,,,,,,
其他长期投资(万元),,,,,,,
投资性房地产(万元),,,,,,,
固定资产原值(万元),,29249,,,,,
累计折旧(万元),,8351,,,,,
固定资产净值(万元),,20897,,,,,
固定资产减值准备(万元),,53,,,,,
固定资产(万元),,20844,,,,,
在建工程(万元),,,,,,,
工程物资(万元),,,,,,,
固定资产清理(万元),,2,,,,,
生产性生物资产(万元),,,,,,,
公益性生物资产(万元),,,,,,,
油气资产(万元),,,,,,,
无形资产(万元),8321,8401,8563,8857,9172,5091,
开发支出(万元),,,,,,,
商誉(万元),,,,,,,
长期待摊费用(万元),32,37,46,,8,8,
股权分置流通权(万元),,,,,,,
递延所得税资产(万元),2052,1625,1335,571,362,261,
其他非流动资产(万元),4042,456,990,,540,177,
非流动资产合计(万元),52655,41512,37369,29100,26155,16485,
资产总计(万元),125277,105442,94340,70548,71721,54624,
短期借款(万元),7657,3469,7946,10894,15516,16107,
向中央银行借款(万元),,,,,,,
吸收存款及同业存放(万元),,,,,,,
拆入资金(万元),,,,,,,
交易性金融负债(万元),,,,,77,,
衍生金融负债(万元),,,,,,,
应付票据(万元),3857,3040,1970,,,,
应付账款(万元),21280,13554,8651,,,,
预收账款(万元),,57,34,48,82,48,
卖出回购金融资产款(万元),,,,,,,
应付手续费及佣金(万元),,,,,,,
应付职工薪酬(万元),1114,1126,964,641,770,618,
应交税费(万元),1077,1479,2163,2260,1157,1509,
应付利息(万元),,,,,,,
应付股利(万元),,,,,,,
其他应交款(万元),,,,,,,
应付保证金(万元),,,,,,,
内部应付款(万元),,,,,,,
其他应付款(万元),,25,,,,,
预提费用(万元),,,,,,,
预计流动负债(万元),,,,,,,
应付分保账款(万元),,,,,,,
保险合同准备金(万元),,,,,,,
代理买卖证券款(万元),,,,,,,
代理承销证券款(万元),,,,,,,
国际票证结算(万元),,,,,,,
国内票证结算(万元),,,,,,,
递延收益(万元),,,,,,,
应付短期债券(万元),,,,,,,
一年内到期的非流动负债(万元),,,,,,1000,
其他流动负债(万元),,,,,,,
流动负债合计(万元),35255,22751,21730,21895,31020,28332,
长期借款(万元),,,,,,1500,
应付债券(万元),,,,,,,
长期应付款(万元),,,,,,,
专项应付款(万元),,,,,,,
预计非流动负债(万元),6583,5422,5449,1185,,,
长期递延收益(万元),5835,5960,5602,3961,4346,4452,
递延所得税负债(万元),,,,,,,
其他非流动负债(万元),,,,,,,
非流动负债合计(万元),12737,11661,11252,5222,4346,5952,
负债合计(万元),47992,34411,32982,27117,35365,34284,
实收资本(或股本)(万元),12450,12450,12450,12450,12450,11500,
资本公积(万元),8211,8211,8211,8211,8211,2695,
减:库存股(万元),,,,,,,
专项储备(万元),,,,,,,
盈余公积(万元),3026,3026,3026,1826,1296,505,
一般风险准备(万元),,,,,,,
未确定的投资损失(万元),,,,,,,
未分配利润(万元),53610,47355,37675,20943,14398,5645,
拟分配现金股利(万元),,,,,,,
外币报表折算差额(万元),,,,,,,
归属于母公司股东权益合计(万元),77285,71031,61359,43432,36355,20340,
少数股东权益(万元),,,,,,,
所有者权益(或股东权益)合计(万元),77285,71031,61359,43432,36355,20340,
负债和所有者权益(或股东权益)总计(万元),125277,105442,94340,70548,71721,54624,		
