报告日期,2020-09-30,2020-06-30,2019-12-31,2018-12-31,2017-12-31,2016-12-31,
货币资金(万元),171036,48027,12287,9702,4951,7440,
结算备付金(万元),,,,,,,
拆出资金(万元),,,,,,,
交易性金融资产(万元),119,123,93,,,,
衍生金融资产(万元),,,,,,,
应收票据(万元),,,,,,,
应收账款(万元),14392,11398,8843,,,,
预付款项(万元),2167,2819,1281,1036,627,539,
应收保费(万元),,,,,,,
应收分保账款(万元),,,,,,,
应收分保合同准备金(万元),,,,,,,
应收利息(万元),,,,,,,
应收股利(万元),,,,,,,
其他应收款(万元),,,,,,,
应收出口退税(万元),,,,,,,
应收补贴款(万元),,,,,,,
应收保证金(万元),,,,,,,
内部应收款(万元),,,,,,,
买入返售金融资产(万元),,,,,,,
存货(万元),24915,25247,19906,18729,14103,9887,
待摊费用(万元),,,,,,,
待处理流动资产损益(万元),,,,,,,
一年内到期的非流动资产(万元),,,,,,,
其他流动资产(万元),226,204,1485,76,467,80,
流动资产合计(万元),222140,93397,47929,39618,25229,22621,
发放贷款及垫款(万元),,,,,,,
可供出售金融资产(万元),,,,,,,
持有至到期投资(万元),,,,,,,
长期应收款(万元),,,,,,,
长期股权投资(万元),,,,,,,
其他长期投资(万元),,,,,,,
投资性房地产(万元),,,,,16,17,
固定资产原值(万元),,,,,,,
累计折旧(万元),,,,,,,
固定资产净值(万元),,,,,,,
固定资产减值准备(万元),,,,,,,
固定资产(万元),,,,,,,
在建工程(万元),,,,,,,
工程物资(万元),,,,,,,
固定资产清理(万元),,,,,,,
生产性生物资产(万元),,,,,,,
公益性生物资产(万元),,,,,,,
油气资产(万元),,,,,,,
无形资产(万元),6019,6058,6127,2103,2132,2167,
开发支出(万元),,,,,,,
商誉(万元),,,,,,,
长期待摊费用(万元),22,14,25,58,95,177,
股权分置流通权(万元),,,,,,,
递延所得税资产(万元),1196,1140,998,521,254,215,
其他非流动资产(万元),,2021,,2016,,,
非流动资产合计(万元),104049,95731,77473,52207,41214,30378,
资产总计(万元),326189,189128,125402,91824,66443,52999,
短期借款(万元),5855,15115,12468,18135,15518,19581,
向中央银行借款(万元),,,,,,,
吸收存款及同业存放(万元),,,,,,,
拆入资金(万元),,,,,,,
交易性金融负债(万元),,,,,,,
衍生金融负债(万元),,,,,,,
应付票据(万元),1255,5772,4597,,,,
应付账款(万元),31569,34005,22361,,,,
预收账款(万元),,,3797,3673,2866,1718,
卖出回购金融资产款(万元),,,,,,,
应付手续费及佣金(万元),,,,,,,
应付职工薪酬(万元),1503,1465,2115,1579,732,576,
应交税费(万元),2510,7121,2574,2082,462,252,
应付利息(万元),,,,,,,
应付股利(万元),,,,,,,
其他应交款(万元),,,,,,,
应付保证金(万元),,,,,,,
内部应付款(万元),,,,,,,
其他应付款(万元),,,,,,,
预提费用(万元),,,,,,,
预计流动负债(万元),,,,,,,
应付分保账款(万元),,,,,,,
保险合同准备金(万元),,,,,,,
代理买卖证券款(万元),,,,,,,
代理承销证券款(万元),,,,,,,
国际票证结算(万元),,,,,,,
国内票证结算(万元),,,,,,,
递延收益(万元),,,,,,,
应付短期债券(万元),,,,,,,
一年内到期的非流动负债(万元),,4007,1333,1003,,,
其他流动负债(万元),29,,,,,,
流动负债合计(万元),51502,74445,50165,48921,39574,39545,
长期借款(万元),,6964,5115,,,,
应付债券(万元),,,,,,,
长期应付款(万元),,,,,,,
专项应付款(万元),,,,,,,
预计非流动负债(万元),,,,,,,
长期递延收益(万元),6565,5938,5486,2650,1417,1480,
递延所得税负债(万元),,,,,,,
其他非流动负债(万元),,,,,,,
非流动负债合计(万元),6565,13013,11379,7657,7157,6832,
负债合计(万元),58067,87458,61544,56578,46731,46377,
实收资本(或股本)(万元),10667,8000,8000,8000,8000,5180,
资本公积(万元),159303,7104,7104,7104,7104,330,
减:库存股(万元),,,,,,,
专项储备(万元),,,,,,,
盈余公积(万元),4839,4839,4839,2086,340,28,
一般风险准备(万元),,,,,,,
未确定的投资损失(万元),,,,,,,
未分配利润(万元),93036,81359,43797,18056,4268,1084,
拟分配现金股利(万元),,,,,,,
外币报表折算差额(万元),,,,,,,
归属于母公司股东权益合计(万元),268122,101671,63857,35246,19711,6622,
少数股东权益(万元),,,,,,,
所有者权益(或股东权益)合计(万元),268122,101671,63857,35246,19711,6622,
负债和所有者权益(或股东权益)总计(万元),326189,189128,125402,91824,66443,52999,		
