报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),24142,21123,19788,25177,19592,23736,18766,32828,21658,13026,10657,11447,26667,27326,5427,9247,7503,9358,13277,10609,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,,,
应收票据(万元),4145,5755,5821,8672,8085,7604,7419,8708,5250,3656,4167,5953,5638,3599,3783,6478,6414,5282,3199,4286,
应收账款(万元),5703,5846,7286,4387,8425,4628,4774,4065,6113,6384,7750,4502,3563,2863,3325,1509,4873,2168,2006,1751,
预付款项(万元),6654,5535,1764,8957,4624,4539,8001,8423,5953,6187,4859,4559,6527,6840,7839,6553,3160,5410,2728,2420,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,,,,,
其他应收款(万元),,1916,,1226,647,672,434,915,1824,1998,2358,108,114,55,69,57,41,23,34,70,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,,
存货(万元),32294,32863,32935,25606,26333,24675,18548,15756,25348,26252,22447,15869,14223,13947,16553,12700,13937,11673,11104,8724,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,,,
其他流动资产(万元),2238,2274,2074,1632,8045,8652,12877,717,1559,1404,640,628,694,594,662,607,219,,,,
流动资产合计(万元),77139,75313,72454,75656,75751,74506,70818,71413,67704,58907,52879,43066,57426,55225,37658,37153,36147,33915,32348,27860,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,,,,,,,,,
