报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2016-03-31,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),10616,11169,11099,11358,10364,11060,12744,21933,3901,3101,6034,4651,6961,6328,4066,
结算备付金(万元),,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,
应收票据(万元),11507,1538,1982,1046,2428,3641,3254,2989,1424,551,1797,3259,3747,3188,2291,
应收账款(万元),15910,12602,11141,9631,9183,8383,9781,8246,7425,7436,6919,7456,3750,4056,3174,
预付款项(万元),2439,841,1008,337,674,468,583,409,305,364,120,294,307,108,442,
应收保费(万元),,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,
应收利息(万元),,0,,0,,,,,,,,,,,,
应收股利(万元),,0,,0,,,,,,,,,,,,
其他应收款(万元),,38,,33,72,72,278,74,376,395,296,29,2,976,1225,
应收出口退税(万元),,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,
存货(万元),13527,10263,9495,9907,7261,6659,7244,6401,6381,5837,5097,6533,8507,7361,5740,
待摊费用(万元),,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,1,,1,4,,
其他流动资产(万元),5000,5093,5078,5063,6012,6005,6000,6,8,19,13,255,4518,68,143,
流动资产合计(万元),59062,41543,39835,37374,35995,36288,39885,40059,19819,17703,20276,22478,27793,22089,17081,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,
可供出售金融资产(万元),,0,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,,
持有至到期投资(万元),,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,
长期股权投资(万元),998,998,,,,,,,,,,,,453,1068,
其他长期投资(万元),,,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,,,
固定资产原值(万元),,42906,,42746,,41702,,40083,,38554,33580,,30396,28443,,
累计折旧(万元),,18584,,18329,,16963,,15598,,14270,13939,,11669,10022,,
固定资产净值(万元),,24322,,24417,,24739,,24485,,24284,19642,,18727,18421,,
固定资产减值准备(万元),,12,,12,,12,,12,,12,12,,12,12,,
固定资产(万元),,24310,,24404,24250,24727,24030,24473,24448,24272,19629,18753,18715,18409,17042,
在建工程(万元),,3140,,1256,687,183,507,41,41,41,4674,1929,2212,232,1160,
工程物资(万元),,,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,
无形资产(万元),4347,1558,1614,1673,1735,1799,1863,1926,1988,2051,2179,1974,2019,1533,1603,
开发支出(万元),,,,,,,,,,,,,,,,
商誉(万元),48914,,,,,,,,,,,,,,,
长期待摊费用(万元),55,70,,,,,,,,,,5,6,12,24,
股权分置流通权(万元),,,,,,,,,,,,,,,,
递延所得税资产(万元),423,233,201,238,203,143,156,217,183,275,451,405,435,406,242,
其他非流动资产(万元),,4000,4020,4155,0,0,0,122,121,65,23,12,10,1376,1124,
非流动资产合计(万元),99559,36008,33207,33427,28576,28551,28255,28479,28481,28405,28656,24778,25097,24121,22265,
资产总计(万元),158621,77551,73042,70801,64571,64840,68140,68538,48300,46108,48932,47256,52891,46210,39345,
短期借款(万元),20450,17650,15000,15000,11700,11700,11700,11930,12030,9880,11450,12440,16980,14440,12880,
向中央银行借款(万元),,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,,,,
应付票据(万元),500,3000,,,,2857,3380,3400,1400,1254,3079,5082,5152,8261,200,
