报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),6142,8684,11531,10060,10435,11251,12492,12042,20754,27739,28987,4632,1665,2907,2093,2828,3263,6361,
结算备付金(万元),,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,
应收票据(万元),,976,,,,,,,,,,,,299,174,191,,55,
应收账款(万元),11320,9984,15846,8896,7844,8220,10840,6854,5193,4023,5354,3505,3995,3299,4323,5244,3468,3262,
预付款项(万元),16204,4935,4032,3204,7894,2962,2811,2621,2380,986,707,689,1007,711,826,1185,1263,644,
应收保费(万元),,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,,,
其他应收款(万元),,1152,,1076,668,409,331,521,312,208,137,241,234,301,196,209,209,67,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,
存货(万元),15352,14717,15707,19670,19247,15961,18444,20240,13079,9181,9183,12850,9382,8456,10795,9088,9745,7070,
待摊费用(万元),,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,
其他流动资产(万元),1559,3496,2992,3280,976,886,842,1398,435,428,245,630,2,40,15,20,84,141,
流动资产合计(万元),52035,43944,51613,46186,47062,39689,45759,43675,42153,42566,44613,22546,16284,16014,18421,18764,18033,17601,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,,,
长期股权投资(万元),,,,,,,,,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,,,,,,
固定资产原值(万元),,76365,,69125,,52800,,45753,,35927,,34906,28531,28112,24451,,,,
累计折旧(万元),,14053,,11667,,9884,,8692,,7371,,6291,5709,5343,4421,,,,
固定资产净值(万元),,62311,,57459,,42917,,37061,,28556,,28615,22822,22769,20031,,,,
