报告日期,2020-09-30,2020-06-30,2019-12-31,2018-12-31,2017-12-31,2016-12-31,
货币资金(万元),43744,40245,41238,49510,18093,24569,
结算备付金(万元),,,,,,,
拆出资金(万元),,,,,,,
交易性金融资产(万元),66,,,,,,
衍生金融资产(万元),,,,,,,
应收票据(万元),,,,,,,
应收账款(万元),28957,25173,22638,,,,
预付款项(万元),236,379,149,152,174,308,
应收保费(万元),,,,,,,
应收分保账款(万元),,,,,,,
应收分保合同准备金(万元),,,,,,,
应收利息(万元),,,,,,,
应收股利(万元),,,,,,,
其他应收款(万元),,151,,,,,
应收出口退税(万元),,,,,,,
应收补贴款(万元),,,,,,,
应收保证金(万元),,,,,,,
内部应收款(万元),,,,,,,
买入返售金融资产(万元),,,,,,,
存货(万元),17672,17588,16994,16571,16333,11678,
待摊费用(万元),,,,,,,
待处理流动资产损益(万元),,,,,,,
一年内到期的非流动资产(万元),,,,,,,
其他流动资产(万元),203,295,148,,7410,4277,
流动资产合计(万元),104888,96692,92913,105137,83002,75568,
发放贷款及垫款(万元),,,,,,,
可供出售金融资产(万元),,,,,,,
持有至到期投资(万元),,,,,,,
长期应收款(万元),,,,,,,
长期股权投资(万元),,,,,,,
其他长期投资(万元),,,,,,,
投资性房地产(万元),,,,,,,
固定资产原值(万元),,32479,,,,,
累计折旧(万元),,17318,,,,,
固定资产净值(万元),,15161,,,,,
固定资产减值准备(万元),,,,,,,
固定资产(万元),,15161,,,,,
在建工程(万元),,52,,,,,
工程物资(万元),,,,,,,
固定资产清理(万元),,,,,,,
生产性生物资产(万元),,,,,,,
公益性生物资产(万元),,,,,,,
油气资产(万元),,,,,,,
无形资产(万元),4342,4358,4398,2279,2234,2243,
开发支出(万元),,,,,,,
商誉(万元),,,,,,,
长期待摊费用(万元),116,112,,,12,105,
股权分置流通权(万元),,,,,,,
递延所得税资产(万元),403,357,328,268,255,243,
其他非流动资产(万元),281,682,192,1019,502,92,
非流动资产合计(万元),20623,20720,19843,18225,17921,18436,
资产总计(万元),125510,117413,112756,123362,100923,94004,
短期借款(万元),13000,13032,15019,3000,4000,,
向中央银行借款(万元),,,,,,,
吸收存款及同业存放(万元),,,,,,,
拆入资金(万元),,,,,,,
交易性金融负债(万元),,,,,,,
衍生金融负债(万元),,,,,,,
应付票据(万元),9041,8187,8116,,,,
应付账款(万元),25932,21585,20889,,,,
预收账款(万元),,,50,322,195,172,
卖出回购金融资产款(万元),,,,,,,
应付手续费及佣金(万元),,,,,,,
应付职工薪酬(万元),3199,2687,3237,3323,4395,3768,
应交税费(万元),4185,4930,4922,1834,1923,4388,
应付利息(万元),,,,,,,
应付股利(万元),,,,,,,
其他应交款(万元),,,,,,,
应付保证金(万元),,,,,,,
内部应付款(万元),,,,,,,
其他应付款(万元),,973,,,,,
预提费用(万元),,,,,,,
预计流动负债(万元),,,,,,,
应付分保账款(万元),,,,,,,
保险合同准备金(万元),,,,,,,
代理买卖证券款(万元),,,,,,,
代理承销证券款(万元),,,,,,,
国际票证结算(万元),,,,,,,
国内票证结算(万元),,,,,,,
递延收益(万元),,,,,,,
应付短期债券(万元),,,,,,,
一年内到期的非流动负债(万元),,,,,,,
其他流动负债(万元),4,3,,,,,
流动负债合计(万元),56729,51424,52957,76336,44066,38496,
长期借款(万元),,,,,,,
应付债券(万元),,,,,,,
长期应付款(万元),,,,,,,
专项应付款(万元),,,,,,,
预计非流动负债(万元),,,,,,,
长期递延收益(万元),686,511,554,592,545,489,
递延所得税负债(万元),886,683,581,202,136,68,
其他非流动负债(万元),,,,,,,
非流动负债合计(万元),1573,1195,1136,794,681,557,
负债合计(万元),58302,52618,54093,77130,44747,39053,
实收资本(或股本)(万元),10719,10719,10719,10719,800,800,
资本公积(万元),22510,22510,22510,22510,385,385,
减:库存股(万元),,,,,,,
专项储备(万元),,,,,,,
盈余公积(万元),618,618,618,89,400,400,
一般风险准备(万元),,,,,,,
未确定的投资损失(万元),,,,,,,
未分配利润(万元),33056,30632,24547,12676,51950,50699,
拟分配现金股利(万元),,,,,,,
外币报表折算差额(万元),,,,,,,
归属于母公司股东权益合计(万元),67208,64794,58664,46232,53511,52294,
少数股东权益(万元),,,,,2665,2656,
所有者权益(或股东权益)合计(万元),67208,64794,58664,46232,56176,54951,
负债和所有者权益(或股东权益)总计(万元),125510,117413,112756,123362,100923,94004,		
