报告日期,2020-09-30,2020-06-30,2019-12-31,2019-06-30,2018-12-31,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
货币资金(万元),53079,4694,11428,8047,11265,5484,3571,3131,1882,
结算备付金(万元),,,,,,,,,,
拆出资金(万元),,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,
应收票据(万元),1937,,,3491,1680,,,,,
应收账款(万元),28562,25947,27953,24489,26227,,,,,
预付款项(万元),178,163,190,291,350,277,276,382,174,
应收保费(万元),,,,,,,,,,
应收分保账款(万元),,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,
应收利息(万元),,,,,,,,,,
应收股利(万元),,,,,,,,,,
其他应收款(万元),,155,149,,,606,745,1348,2177,
应收出口退税(万元),,,,,,,,,,
应收补贴款(万元),,,,,,,,,,
应收保证金(万元),,,,,,,,,,
内部应收款(万元),,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,
存货(万元),7090,6093,7318,7393,8465,10033,10610,10456,7652,
待摊费用(万元),,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,
其他流动资产(万元),237,1322,2340,1812,1234,806,1069,324,464,
流动资产合计(万元),91285,43728,51355,45673,49383,49572,60928,52181,36028,
发放贷款及垫款(万元),,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,
长期应收款(万元),,,,,,,,,,
长期股权投资(万元),1597,1566,1506,1168,1072,990,989,,,
其他长期投资(万元),,,,,,,,,,
投资性房地产(万元),,,,,,,,,,
固定资产原值(万元),,30456,29743,,,,,,,
累计折旧(万元),,11925,11091,,,,,,,
固定资产净值(万元),,18531,18651,,,,,,,
固定资产减值准备(万元),,,,,,,,,,
固定资产(万元),,18531,18651,,,19362,19443,18074,15230,
在建工程(万元),,5334,4860,,,416,259,191,2118,
工程物资(万元),,,,,,,,,,
固定资产清理(万元),,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,
油气资产(万元),,,,,,,,,,
无形资产(万元),4222,4261,4274,4324,4358,4418,4367,4162,4256,
开发支出(万元),,,,,,,,,,
商誉(万元),,,,,,,,,,
长期待摊费用(万元),6151,5990,5745,4742,5624,6896,6649,6325,5878,
股权分置流通权(万元),,,,,,,,,,
递延所得税资产(万元),771,737,787,718,669,809,778,741,595,
其他非流动资产(万元),2368,1105,779,590,121,336,586,830,516,
非流动资产合计(万元),39110,37523,36603,32419,31960,33227,33071,30323,28594,
资产总计(万元),130395,81251,87958,78092,81343,82800,94000,82504,64622,
短期借款(万元),6100,5106,6589,10130,9780,11120,13570,8880,8980,
向中央银行借款(万元),,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,
拆入资金(万元),,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,
应付票据(万元),,,,,,,,,,
应付账款(万元),23066,19236,26994,20233,26168,,,,,
预收账款(万元),,,136,21,43,18,9,14,1,
卖出回购金融资产款(万元),,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,
应付职工薪酬(万元),1423,1190,2001,1145,1726,1303,1878,1318,871,
应交税费(万元),966,566,292,314,542,555,1257,2989,1635,
应付利息(万元),7,,,,,,,,,
应付股利(万元),,,,,,,,,,
其他应交款(万元),,,,,,,,,,
应付保证金(万元),,,,,,,,,,
内部应付款(万元),,,,,,,,,,
其他应付款(万元),,294,121,,,88,1413,943,1281,
预提费用(万元),,,,,,,,,,
预计流动负债(万元),,,,,,,,,,
应付分保账款(万元),,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,
国际票证结算(万元),,,,,,,,,,
国内票证结算(万元),,,,,,,,,,
递延收益(万元),,,,,,,,,,
应付短期债券(万元),,,,,,,,,,
一年内到期的非流动负债(万元),,,,,59,1514,3190,3620,3472,
其他流动负债(万元),,,,,,,,,,
流动负债合计(万元),31959,26429,36134,31951,38374,45534,59419,50737,37713,
长期借款(万元),,,,,,,,1775,2815,
应付债券(万元),,,,,,,,,,
长期应付款(万元),,,,,,3,42,1504,2425,
专项应付款(万元),,,,,,,,,,
预计非流动负债(万元),,,,,,,,,,
长期递延收益(万元),674,696,630,563,613,542,230,169,190,
递延所得税负债(万元),,,,,,,,,,
其他非流动负债(万元),,,,,,,,,,
非流动负债合计(万元),674,696,630,563,613,545,272,3448,5430,
负债合计(万元),32632,27125,36764,32514,38987,46079,59691,54184,43143,
实收资本(或股本)(万元),8000,6000,6000,6000,6000,6000,6000,5630,5050,
资本公积(万元),54286,14878,14878,14878,14878,14878,14878,10808,3159,
减:库存股(万元),,,,,,,,,,
专项储备(万元),,,,,,,,,,
盈余公积(万元),2869,2869,2869,2304,2304,1804,1804,1078,905,
一般风险准备(万元),,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,
未分配利润(万元),32608,30378,27446,22395,19173,14038,11626,10803,12365,
拟分配现金股利(万元),,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,
归属于母公司股东权益合计(万元),97763,54126,51194,45578,42356,36720,34309,28319,21479,
少数股东权益(万元),,,,,,,,,,
所有者权益(或股东权益)合计(万元),97763,54126,51194,45578,42356,36720,34309,28319,21479,
负债和所有者权益(或股东权益)总计(万元),130395,81251,87958,78092,81343,82800,94000,82504,64622,		
