报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-06-30,2017-12-31,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),13986,13876,24367,15966,9295,17529,13023,10732,11547,
结算备付金(万元),,,,,,,,,,
拆出资金(万元),,,,,,,,,,
交易性金融资产(万元),21900,21900,2274,,,,,,,
衍生金融资产(万元),,,,,,,,,,
应收票据(万元),490,436,389,983,,,,,662,
应收账款(万元),19224,18005,15566,14665,,,,,12422,
预付款项(万元),3005,3745,1122,2058,1290,1759,1729,2216,3833,
应收保费(万元),,,,,,,,,,
应收分保账款(万元),,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,
应收利息(万元),69,224,,,,,,,,
应收股利(万元),,,,,,,,,,
其他应收款(万元),,3374,,2262,,,,,2214,
应收出口退税(万元),,,,,,,,,,
应收补贴款(万元),,,,,,,,,,
应收保证金(万元),,,,,,,,,,
内部应收款(万元),,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,
存货(万元),10752,11690,10978,9857,11000,8733,7770,7101,8286,
待摊费用(万元),,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,
其他流动资产(万元),281,1,17278,258,71,163,24,129,538,
流动资产合计(万元),74937,73251,75126,46049,40965,43922,40657,38854,39502,
发放贷款及垫款(万元),,,,,,,,,,
可供出售金融资产(万元),,,,2274,2274,2274,2274,2195,108,
持有至到期投资(万元),,,,,,,,,,
长期应收款(万元),,,,,,,,,,
长期股权投资(万元),39,,,,,,,,,
其他长期投资(万元),,,,,,,,,,
投资性房地产(万元),,,,,,,,,,
固定资产原值(万元),,46000,,43898,42478,40210,39292,39164,,
累计折旧(万元),,23440,,21869,20414,18904,16215,14133,,
固定资产净值(万元),,22560,,22029,22065,21307,23077,25030,,
固定资产减值准备(万元),,37,,25,72,72,125,567,,
固定资产(万元),,22523,,22004,21993,21235,22951,24463,25857,
在建工程(万元),,15747,,14751,11886,11600,8187,6970,5988,
工程物资(万元),,,,,,,,,,
固定资产清理(万元),,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,
油气资产(万元),,,,,,,,,,
无形资产(万元),7370,7545,7533,7634,7759,7551,7012,8087,6465,
开发支出(万元),,,,,,,,,,
商誉(万元),990,990,990,990,990,990,990,990,990,
长期待摊费用(万元),34,,,,,,,,,
股权分置流通权(万元),,,,,,,,,,
递延所得税资产(万元),843,882,875,830,850,783,721,604,569,
其他非流动资产(万元),,,,,,,,,,
非流动资产合计(万元),50202,47687,48171,48483,45752,44432,42136,43309,39977,
资产总计(万元),125139,120938,123297,94532,86717,88355,82792,82163,79479,
短期借款(万元),3000,3000,6000,10500,9350,7500,1500,6500,9000,
向中央银行借款(万元),,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,
拆入资金(万元),,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,
应付票据(万元),,,,64,,,,,1037,
应付账款(万元),6720,7037,,6704,,,,,4628,
预收账款(万元),529,458,725,487,592,609,458,685,416,
卖出回购金融资产款(万元),,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,
应付职工薪酬(万元),2815,1901,1537,4029,2756,4138,4539,3306,2485,
应交税费(万元),73,190,414,1095,937,1211,1396,1000,1118,
应付利息(万元),,,,,,,,,,
