报告日期,2020-09-30,2020-06-30,2019-12-31,2019-09-30,2018-12-31,2017-12-31,
货币资金(万元),9112508,7817193,7241773,5684828,,1813092,
结算备付金(万元),1609310,1169883,,1362802,,,
拆出资金(万元),,,,,,,
交易性金融资产(万元),21853580,21631313,16819189,14875452,,9701171,
衍生金融资产(万元),1021155,828466,450220,607956,,344792,
应收票据(万元),,,,,,,
应收账款(万元),4155767,2702183,1787656,2066548,,940170,
预付款项(万元),,,,,,,
应收保费(万元),,,,,,,
应收分保账款(万元),,,,,,,
应收分保合同准备金(万元),,,,,,,
应收利息(万元),,,,,,147049,
应收股利(万元),,,,,,,
其他应收款(万元),,,,,,,
应收出口退税(万元),,,,,,,
应收补贴款(万元),,,,,,,
应收保证金(万元),1019931,890256,650209,636640,,278519,
内部应收款(万元),,,,,,,
买入返售金融资产(万元),2002007,1626998,1429894,1099612,,1443827,
存货(万元),,,,,,,
待摊费用(万元),,,,,,,
待处理流动资产损益(万元),,,,,,,
一年内到期的非流动资产(万元),,,,,,,
其他流动资产(万元),,,,,,,
流动资产合计(万元),,,,,,,
发放贷款及垫款(万元),,,,,,,
可供出售金融资产(万元),,,,,,1889738,
持有至到期投资(万元),,,,,,,
长期应收款(万元),,,,,,,
长期股权投资(万元),126997,117975,116848,120156,,112828,
其他长期投资(万元),,,,,,,
投资性房地产(万元),,,,,,,
固定资产原值(万元),,,,,,,
累计折旧(万元),,,,,,,
固定资产净值(万元),,,,,,,
固定资产减值准备(万元),,,,,,,
固定资产(万元),49650,48538,72951,48093,,47493,
在建工程(万元),1913,1132,,614,,,
工程物资(万元),,,,,,,
固定资产清理(万元),,,,,,,
生产性生物资产(万元),,,,,,,
公益性生物资产(万元),,,,,,,
油气资产(万元),,,,,,,
无形资产(万元),136160,137509,28510,139897,,22721,
开发支出(万元),,,,,,,
商誉(万元),158268,158268,158268,158268,,158268,
长期待摊费用(万元),,,,,,,
股权分置流通权(万元),,,,,,,
递延所得税资产(万元),103116,115377,108995,112989,,115115,
其他非流动资产(万元),112433,109274,131560,59739,,155514,
非流动资产合计(万元),,,,,,,
资产总计(万元),48547152,43817493,34497124,32290109,27542054,23781195,
短期借款(万元),,,,,,,
向中央银行借款(万元),,,,,,,
吸收存款及同业存放(万元),,,,,,,
拆入资金(万元),2496772,2709029,2408238,2316733,,1028077,
交易性金融负债(万元),3867008,3707891,2657032,2142875,,1219424,
衍生金融负债(万元),1505300,1288216,636219,506586,,344834,
应付票据(万元),,,,,,,
应付账款(万元),7708313,6105507,,3755891,,,
预收账款(万元),,,,,,,
卖出回购金融资产款(万元),4714306,4406224,2470826,2696378,,3065364,
应付手续费及佣金(万元),,,,,,,
应付职工薪酬(万元),741296,536606,484343,457150,,530963,
应交税费(万元),104570,125321,99189,138822,,35074,
应付利息(万元),,,,,,,
应付股利(万元),,,,,,,
其他应交款(万元),,,,,,,
应付保证金(万元),,,,,,,
内部应付款(万元),,,,,,,
其他应付款(万元),,,,,,,
预提费用(万元),,,,,,,
预计流动负债(万元),,,,,,,
应付分保账款(万元),,,,,,,
保险合同准备金(万元),,,,,,,
代理买卖证券款(万元),6766407,6452236,4833787,5352908,,4734652,
代理承销证券款(万元),,81061,,,,,
国际票证结算(万元),,,,,,,
国内票证结算(万元),,,,,,,
递延收益(万元),,,,,,,
应付短期债券(万元),,,,,,,
一年内到期的非流动负债(万元),,,,,,,
其他流动负债(万元),,,,,,,
流动负债合计(万元),,,,,,,
长期借款(万元),,,,,,,
应付债券(万元),11303785,10256245,7939135,7446556,,4993444,
长期应付款(万元),,,,,,,
专项应付款(万元),,,,,,,
预计非流动负债(万元),,,,,,,
长期递延收益(万元),,,,,,,
递延所得税负债(万元),44793,43305,36139,34389,,22677,
其他非流动负债(万元),805855,833240,5711432,764684,,3054753,
非流动负债合计(万元),,,,,,,
负债合计(万元),42858118,38759794,29643971,27770516,23304380,20091951,
实收资本(或股本)(万元),436867,436867,436867,419267,,398513,
资本公积(万元),2693165,2693165,,2482260,,,
减:库存股(万元),,,,,,,
专项储备(万元),,,3114452,,,,
盈余公积(万元),73656,73656,,53250,,,
一般风险准备(万元),321928,321206,,259823,,,
未确定的投资损失(万元),,,,,,,
未分配利润(万元),1659680,1476452,1178061,1148823,,711416,
拟分配现金股利(万元),,,,,,,
外币报表折算差额(万元),,,,,,,
归属于母公司股东权益合计(万元),5663657,5032872,4829380,4493340,4218352,3670669,
少数股东权益(万元),25377,24827,23774,26253,,18575,
所有者权益(或股东权益)合计(万元),5689034,5057699,4853154,4519593,4237674,3689244,
负债和所有者权益(或股东权益)总计(万元),48547152,43817493,34497124,32290109,27542054,23781195,		
