报告日期,2019-09-30,2019-06-30,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),10774,11837,13410,10119,6889,6147,3286,
结算备付金(万元),,,,,,,,
拆出资金(万元),,,,,,,,
交易性金融资产(万元),35000,,,,,,,
衍生金融资产(万元),,,,,,,,
应收票据(万元),200,,,345,514,311,225,
应收账款(万元),5769,3683,4029,3230,3155,3036,3840,
预付款项(万元),86,123,9,13,18,29,40,
应收保费(万元),,,,,,,,
应收分保账款(万元),,,,,,,,
应收分保合同准备金(万元),,,,,,,,
应收利息(万元),77,46,,,,,,
应收股利(万元),,,,,,,,
其他应收款(万元),,48,31,24,35,41,20,
应收出口退税(万元),,,,,,,,
应收补贴款(万元),,,,,,,,
应收保证金(万元),,,,,,,,
内部应收款(万元),,,,,,,,
买入返售金融资产(万元),,,,,,,,
存货(万元),2509,2300,1842,1640,1607,1235,1064,
待摊费用(万元),,,,,,,,
待处理流动资产损益(万元),,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,
其他流动资产(万元),112,163,129,73,8,,,
流动资产合计(万元),54582,18200,19452,15443,12227,10798,8475,
发放贷款及垫款(万元),,,,,,,,
可供出售金融资产(万元),,,,,,,,
持有至到期投资(万元),,,,,,,,
长期应收款(万元),,,,,,,,
长期股权投资(万元),,,,,,,,
其他长期投资(万元),,,,,,,,
投资性房地产(万元),,,,,,,,
固定资产原值(万元),,11252,11137,,,,,
累计折旧(万元),,6750,6526,,,,,
固定资产净值(万元),,4502,4611,,,,,
固定资产减值准备(万元),,,,,,,,
固定资产(万元),,4502,4611,4453,4530,4464,4906,
在建工程(万元),,,,1,,,,
工程物资(万元),,,,,,,,
固定资产清理(万元),,,,,,,,
生产性生物资产(万元),,,,,,,,
公益性生物资产(万元),,,,,,,,
油气资产(万元),,,,,,,,
无形资产(万元),310,292,303,325,309,261,267,
开发支出(万元),,,,,,,,
商誉(万元),,,,,,,,
长期待摊费用(万元),,,,,,,,
股权分置流通权(万元),,,,,,,,
递延所得税资产(万元),57,40,43,36,30,26,32,
其他非流动资产(万元),1,23,72,104,98,211,2,
非流动资产合计(万元),4924,4955,5029,4919,4967,4962,5207,
资产总计(万元),59506,23155,24481,20362,17193,15760,13682,
短期借款(万元),,,,,,1200,,
向中央银行借款(万元),,,,,,,,
吸收存款及同业存放(万元),,,,,,,,
拆入资金(万元),,,,,,,,
交易性金融负债(万元),,,,,,,,
衍生金融负债(万元),,,,,,,,
应付票据(万元),,,,,,,,
应付账款(万元),3075,2913,2861,2317,2425,1523,876,
预收账款(万元),39,28,30,28,35,39,26,
卖出回购金融资产款(万元),,,,,,,,
应付手续费及佣金(万元),,,,,,,,
应付职工薪酬(万元),658,638,999,1076,1128,1221,912,
应交税费(万元),445,542,635,461,273,211,382,
应付利息(万元),,,,,,2,,
应付股利(万元),,,,,,,1151,
其他应交款(万元),,,,,,,,
应付保证金(万元),,,,,,,,
内部应付款(万元),,,,,,,,
其他应付款(万元),,7,7,5,13,4,6,
预提费用(万元),,,,,,,,
预计流动负债(万元),,,,,,,,
应付分保账款(万元),,,,,,,,
保险合同准备金(万元),,,,,,,,
代理买卖证券款(万元),,,,,,,,
代理承销证券款(万元),,,,,,,,
国际票证结算(万元),,,,,,,,
国内票证结算(万元),,,,,,,,
递延收益(万元),,,,,,,,
应付短期债券(万元),,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,
其他流动负债(万元),,,,,,,,
流动负债合计(万元),4236,4127,4532,3887,3875,4201,3353,
长期借款(万元),,,,,,,,
应付债券(万元),,,,,,,,
长期应付款(万元),,,,,,,,
专项应付款(万元),,,,,,,,
预计非流动负债(万元),,,,,,,,
长期递延收益(万元),41,43,46,53,,,,
递延所得税负债(万元),,,,,,,,
其他非流动负债(万元),,,,,,,,
非流动负债合计(万元),41,43,46,53,0,0,0,
负债合计(万元),4277,4170,4578,3940,3875,4201,3353,
实收资本(或股本)(万元),9861,7395,7395,7395,7395,7395,7395,
资本公积(万元),34734,2934,2934,2934,2934,,,
减:库存股(万元),,,,,,,,
专项储备(万元),,,,,,,,
盈余公积(万元),1556,1556,1556,857,297,1923,1679,
一般风险准备(万元),,,,,,,,
未确定的投资损失(万元),,,,,,,,
未分配利润(万元),9078,7100,8018,5235,2692,2258,1235,
拟分配现金股利(万元),,,,,,,,
外币报表折算差额(万元),,,,,,,,
归属于母公司股东权益合计(万元),55229,18985,19903,16422,13318,11577,10309,
少数股东权益(万元),,,,,,-17,20,
所有者权益(或股东权益)合计(万元),55229,18985,19903,16422,13318,11559,10329,
负债和所有者权益(或股东权益)总计(万元),59506,23155,24481,20362,17193,15760,13682,		
