报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-06-30,2018-12-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,
货币资金(万元),66383,84472,23268,17309,16724,10755,6958,6729,7938,2898,2209,5345,
结算备付金(万元),,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,6,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,
应收票据(万元),12699,4419,3423,2037,11501,,,5452,2525,4056,3140,20,
应收账款(万元),5824,4733,8180,7645,6375,,,3977,6575,3775,3224,,
预付款项(万元),11321,4737,3341,4012,3367,4076,2211,2924,3187,1074,620,51,
应收保费(万元),,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,
其他应收款(万元),,100,,,,,,150,150,209,245,4199,
应收出口退税(万元),,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,
存货(万元),32574,26942,23930,13387,14550,8159,6642,7092,6574,5547,7749,8,
待摊费用(万元),,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,
其他流动资产(万元),9456,2460,1735,1572,2351,2090,441,1355,1453,2200,3030,2008,
流动资产合计(万元),139091,129203,65915,54529,60561,31804,24113,27679,28401,19758,20218,11631,
发放贷款及垫款(万元),,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,
长期股权投资(万元),,,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,
固定资产原值(万元),,59132,,52374,,,,,,,,,
累计折旧(万元),,9467,,7665,,,,,,,,,
固定资产净值(万元),,49665,,44709,,,,,,,,,
固定资产减值准备(万元),,,,,,,,,,,,,
固定资产(万元),,49665,,44709,,,,21324,21932,22588,23219,75,
在建工程(万元),,1204,,,,,,4887,1632,1152,234,17620,
工程物资(万元),,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,
无形资产(万元),2746,2764,2780,2799,2797,2830,2896,2928,2961,2994,2996,3054,
开发支出(万元),,,,,,,,,,,,,
商誉(万元),,,,,,,,,,,,,
长期待摊费用(万元),,,,,,,,,,,,,
股权分置流通权(万元),,,,,,,,,,,,,
递延所得税资产(万元),175,325,220,182,106,59,38,28,49,50,26,,
其他非流动资产(万元),,,,,196,205,224,,,,28,,
非流动资产合计(万元),58596,53952,53826,54739,54943,51100,34459,29167,26574,26784,26502,20749,
