报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-06-30,2018-12-31,2017-12-31,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),56450,50763,39303,34827,32415,26126,15349,19051,16262,15379,14234,11052,11267,
结算备付金(万元),,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,
交易性金融资产(万元),30120,,,,3,,,,,,,,87,
衍生金融资产(万元),,,,,,,,,,,,,,
应收票据(万元),,,,,270,,,365,403,3666,792,1980,495,
应收账款(万元),7026,9442,14487,10133,6006,,,4785,7671,7868,5747,8780,6156,
预付款项(万元),46328,16398,15865,14040,14253,7180,13183,9112,15361,24797,21078,33977,32738,
应收保费(万元),,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,
其他应收款(万元),,,,,,,,1391,1205,925,735,9950,14751,
应收出口退税(万元),,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,
存货(万元),78323,70981,96407,63939,67846,70863,49846,45604,40406,20704,11031,11036,10181,
待摊费用(万元),,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,
其他流动资产(万元),390,221,808,1043,13,19,0,4,0,230,9,1245,3611,
流动资产合计(万元),219312,150000,169683,128296,122417,112988,92878,80313,81308,73568,53626,78019,79285,
发放贷款及垫款(万元),,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,
长期股权投资(万元),,,,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,
固定资产原值(万元),,,,72059,,,,,,,,,,
累计折旧(万元),,,,33435,,,,,,,,,,
固定资产净值(万元),,,,38623,,,,,,,,,,
固定资产减值准备(万元),,,,,,,,,,,,,,
固定资产(万元),,,,38623,,,,28652,29381,31714,21438,21512,24392,
在建工程(万元),,,,,,,,3346,1886,370,8981,1391,31,
工程物资(万元),,,,,,,,,,,0,,,
固定资产清理(万元),,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,
