报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2009-09-30,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),17564,20956,22193,16042,15998,20821,17376,20254,18226,19210,19134,17663,29633,13704,10107,13844,14293,12434,10905,11389,6667,5590,3001,571,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,,0,0,0,0,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,,0,0,0,0,
交易性金融资产(万元),,0,,,,,,,,,,,,,,,,,,,0,0,0,0,
衍生金融资产(万元),,0,,7,17,,,,49,,,,,,,,,,,,0,0,0,0,
应收票据(万元),102,189,276,86,,18,19,29,56,32,53,71,105,85,79,65,77,67,218,,0,0,0,0,
应收账款(万元),13200,12946,12303,11571,13420,10556,8912,7436,8303,7596,6919,7215,6147,5817,4870,5083,3107,2574,850,336,242,159,53,159,
预付款项(万元),573,509,453,810,740,861,791,468,1401,1120,1117,835,2099,1008,833,510,403,371,179,54,957,39,169,88,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,0,0,0,0,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,0,0,0,0,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,0,0,0,0,
应收利息(万元),123,252,203,121,,114,69,57,63,79,62,66,40,62,42,97,5,33,15,4,0,0,8,0,
应收股利(万元),,,,,,,,,,,,,,,,,,,,,0,0,0,0,
其他应收款(万元),,21,,1,113,14,16,1,16,6,39,9,24,18,18,11,8,7,7,4,94,5,334,1,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,0,0,0,0,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,0,0,0,0,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,,0,0,0,0,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,0,0,0,0,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,,0,0,0,0,
存货(万元),9457,10011,10536,10666,12242,12171,11074,9395,7977,5963,5227,4054,5262,5995,6687,5494,3890,3722,3488,4358,866,1175,438,367,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,0,0,0,0,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,0,0,0,0,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,,,0,0,0,0,
其他流动资产(万元),7670,2474,4073,10867,8125,2947,6619,7057,8851,12977,14419,16603,2500,6,2014,38,,163,180,,0,0,12,12,
流动资产合计(万元),48706,47356,50051,50172,50654,47502,44877,44696,44942,46983,46970,46516,45809,26695,24650,25141,21782,19371,15843,16144,8826,6968,4016,1198,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,,0,0,0,0,
可供出售金融资产(万元),,,,2938,3188,3188,1190,1190,200,200,200,200,200,200,200,200,,,,,0,0,0,0,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,,,,0,0,0,0,
长期应收款(万元),,,,,,,,,,,,,,,,,,,,,0,0,0,0,
长期股权投资(万元),2879,3188,3454,3715,3402,3337,3253,3224,3972,749,729,730,,,,,,,,,0,0,0,0,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,,,0,0,0,0,
投资性房地产(万元),,,,,,,,,,,,,,,,,,,,,0,0,0,0,
固定资产原值(万元),,15791,,15734,,15719,,15514,,10736,,10392,,,10246,10234,9619,8081,6937,3586,1995,1948,0,0,
累计折旧(万元),,6228,,5700,,5163,,4617,,4156,,3839,,,3296,3115,2427,1846,1340,1023,546,429,0,0,
固定资产净值(万元),,9562,,10034,,10557,,10897,,6580,,6554,,,6950,7118,7192,6235,5597,2564,1449,1520,0,0,
固定资产减值准备(万元),,,,,,,,,,,,,,,,,,,,,0,0,0,0,
固定资产(万元),,9562,,10034,10288,10557,10709,10897,7517,6580,6587,6554,6720,6794,6950,7118,7192,6235,5597,2564,1449,1520,1326,1306,
在建工程(万元),,,,,87,120,,0,2464,2559,1364,924,480,49,35,,4,,7,959,0,0,160,315,
工程物资(万元),,,,,,,,,,,,,,,,,,,,,0,0,0,0,
固定资产清理(万元),,,,,,,,,,,,,,,,,,,,,0,0,0,0,
生产性生物资产(万元),,,,,,,,,,,,,,,,,,,,,0,0,0,0,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,,,,0,0,0,0,
油气资产(万元),,,,,,,,,,,,,,,,,,,,,0,0,0,0,
无形资产(万元),1601,1599,1611,1622,1633,1645,1656,1667,1678,1683,1694,1704,1706,1416,1426,1436,1475,1515,1555,1599,1149,83,108,133,
开发支出(万元),,,,,,,,,,,,,,,,,,,,,0,0,0,0,
商誉(万元),,,,,,,,,,,,,,,,,,,,,0,0,0,0,
长期待摊费用(万元),12,14,16,20,15,30,41,36,46,55,69,83,98,105,94,102,133,159,173,48,0,0,0,0,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,,,,0,0,0,0,
递延所得税资产(万元),183,168,177,226,181,153,144,143,97,88,90,96,88,87,101,96,73,43,21,3,4,2,11,15,
其他非流动资产(万元),4048,4044,24,8,390,394,777,437,390,535,1403,643,441,709,415,415,37,35,42,236,0,0,0,0,
非流动资产合计(万元),20976,21512,18044,18562,19184,19423,17771,17594,16364,12449,12137,10934,9733,9359,9221,9367,8913,7986,7395,5409,2602,1605,1605,1769,
资产总计(万元),69682,68869,68095,68734,69838,66925,62648,62290,61306,59432,59106,57450,55543,36054,33871,34509,30696,27357,23238,21553,11428,8573,5620,2968,
短期借款(万元),7000,7000,6000,6000,6000,3000,,,,,,,,,,,,,,,0,0,0,0,
向中央银行借款(万元),,,,,,,,,,,,,,,,,,,,,0,0,0,0,
