报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),4840,5950,1530,3440,3738,4402,5135,8342,8964,10176,10438,9713,8244,9227,4887,23498,1138,6700,2358,5952,8008,7500,14588,3928,2327,1965,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,,,,,0,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,,,,,0,,,
交易性金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,0,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,0,,,
应收票据(万元),7884,3991,4844,9311,7611,8546,9660,9299,9595,9291,10005,6727,8855,7837,6911,5378,4714,5787,6824,6938,5874,8326,4152,763,1634,1604,
应收账款(万元),11781,14800,15314,16082,13657,15578,12424,11689,14761,14531,12636,12928,15075,13485,13866,12818,14154,11685,13391,11621,10138,8836,7862,7196,4656,2595,
预付款项(万元),7031,8154,9740,2751,9136,4220,9976,3764,7513,4184,6400,3440,3771,5031,5999,1687,5651,2251,5373,2217,750,2240,720,929,897,1673,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,,,,0,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,,0,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,,0,,,
应收利息(万元),,,,,,,,,,,,,,,,,,,,,,,,0,,,
应收股利(万元),,,,,,,,,,,,,,,,,,,,,,,,0,,,
其他应收款(万元),,729,,455,467,538,625,451,520,364,329,278,1424,349,586,298,636,560,785,310,164,238,143,156,163,401,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,,,,0,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,,,,0,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,,,,,0,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,,,,0,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,0,,,
存货(万元),17271,17625,17283,15435,16607,15627,13252,14960,13252,13073,14429,13500,14303,14238,14237,14291,15211,15473,15257,12942,13258,12214,12962,9522,7021,6306,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,,,,0,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,,,,0,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,,,,,,0,,,
其他流动资产(万元),155,360,166,255,204,267,347,721,182,218,640,7235,5218,4228,8213,295,296,297,329,366,441,441,680,328,180,69,
流动资产合计(万元),49643,51609,49689,47728,51421,49177,51420,49228,54788,51839,54878,53820,56890,54396,54699,58266,41800,42752,44319,40345,38633,39794,41108,22821,16878,14612,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,,,,,0,,,
可供出售金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,0,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,,,,,,,0,,,
长期应收款(万元),,,,,,,,,,,,,,,,,,,,,,,,0,,,
长期股权投资(万元),,,,,,,,,,,,,,,,,,,,,,,,0,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,,,,,,0,,,
投资性房地产(万元),,,112,114,115,116,117,119,,,,,,,,,,,,,,,,0,,,
固定资产原值(万元),,29677,,29404,,17434,,17307,,17324,,17086,,16668,,16556,15315,15289,15279,15273,13441,,,10540,,,
累计折旧(万元),,11492,,10477,,9988,,9381,,8742,,8124,,7626,,7007,6704,6402,6101,5789,4682,,,2001,,,
固定资产净值(万元),,18185,,18927,,7446,,7926,,8582,,8963,,9042,,9549,8610,8887,9179,9483,8759,,,8538,,,
固定资产减值准备(万元),,,,,,,,,,,,,,,,,,,,,,,,0,,,
固定资产(万元),,18185,,18927,7144,7446,7616,7926,8305,8582,8616,8963,8746,9042,9239,9549,8610,8887,9179,9483,8759,9075,8059,8538,2036,1536,
在建工程(万元),,5684,,4309,13261,11106,10618,9971,5176,4175,3071,2576,1695,1570,915,830,1254,1185,877,791,363,,345,0,5857,2584,
工程物资(万元),,,,,,,,,,,,,,,,,,,,,,,,0,,,
固定资产清理(万元),,,,,,,,,,,,,,,,,,,,,,,,0,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,,,0,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,,,0,,,
油气资产(万元),,,,,,,,,,,,,,,,,,,,,,,,0,,,
无形资产(万元),4035,4057,4085,4110,4138,4165,3797,3823,3848,,3897,3921,3900,3925,3950,3975,3999,4023,4046,4072,4116,4205,4296,2846,1523,665,
开发支出(万元),,,,,,,,,,3872,,,,,,,,,,,,,,0,,,
商誉(万元),,,,,,,,,,,,,,,,,,,,,,,,0,,,
长期待摊费用(万元),1098,1143,1188,1233,1277,1322,1367,1412,1457,1502,719,723,727,732,736,740,744,748,752,756,773,,,0,,,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,,,,,,,0,,,
递延所得税资产(万元),215,212,236,236,317,327,167,166,183,180,171,171,177,165,161,154,149,125,132,137,93,83,113,60,45,29,
其他非流动资产(万元),856,1148,556,735,1834,2614,1479,773,1071,877,517,340,1206,946,660,60,,,,,,,,0,,,
非流动资产合计(万元),30759,30428,29292,29664,28086,27095,25161,24190,20041,19188,16992,16694,16452,16379,15661,15307,14756,14968,14987,15238,14103,13363,12813,11445,9461,4813,
资产总计(万元),80402,82037,78980,77392,79507,76272,76581,73418,74829,71026,71870,70514,73343,70775,70360,73572,56556,57719,59306,55583,52737,53158,53921,34266,26339,19424,
短期借款(万元),11000,12000,12000,9100,12000,11000,11000,8000,11000,8000,7000,7000,10000,10000,9000,13000,14200,17000,18000,14000,16000,11800,16000,9000,6000,3500,
