报告日期,2019-09-30,2019-03-31,2018-12-31,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
货币资金(万元),100466,55650,62594,48235,47909,35716,38323,
结算备付金(万元),,,,,,,,
拆出资金(万元),,,,,,,,
交易性金融资产(万元),,588,,,435,2028,79,
衍生金融资产(万元),,,,,,,,
应收票据(万元),,,,,42,45,,
应收账款(万元),33547,24217,30032,,28856,25926,21433,
预付款项(万元),812,688,523,291,444,1046,601,
应收保费(万元),,,,,,,,
应收分保账款(万元),,,,,,,,
应收分保合同准备金(万元),,,,,,,,
应收利息(万元),82,114,75,,100,,,
应收股利(万元),,,,,,,,
其他应收款(万元),,1756,1047,1878,886,29260,37434,
应收出口退税(万元),,,,,,,,
应收补贴款(万元),,,,,,,,
应收保证金(万元),,,,,,,,
内部应收款(万元),,,,,,,,
买入返售金融资产(万元),,,,,,,,
存货(万元),17649,16955,15599,16769,16117,15955,14496,
待摊费用(万元),,,,,,,,
待处理流动资产损益(万元),,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,
其他流动资产(万元),2238,858,1004,1068,1014,11991,6216,
流动资产合计(万元),156223,100826,110874,100190,95802,121968,118583,
发放贷款及垫款(万元),,,,,,,,
可供出售金融资产(万元),,,,,,,,
持有至到期投资(万元),,,,,,,,
长期应收款(万元),,,,,,,,
长期股权投资(万元),,,,,,,,
其他长期投资(万元),,,,,,,,
投资性房地产(万元),,,,,,,,
固定资产原值(万元),,67884,67179,,,,,
累计折旧(万元),,35084,34051,,,,,
固定资产净值(万元),,32800,33127,,,,,
固定资产减值准备(万元),,,,,,,,
固定资产(万元),,32800,33127,33985,33811,33131,33047,
在建工程(万元),,,,1678,2127,6268,1146,
工程物资(万元),,,,,,,,
固定资产清理(万元),,,,,,,,
生产性生物资产(万元),,,,,,,,
公益性生物资产(万元),,,,,,,,
油气资产(万元),,,,,,,,
无形资产(万元),4063,4130,4169,4235,1609,6250,1668,
开发支出(万元),,,,,,,,
商誉(万元),,,,,,2714,,
长期待摊费用(万元),781,638,630,658,656,1141,1915,
股权分置流通权(万元),,,,,,,,
递延所得税资产(万元),645,424,582,765,469,505,990,
其他非流动资产(万元),1815,1669,1169,950,3211,,,
非流动资产合计(万元),65595,53302,49232,42272,41883,50009,38765,
资产总计(万元),221818,154128,160106,142461,137685,171977,157348,
短期借款(万元),,,,,,4856,6904,
向中央银行借款(万元),,,,,,,,
吸收存款及同业存放(万元),,,,,,,,
拆入资金(万元),,,,,,,,
交易性金融负债(万元),1649,,,1801,6036,6072,18683,
衍生金融负债(万元),,,,,,,,
应付票据(万元),2723,3324,2683,,2978,2973,2689,
应付账款(万元),29804,27123,29924,,22569,22788,19935,
预收账款(万元),2377,1004,1080,675,610,939,613,
卖出回购金融资产款(万元),,,,,,,,
应付手续费及佣金(万元),,,,,,,,
应付职工薪酬(万元),6408,5376,7328,5847,7295,6523,5246,
应交税费(万元),1435,1339,851,1961,802,2059,2029,
应付利息(万元),,,,,191,110,147,
应付股利(万元),,,,,,,,
其他应交款(万元),,,,,,,,
应付保证金(万元),,,,,,,,
内部应付款(万元),,,,,,,,
其他应付款(万元),,2163,2740,2564,2396,7387,4174,
预提费用(万元),,,,,,,,
预计流动负债(万元),,,,,,,,
应付分保账款(万元),,,,,,,,
保险合同准备金(万元),,,,,,,,
代理买卖证券款(万元),,,,,,,,
代理承销证券款(万元),,,,,,,,
国际票证结算(万元),,,,,,,,
国内票证结算(万元),,,,,,,,
递延收益(万元),,,,,,,,
应付短期债券(万元),,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,
其他流动负债(万元),,,,,,,,
流动负债合计(万元),47227,40329,44606,41111,42877,53707,60419,
长期借款(万元),,,,,,,,
应付债券(万元),,,,,,,,
长期应付款(万元),,,,,,,,
专项应付款(万元),,,,,,,,
预计非流动负债(万元),,,,,,,,
长期递延收益(万元),738,833,881,914,568,499,339,
递延所得税负债(万元),,,,,,,,
其他非流动负债(万元),,,,,,,,
非流动负债合计(万元),738,833,881,914,568,499,339,
负债合计(万元),47965,41162,45487,42025,43445,54206,60758,
实收资本(或股本)(万元),40101,36001,36001,36001,36001,21372,21372,
资本公积(万元),99969,54981,54981,53552,53552,4335,4335,
减:库存股(万元),,,,,,,,
专项储备(万元),,,,,,,,
盈余公积(万元),3736,3736,3736,1153,1153,9096,6783,
一般风险准备(万元),,,,,,,,
未确定的投资损失(万元),,,,,,,,
未分配利润(万元),30080,18280,19933,9762,3565,83002,64134,
拟分配现金股利(万元),,,,,,,,
外币报表折算差额(万元),,,,,,,,
归属于母公司股东权益合计(万元),173853,112966,114620,100437,94240,117771,96590,
少数股东权益(万元),,,,,,,,
所有者权益(或股东权益)合计(万元),173853,112966,114620,100437,94240,117771,96590,
负债和所有者权益(或股东权益)总计(万元),221818,154128,160106,142461,137685,171977,157348,		
