报告日期,2019-09-30,2019-06-30,2018-12-31,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),10214,9239,8004,10888,16024,13837,13346,7842,
结算备付金(万元),,,,,,,,,
拆出资金(万元),,,,,,,,,
交易性金融资产(万元),,,,,,,,,
衍生金融资产(万元),,,,,,,,,
应收票据(万元),,18217,,,13525,15370,11086,10524,
应收账款(万元),28481,23732,,,20683,19707,20039,23498,
预付款项(万元),758,1192,1520,897,551,799,685,1152,
应收保费(万元),,,,,,,,,
应收分保账款(万元),,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,
应收利息(万元),,,,,,,,,
应收股利(万元),,,,,,,,,
其他应收款(万元),,119,,,811,578,454,465,
应收出口退税(万元),,,,,,,,,
应收补贴款(万元),,,,,,,,,
应收保证金(万元),,,,,,,,,
内部应收款(万元),,,,,,,,,
买入返售金融资产(万元),,,,,,,,,
存货(万元),25448,25491,29732,24688,23987,24900,24219,13088,
待摊费用(万元),,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,
其他流动资产(万元),54,495,615,288,465,464,90,53,
流动资产合计(万元),82224,78486,76601,73503,76046,75655,69919,56622,
发放贷款及垫款(万元),,,,,,,,,
可供出售金融资产(万元),,,,,,,,,
持有至到期投资(万元),,,,,,,,,
长期应收款(万元),,,,,,,,,
长期股权投资(万元),,,,,,,,3864,
其他长期投资(万元),,,,,,,,,
投资性房地产(万元),,,,,,,,,
固定资产原值(万元),,45373,,,,,,,
累计折旧(万元),,17004,,,,,,,
固定资产净值(万元),,28369,,,,,,,
固定资产减值准备(万元),,,,,,,,,
固定资产(万元),,28369,,,18180,19206,19883,7076,
在建工程(万元),,12008,,,7497,4611,1284,,
工程物资(万元),,,,,,,,,
固定资产清理(万元),,,,,,,,,
生产性生物资产(万元),,,,,,,,,
公益性生物资产(万元),,,,,,,,,
油气资产(万元),,,,,,,,,
无形资产(万元),7420,7471,7561,7237,7264,5137,5002,1031,
开发支出(万元),,,,,,,,,
商誉(万元),,,,,,,,,
长期待摊费用(万元),287,287,287,287,165,165,,,
股权分置流通权(万元),,,,,,,,,
递延所得税资产(万元),499,442,450,408,450,496,439,396,
其他非流动资产(万元),1554,1470,1732,2565,3019,1448,614,,
非流动资产合计(万元),50781,50047,49048,41658,36575,31064,27221,12366,
资产总计(万元),133005,128533,125648,115161,112622,106719,97141,68988,
短期借款(万元),,,,,1500,1500,200,200,
向中央银行借款(万元),,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,
拆入资金(万元),,,,,,,,,
交易性金融负债(万元),,,,,,,,,
衍生金融负债(万元),,,,,,,,,
应付票据(万元),13000,13185,,,15392,9277,12972,7300,
应付账款(万元),11540,9616,,,9958,12127,10619,7693,
预收账款(万元),584,643,1252,717,1237,392,634,780,
卖出回购金融资产款(万元),,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,
应付职工薪酬(万元),2001,2138,2192,1882,1773,2029,1921,2087,
应交税费(万元),441,372,284,523,185,385,361,1070,
应付利息(万元),,,,,2,2,0,0,
应付股利(万元),,30,,,,1407,5351,8748,
其他应交款(万元),,,,,,,,,
应付保证金(万元),,,,,,,,,
内部应付款(万元),,,,,,,,,
其他应付款(万元),,1091,,,1224,1401,4598,864,
预提费用(万元),,,,,,,,,
预计流动负债(万元),,,,,,,,,
应付分保账款(万元),,,,,,,,,
保险合同准备金(万元),,,,,,,,,
代理买卖证券款(万元),,,,,,,,,
代理承销证券款(万元),,,,,,,,,
国际票证结算(万元),,,,,,,,,
国内票证结算(万元),,,,,,,,,
递延收益(万元),,,,,,,,,
应付短期债券(万元),,,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,,
其他流动负债(万元),,,,,,,,,
流动负债合计(万元),28576,27075,29831,27671,31271,28519,36657,28743,
长期借款(万元),,,,,,,,,
应付债券(万元),,,,,,,,,
长期应付款(万元),,,,,,,,,
专项应付款(万元),,,,,,,,,
预计非流动负债(万元),,,,,,,,,
长期递延收益(万元),1407,1464,1578,1806,1920,2034,262,301,
递延所得税负债(万元),,,,,,,,,
其他非流动负债(万元),,,,,,,,,
非流动负债合计(万元),1407,1464,1578,1806,1920,2034,262,301,
负债合计(万元),29983,28540,31409,29478,33192,30554,36919,29044,
实收资本(或股本)(万元),37597,37597,37597,37597,37597,37597,5307,3360,
资本公积(万元),10236,10236,10236,10236,10236,10236,23409,3533,
减:库存股(万元),,,,,,,,,
专项储备(万元),,,,,,,,,
盈余公积(万元),728,728,728,350,241,241,1884,1879,
一般风险准备(万元),,,,,,,,,
未确定的投资损失(万元),,,,,,,,,
未分配利润(万元),53254,50242,44468,36414,30302,27075,28743,22056,
拟分配现金股利(万元),,,,,,,,,
外币报表折算差额(万元),,,,,,,,,
归属于母公司股东权益合计(万元),101815,98803,93029,84597,78376,75149,59344,30828,
少数股东权益(万元),1207,1190,1210,1086,1053,1016,878,9116,
所有者权益(或股东权益)合计(万元),103022,99994,94239,85683,79430,76165,60222,39944,
负债和所有者权益(或股东权益)总计(万元),133005,128533,125648,115161,112622,106719,97141,68988,		
