报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),54896,46449,34775,33233,21033,9827,9335,4448,498,
结算备付金(万元),,,,,,,,,,
拆出资金(万元),,,,,,,,,,
交易性金融资产(万元),57000,61500,,,,,,,29,
衍生金融资产(万元),,,,,,,,,,
应收票据(万元),1584,4753,5102,2277,1610,4025,,,,
应收账款(万元),19848,12311,13098,9489,5924,8757,8409,9244,3958,
预付款项(万元),481,437,401,361,334,217,107,454,54,
应收保费(万元),,,,,,,,,,
应收分保账款(万元),,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,
应收利息(万元),,,,,,,,,,
应收股利(万元),,,,,,,,,,
其他应收款(万元),,694,,727,1685,237,452,516,255,
应收出口退税(万元),,,,,,,,,,
应收补贴款(万元),,,,,,,,,,
应收保证金(万元),,,,,,,,,,
内部应收款(万元),,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,
存货(万元),28475,22696,22379,30378,20855,14576,14212,4866,3188,
待摊费用(万元),,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,
其他流动资产(万元),620,634,1403,718,681,708,1251,,,
流动资产合计(万元),163958,149475,77517,77183,52122,38347,33766,19528,7982,
发放贷款及垫款(万元),,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,
长期应收款(万元),,,,,,,,,,
长期股权投资(万元),,,,,,,,,,
其他长期投资(万元),,,,,,,,,,
投资性房地产(万元),,,,,,,,,,
固定资产原值(万元),,10918,,9632,8491,,4714,,,
累计折旧(万元),,2428,,2002,1256,,881,,,
固定资产净值(万元),,8490,,7630,7235,,3833,,,
固定资产减值准备(万元),,,,,,,,,,
固定资产(万元),,8490,,7630,7235,3837,3833,3003,2307,
在建工程(万元),,1407,,,,1520,,8,53,
工程物资(万元),,,,,,,,,,
固定资产清理(万元),,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,
油气资产(万元),,,,,,,,,,
无形资产(万元),1264,1264,1275,1274,1273,872,868,851,854,
开发支出(万元),,,,,,,,,,
商誉(万元),,,,,,,,,,
长期待摊费用(万元),141,149,110,129,186,243,267,205,158,
股权分置流通权(万元),,,,,,,,,,
递延所得税资产(万元),889,772,940,850,654,569,485,245,75,
其他非流动资产(万元),206,331,401,489,227,186,101,202,17,
非流动资产合计(万元),13143,12413,12327,11557,9595,7227,6573,4513,3464,
资产总计(万元),177102,161888,89844,88740,61718,45573,40339,24041,11446,
短期借款(万元),430,430,2430,2000,1800,,100,1180,815,
向中央银行借款(万元),,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,
拆入资金(万元),,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,
应付票据(万元),6000,,,8131,,,,,,
应付账款(万元),7947,6053,,7707,6802,4746,3993,4132,3336,
预收账款(万元),1197,1319,1265,631,5773,1842,588,284,103,
卖出回购金融资产款(万元),,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,
应付职工薪酬(万元),3754,2779,2105,3443,2339,1287,1766,1070,544,
应交税费(万元),2290,983,1968,678,621,820,1257,2287,746,
应付利息(万元),,,,,,,,,,
应付股利(万元),42,,,,,,,,,
其他应交款(万元),,,,,,,,,,
应付保证金(万元),,,,,,,,,,
内部应付款(万元),,,,,,,,,,
其他应付款(万元),,2522,,1825,1542,807,979,3049,235,
预提费用(万元),,,,,,,,,,
预计流动负债(万元),,,,,,,,,,
应付分保账款(万元),,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,
国际票证结算(万元),,,,,,,,,,
国内票证结算(万元),,,,,,,,,,
递延收益(万元),,,,,,,,,,
应付短期债券(万元),,,,,,,,,,
一年内到期的非流动负债(万元),490,490,490,,380,500,240,,,
其他流动负债(万元),,,,,,,,,,
流动负债合计(万元),24260,14576,18396,24417,19257,10003,8923,12001,5779,
长期借款(万元),,,,490,,,380,,,
应付债券(万元),,,,,,,,,,
长期应付款(万元),,,,,,,,,,
专项应付款(万元),,,,,,,,,,
预计非流动负债(万元),,,,,,,,,,
长期递延收益(万元),625,726,763,785,569,631,673,552,67,
递延所得税负债(万元),,,,,,,,,0,
其他非流动负债(万元),,,,,,,,,,
非流动负债合计(万元),625,726,763,1275,569,631,1053,552,67,
负债合计(万元),24885,15302,19159,25692,19826,10634,9976,12553,5846,
实收资本(或股本)(万元),10000,10000,7500,7500,7500,7500,7500,1530,1380,
资本公积(万元),83204,83204,15821,15821,15821,15821,15821,1843,776,
减:库存股(万元),,,,,,,,,,
专项储备(万元),,,,,,,,,,
盈余公积(万元),3735,3735,3735,3735,1802,685,685,835,356,
一般风险准备(万元),,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,
未分配利润(万元),55270,49662,43650,35987,16788,10938,6357,7281,3087,
拟分配现金股利(万元),,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,
归属于母公司股东权益合计(万元),152216,146586,70685,63048,41892,34939,30363,11489,5598,
少数股东权益(万元),,,,,,,,,2,
所有者权益(或股东权益)合计(万元),152216,146586,70685,63048,41892,34939,30363,11489,5601,
负债和所有者权益(或股东权益)总计(万元),177102,161888,89844,88740,61718,45573,40339,24041,11446,		
