报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-06-30,2018-12-31,2017-12-31,2016-12-31,
货币资金(万元),69351,54397,58279,50641,42674,51251,41204,34917,
结算备付金(万元),,,,,,,,,
拆出资金(万元),,,,,,,,,
交易性金融资产(万元),48229,18416,8169,151,,104,,,
衍生金融资产(万元),,,,,,,,,
应收票据(万元),7485,5977,7737,7200,5232,,,,
应收账款(万元),73005,60830,48803,66681,59789,,,,
预付款项(万元),1830,1875,2317,1194,1389,1389,1720,1123,
应收保费(万元),,,,,,,,,
应收分保账款(万元),,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,
应收利息(万元),0,,,,,,,,
应收股利(万元),,,,,,,,,
其他应收款(万元),,,1754,2882,,,,,
应收出口退税(万元),,,,,,,,,
应收补贴款(万元),,,,,,,,,
应收保证金(万元),,,,,,,,,
内部应收款(万元),,,,,,,,,
买入返售金融资产(万元),,,,,,,,,
存货(万元),43854,36066,36984,39709,35689,39539,30728,26841,
待摊费用(万元),,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,
其他流动资产(万元),2580,1107,1431,1472,270,1027,203,132,
流动资产合计(万元),255930,186531,173485,169930,147352,170541,145367,132630,
发放贷款及垫款(万元),,,,,,,,,
可供出售金融资产(万元),,,,,,,,,
持有至到期投资(万元),,,,,,,,,
长期应收款(万元),,,,,,,,,
长期股权投资(万元),,,,,,,,,
其他长期投资(万元),,,,,,,,,
投资性房地产(万元),22,23,23,24,25,26,28,30,
固定资产原值(万元),,,123191,121448,,,,,
累计折旧(万元),,,62850,60381,,,,,
固定资产净值(万元),,,60342,61067,,,,,
固定资产减值准备(万元),,,,,,,,,
固定资产(万元),,,60342,61067,,,,,
在建工程(万元),,,8856,5600,,,,,
工程物资(万元),,,,,,,,,
固定资产清理(万元),,,,,,,,,
生产性生物资产(万元),,,,,,,,,
公益性生物资产(万元),,,,,,,,,
油气资产(万元),,,,,,,,,
无形资产(万元),8688,8598,8690,8617,8741,8872,8113,8043,
开发支出(万元),,,,,,,,,
商誉(万元),,,,,,,136,136,
长期待摊费用(万元),583,620,716,676,597,657,575,113,
股权分置流通权(万元),,,,,,,,,
递延所得税资产(万元),1496,1269,1230,1306,1053,1051,669,677,
其他非流动资产(万元),6894,2538,2293,3183,3568,1735,2346,1091,
非流动资产合计(万元),90783,84225,82151,80472,70055,67465,63053,59732,
资产总计(万元),346714,270756,255635,250402,217407,238006,208420,192362,
短期借款(万元),15075,20191,22626,15737,15437,23295,28601,28280,
向中央银行借款(万元),,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,
拆入资金(万元),,,,,,,,,
交易性金融负债(万元),91,12,258,,63,,,,
衍生金融负债(万元),,,,,,,,,
应付票据(万元),14748,11174,10455,10994,11162,,,,
应付账款(万元),56486,43115,37931,48311,41138,,,,
预收账款(万元),,,,4030,3387,3792,3212,2540,
卖出回购金融资产款(万元),,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,
应付职工薪酬(万元),11670,8910,6918,11942,7622,12150,9603,9032,
应交税费(万元),3417,2345,1210,921,1915,1512,1799,2176,
应付利息(万元),,,,,,,,,
应付股利(万元),,,,,,,,,
其他应交款(万元),,,,,,,,,
应付保证金(万元),,,,,,,,,
内部应付款(万元),,,,,,,,,
其他应付款(万元),,,5435,5949,,,,,
预提费用(万元),,,,,,,,,
预计流动负债(万元),,,,,,,,,
应付分保账款(万元),,,,,,,,,
保险合同准备金(万元),,,,,,,,,
代理买卖证券款(万元),,,,,,,,,
代理承销证券款(万元),,,,,,,,,
国际票证结算(万元),,,,,,,,,
国内票证结算(万元),,,,,,,,,
递延收益(万元),,,,,,,,,
应付短期债券(万元),,,,,,,,,
一年内到期的非流动负债(万元),,,1455,1455,1356,1366,,900,
其他流动负债(万元),798,424,522,580,647,529,511,482,
流动负债合计(万元),111654,94278,90488,99918,86952,112251,109141,111528,
长期借款(万元),7301,6162,5953,,509,994,2121,2755,
应付债券(万元),,,,,,,,,
长期应付款(万元),,,,,,,,,
专项应付款(万元),,,,,,,,,
预计非流动负债(万元),,,,,,,,,
长期递延收益(万元),1268,1332,1182,1043,660,737,719,314,
递延所得税负债(万元),94,41,11,23,,16,,,
其他非流动负债(万元),,,,,,,,,
非流动负债合计(万元),8664,7535,7147,1066,1169,1747,2840,3068,
负债合计(万元),120318,101814,97635,100983,88120,113999,111981,114596,
实收资本(或股本)(万元),44668,40168,40168,40168,40168,40168,40168,36568,
资本公积(万元),98199,37881,36595,35308,32735,20599,20599,682,
减:库存股(万元),,,,,,,,,
专项储备(万元),,,,,,,,,
盈余公积(万元),6117,6117,6117,6117,4239,5268,2886,6040,
一般风险准备(万元),,,,,,,,,
未确定的投资损失(万元),,,,,,,,,
未分配利润(万元),77169,83392,74248,66719,51557,57236,32412,33921,
拟分配现金股利(万元),,,,,,,,,
外币报表折算差额(万元),,,,,,,,,
归属于母公司股东权益合计(万元),226396,168943,158001,149419,129287,124007,96439,77766,
少数股东权益(万元),,,,,,,,,
所有者权益(或股东权益)合计(万元),226396,168943,158001,149419,129287,124007,96439,77766,
负债和所有者权益(或股东权益)总计(万元),346714,270756,255635,250402,217407,238006,208420,192362,		
