报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-06-30,2018-12-31,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
货币资金(万元),204863,340614,142191,133413,81201,93297,128434,102893,122837,66756,
结算备付金(万元),,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,
交易性金融资产(万元),70000,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,
应收票据(万元),,,,,,2105,,,,,
应收账款(万元),122867,116868,103019,101794,121005,86745,,,,,
预付款项(万元),9994,9078,6548,5966,7241,4197,2979,2837,2832,1319,
应收保费(万元),,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,
应收利息(万元),,,,,,,,,,,
应收股利(万元),,,,,,,,,,,
其他应收款(万元),,4373,,,,,,,,,
应收出口退税(万元),,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,
存货(万元),69306,62115,53978,60483,57830,46671,40785,31329,27676,26639,
待摊费用(万元),,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,
一年内到期的非流动资产(万元),,,,4000,4741,5078,5209,4962,2067,1897,
其他流动资产(万元),55690,38962,41539,39961,33781,28974,17830,16312,9096,12031,
流动资产合计(万元),542648,583959,370780,357991,321796,279064,288327,229305,223146,160201,
发放贷款及垫款(万元),,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,100,
持有至到期投资(万元),,,,,,,,,,,
长期应收款(万元),,,,,2000,4000,6955,9078,12831,14897,
长期股权投资(万元),56318,49618,45464,45836,43179,35954,34685,28839,23427,3000,
其他长期投资(万元),,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,
固定资产原值(万元),,62298,,61785,,,,,,,
累计折旧(万元),,13262,,11675,,,,,,,
固定资产净值(万元),,49036,,50110,,,,,,,
固定资产减值准备(万元),,,,,,,,,,,
固定资产(万元),,49036,,50110,,,45698,31771,33242,14991,
在建工程(万元),,352782,,258422,,,316387,237973,113132,173120,
工程物资(万元),,,,,,,,,,,
