报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-06-30,2018-12-31,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
货币资金(万元),37628,54997,81086,19083,21740,19255,11251,15273,13612,19813,
结算备付金(万元),,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,
交易性金融资产(万元),35114,26000,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,
应收票据(万元),,,,,,,,,,,
应收账款(万元),14162,17917,17303,19861,17736,16903,,,,,
预付款项(万元),3288,4373,6033,1906,1102,2384,2320,2479,1781,1550,
应收保费(万元),,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,
应收利息(万元),,,,,,,,,,,
应收股利(万元),,,,,,,,,,,
其他应收款(万元),,293,,241,,,95,113,98,641,
应收出口退税(万元),,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,
存货(万元),17984,16272,15692,16112,16570,17999,16593,17915,12809,8938,
待摊费用(万元),,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,
其他流动资产(万元),1562,1327,1365,1348,1051,1644,596,2138,16583,8645,
流动资产合计(万元),109958,121180,121829,58552,58302,58833,54800,60717,57528,47384,
发放贷款及垫款(万元),,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,
长期股权投资(万元),,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,
投资性房地产(万元),652,661,,,,,,,,,
固定资产原值(万元),,50844,,36307,,,,,,,
累计折旧(万元),,15826,,15063,,,,,,,
固定资产净值(万元),,35018,,21243,,,,,,,
固定资产减值准备(万元),,,,,,,,,,,
固定资产(万元),,35018,,21243,,,19623,18845,15469,13708,
在建工程(万元),,,,,,,940,524,1262,599,
工程物资(万元),,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,
油气资产(万元),,,,,,,,,,,
无形资产(万元),9956,10027,10074,10181,10112,6611,4886,4712,2059,1994,
开发支出(万元),,,,,,,,,,,
商誉(万元),,,,,,,,,,,
长期待摊费用(万元),,,,,,,,,,,
股权分置流通权(万元),,,,,,,,,,,
递延所得税资产(万元),6,10,4,,7,5,94,444,1675,2024,
其他非流动资产(万元),377,639,918,2180,385,2205,1738,2001,2943,2139,
非流动资产合计(万元),56419,48711,44697,38737,33276,29031,27279,26525,23408,20464,
资产总计(万元),166377,169891,166526,97290,91579,87864,82079,87242,80935,67848,
短期借款(万元),2002,4276,4276,4660,13860,13700,19800,7500,,,
向中央银行借款(万元),,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,
交易性金融负债(万元),,73,111,93,37,566,426,,,27,
衍生金融负债(万元),,,,,,,,,,,
应付票据(万元),4601,4137,6224,6616,,,,,,,
应付账款(万元),10929,15175,8571,9598,9413,11081,,,,,
预收账款(万元),,,,152,113,188,107,168,71,53,
卖出回购金融资产款(万元),,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,
应付职工薪酬(万元),2192,2023,978,2714,1707,3150,1851,2879,2768,2567,
应交税费(万元),113,226,417,998,1312,1739,1519,1503,2287,2092,
应付利息(万元),,,,6,,,,,,,
应付股利(万元),,,,,,,,,,,
其他应交款(万元),,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,
其他应付款(万元),,56,,74,,,75,24941,8967,16267,
预提费用(万元),,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,
递延收益(万元),,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,,,,
其他流动负债(万元),388,463,309,416,31,222,701,740,538,548,
流动负债合计(万元),20480,26624,21144,25327,26541,30723,34901,47995,20628,29435,
