报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),45867,42250,46783,57856,41413,45614,41164,52089,56735,57022,66256,25411,18712,21782,27448,33422,19054,23052,
结算备付金(万元),,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,4000,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,
应收票据(万元),,,,131,,,,,,,,,,10,,30,,,
应收账款(万元),23758,22756,21182,15796,16125,16837,14799,12600,15639,14639,17701,12723,13545,11563,7986,8550,13320,11508,
预付款项(万元),3587,6054,5353,5230,3001,2664,3358,2043,3549,2115,1179,2843,3221,969,1883,5470,2539,9248,
应收保费(万元),,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,0,,,,,,,,,,,,,,,
应收股利(万元),,,,0,,,,,,,,,,,,,,,
其他应收款(万元),,314,,297,673,476,269,264,344,192,207,182,281,278,258,541,360,285,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,
存货(万元),29840,29339,28653,26272,27616,29850,25947,21434,19842,19862,13122,13388,13390,14241,12954,11569,18447,15323,
待摊费用(万元),,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,
其他流动资产(万元),4720,4677,6051,5354,19092,9086,17892,19280,1515,1868,1707,2143,1549,1295,1247,29,3186,,
流动资产合计(万元),108030,105389,108325,110936,107919,104527,103429,107709,101624,95698,100172,56690,50698,50138,51776,59612,56906,59416,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,0,,,,,,,,,,,,,1800,1800,
持有至到期投资(万元),,,,0,,,,,,,,,,,,,,,
长期应收款(万元),,,,0,,,,,,,,,,,,,,,
长期股权投资(万元),,,,0,,,,,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,
投资性房地产(万元),,,,0,,,,,,,,,,,,,,,
固定资产原值(万元),,67265,,66234,,61859,,59173,,56835,,55813,56427,55261,48146,35551,32772,,
累计折旧(万元),,28110,,26448,,24527,,22426,,20687,,18817,18058,17160,15465,13412,11038,,
固定资产净值(万元),,39155,,39786,,37332,,36748,,36148,,36996,38370,38100,32681,22139,21734,,
固定资产减值准备(万元),,,,,,,,,,,,,,,,,,,
固定资产(万元),,39155,,39786,37174,37332,36975,36748,35655,36148,36159,36996,38370,38100,32681,22139,21734,19376,
在建工程(万元),,6212,,2089,2689,2445,1419,1470,1125,1017,940,882,2161,3107,7826,12080,1882,1302,
工程物资(万元),,,,,,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,,,
无形资产(万元),18453,18544,18655,18518,15312,15386,15256,15354,15357,15430,15498,15578,14714,14797,14828,15174,9474,9699,
开发支出(万元),,,,,,,,,,,,,,,,,,,
商誉(万元),,,,,,,,,,,,,,,,,,,
长期待摊费用(万元),4574,4234,4431,4381,4064,4105,4057,4074,3423,3302,3298,3349,1036,1086,987,200,149,127,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,,
递延所得税资产(万元),1338,1379,1379,1340,1365,1390,1393,1393,1459,1464,1382,1412,1463,1472,1484,1022,261,251,
其他非流动资产(万元),3322,2382,1367,1595,1910,1382,1157,598,1602,850,217,91,1157,1239,538,1202,4239,,
非流动资产合计(万元),75590,71906,68389,67709,62514,62040,60257,59636,58620,58211,57493,58308,58901,59800,58343,51817,39538,32555,
资产总计(万元),183620,177295,176715,178645,170433,166567,163686,167346,160244,153909,157665,114998,109599,109938,110120,111429,96444,91971,
短期借款(万元),300,300,,198,198,600,600,1000,2100,6450,12960,12460,10950,11200,12800,17700,18800,20900,
向中央银行借款(万元),,,,,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,,,,,,,
应付票据(万元),1621,,,,,,0,1764,1764,0,705,2095,3355,3785,3228,2733,2704,3745,
应付账款(万元),9173,11354,,11541,,10127,10517,11200,10891,11015,8838,11420,7718,8376,8293,6987,6703,7336,
预收账款(万元),5414,6417,6475,12596,15122,15344,13787,16294,13822,7959,7558,10648,13211,12314,13823,17031,18672,19551,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,,,,
应付职工薪酬(万元),2305,2233,2617,3717,2230,2274,2190,3504,2112,2064,2023,2563,1992,1999,2166,2265,2509,1681,
应交税费(万元),3088,2827,1964,2877,3298,2203,2076,2541,3377,2016,2560,2946,3032,2081,3496,2811,3396,1801,
应付利息(万元),,,,0,,,,,,,,,,,,,,,
应付股利(万元),,,,0,,,,0,,2668,1,1,1,3466,,3851,,,
其他应交款(万元),,,,,,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,,,,,
其他应付款(万元),,352,,293,268,415,659,427,581,484,707,661,412,518,399,194,329,216,
预提费用(万元),,,,,,,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债(万元),,,,0,,,,,,,,,,,,,,,
其他流动负债(万元),1970,1161,2193,996,637,837,605,1135,599,536,793,793,358,391,541,552,48,,
流动负债合计(万元),24542,24644,24753,32217,29738,31800,30435,37864,35245,33192,36145,43587,41028,44129,44745,54125,53162,55230,
长期借款(万元),,,,0,,,,,,,,,,,,,,,
应付债券(万元),,,,0,,,,,,,,,,,,,,,
长期应付款(万元),,,,,,,,,,,,,,,,,,,
专项应付款(万元),,,,,,,,,,,,,,,,,,,
预计非流动负债(万元),,,,0,,,,,,,,,,,,,,,
长期递延收益(万元),4172,4293,4413,4534,4634,4753,4874,4996,5116,5238,5353,5087,5021,5181,5370,3473,,,
递延所得税负债(万元),590,614,661,661,,,,,,,,,,,,,,,
其他非流动负债(万元),,,,0,,,,,,,,,,,,,,,
非流动负债合计(万元),4762,4907,5074,5194,4634,4753,4874,4996,5116,5238,5353,5087,5021,5181,5370,3473,0,0,
负债合计(万元),29305,29550,29826,37411,34372,36553,35309,42860,40361,38430,41498,48674,46050,49309,50114,57599,53162,55230,
实收资本(或股本)(万元),30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,22800,22800,22800,22800,22800,20800,20297,
资本公积(万元),57476,57476,57476,57476,57476,57476,57476,57476,57476,57476,57476,17240,17240,17240,17240,17240,15640,1382,
减:库存股(万元),,,,0,,,,,,,,,,,,,,,
专项储备(万元),,,,0,,,,,,,,,,,,,,,
盈余公积(万元),6713,6713,6713,6713,4905,4905,4905,4905,4046,4046,4046,4046,2665,2665,2665,1751,734,2082,
一般风险准备(万元),,,,0,,,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,,,,,,
未分配利润(万元),59726,53156,52299,46645,43281,37234,35596,31705,27961,23557,24245,22238,20844,17923,17300,12039,6108,12981,
拟分配现金股利(万元),,,,,,,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,,,,,,,
归属于母公司股东权益合计(万元),154315,147744,146888,141234,136062,130014,128377,124486,119883,115479,116167,66324,63549,60628,60005,53830,43282,36741,
少数股东权益(万元),,,,,,,,,,,,,,,,,,,
所有者权益(或股东权益)合计(万元),154315,147744,146888,141234,136062,130014,128377,124486,119883,115479,116167,66324,63549,60628,60005,53830,43282,36741,
负债和所有者权益(或股东权益)总计(万元),183620,177295,176715,178645,170433,166567,163686,167346,160244,153909,157665,114998,109599,109938,110120,111429,96444,91971,		
