报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2015-06-30,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,
货币资金(万元),10244,8049,10655,10062,11347,18095,25441,15151,35910,4315,6983,4488,4077,6276,6838,5534,3582,4015,6017,3475,5583,5399,5762,4410,3602,4921,7026,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),8800,5630,7416,,,,,,,,,,,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据(万元),8688,7310,12011,11530,14016,13612,7869,8460,6013,2746,3155,1259,687,395,93,112,46,344,118,48,64,122,78,18,105,,10,
应收账款(万元),18586,19708,19500,21098,22827,23850,25588,25601,20225,19442,21542,13899,12376,9833,8346,9347,8114,8642,7429,6852,3795,5718,5100,5923,4747,5208,5823,
预付款项(万元),1475,823,438,339,772,442,526,508,703,815,661,508,127,146,156,269,48,191,362,250,2838,475,2280,1686,2115,1710,2806,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收利息(万元),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
应收股利(万元),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
其他应收款(万元),,450,,421,492,616,543,715,819,737,585,354,340,83,119,139,137,139,148,84,88,65,70,106,215,198,205,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
存货(万元),16959,15565,16228,16339,16281,14987,17750,16058,17022,15452,13849,10144,6975,7829,8216,6891,7543,7605,7630,6222,7175,4546,5587,4812,5377,5421,6881,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产(万元),306,937,1098,9761,9130,9746,4154,13012,762,878,1625,2118,1546,2568,453,398,418,795,502,256,357,612,,,,,,
流动资产合计(万元),65415,58471,67837,69549,74865,81348,81871,79506,81454,44385,48400,32770,26128,27130,24222,22690,19889,21731,22206,17187,19900,16936,18876,16954,16162,17458,22752,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,0,,8,8,8,,,,,,,,,,,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资(万元),2004,2005,1998,1998,2000,2000,1000,,,,,,,,,,,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产原值(万元),,65042,,61650,,58446,,53616,,49330,46885,42307,,24341,,,,21815,,,,17111,,,,16936,,
累计折旧(万元),,18263,,16417,,15410,,13788,,12358,11089,8539,,6772,,,,5380,,,,7249,,,,6216,,
固定资产净值(万元),,46778,,45232,,43036,,39828,,36972,35796,33768,,17569,,,,16434,,,,9862,,,,10720,,
固定资产减值准备(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产(万元),,46778,,45232,42754,43036,41811,39828,36555,36972,35796,33768,26845,17569,17776,17998,17521,16434,9489,9652,9672,9862,10080,10267,10468,10720,10789,
在建工程(万元),,5761,,6994,7617,5028,4930,4140,3665,1879,169,1944,6294,4697,3393,1264,763,1690,6977,5593,3618,2319,1417,623,142,43,30,
工程物资(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,-27,
生产性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
无形资产(万元),3607,3610,3621,3650,3671,3700,3730,3742,3771,3799,3857,3922,3927,3978,4005,4033,4060,4042,2946,2968,2989,3011,3032,2838,2854,2870,954,
