报告日期,2020-09-30,2020-06-30,2019-12-31,2018-12-31,2017-12-31,2016-12-31,
货币资金(万元),19823,1010,3194,2936,1050,704,
结算备付金(万元),,,,,,,
拆出资金(万元),,,,,,,
交易性金融资产(万元),19617,3733,2280,,,,
衍生金融资产(万元),,,,,,,
应收票据(万元),,,,,,,
应收账款(万元),7961,6329,7345,,,,
预付款项(万元),953,389,237,297,153,589,
应收保费(万元),,,,,,,
应收分保账款(万元),,,,,,,
应收分保合同准备金(万元),,,,,,,
应收利息(万元),,,,,,,
应收股利(万元),,,,,,,
其他应收款(万元),,453,,,,,
应收出口退税(万元),,,,,,,
应收补贴款(万元),,,,,,,
应收保证金(万元),,,,,,,
内部应收款(万元),,,,,,,
买入返售金融资产(万元),,,,,,,
存货(万元),5579,4616,4970,5466,5470,4268,
待摊费用(万元),,,,,,,
待处理流动资产损益(万元),,,,,,,
一年内到期的非流动资产(万元),,,,,,,
其他流动资产(万元),1670,1976,1400,1998,8546,6931,
流动资产合计(万元),56033,18505,20149,21209,27492,24798,
发放贷款及垫款(万元),,,,,,,
可供出售金融资产(万元),,,,,,,
持有至到期投资(万元),,,,,,,
长期应收款(万元),,,,,,,
长期股权投资(万元),2091,2177,2056,1526,1413,1200,
其他长期投资(万元),,,,,,,
投资性房地产(万元),1010,1036,1087,1189,3702,3926,
固定资产原值(万元),,29216,,,,,
累计折旧(万元),,11706,,,,,
固定资产净值(万元),,17510,,,,,
固定资产减值准备(万元),,,,,,,
固定资产(万元),,17510,,,,,
在建工程(万元),,7825,,,,,
工程物资(万元),,,,,,,
固定资产清理(万元),,20,,,,,
生产性生物资产(万元),,,,,,,
公益性生物资产(万元),,,,,,,
油气资产(万元),,,,,,,
无形资产(万元),9960,10051,10240,6077,4426,4136,
开发支出(万元),,,,,,,
商誉(万元),,,,,,,
长期待摊费用(万元),16,44,54,109,34,13,
股权分置流通权(万元),,,,,,,
递延所得税资产(万元),1079,861,778,678,867,680,
其他非流动资产(万元),287,1523,997,346,1411,357,
非流动资产合计(万元),43792,41048,38904,26460,26105,25186,
资产总计(万元),99825,59553,59054,47669,53597,49985,
短期借款(万元),,,,,,,
向中央银行借款(万元),,,,,,,
吸收存款及同业存放(万元),,,,,,,
拆入资金(万元),,,,,,,
交易性金融负债(万元),,,,,,,
衍生金融负债(万元),,,,,,,
应付票据(万元),207,160,386,,,,
应付账款(万元),5975,4362,5261,,,,
预收账款(万元),22,,56,48,37,255,
卖出回购金融资产款(万元),,,,,,,
应付手续费及佣金(万元),,,,,,,
应付职工薪酬(万元),657,464,841,801,807,734,
应交税费(万元),747,932,1084,747,2525,1905,
应付利息(万元),,,,,,,
应付股利(万元),,,,,,,
其他应交款(万元),,,,,,,
应付保证金(万元),,,,,,,
内部应付款(万元),,,,,,,
其他应付款(万元),,81,,,,,
预提费用(万元),,,,,,,
预计流动负债(万元),,,,,,,
应付分保账款(万元),,,,,,,
保险合同准备金(万元),,,,,,,
代理买卖证券款(万元),,,,,,,
代理承销证券款(万元),,,,,,,
国际票证结算(万元),,,,,,,
国内票证结算(万元),,,,,,,
递延收益(万元),,,,,,,
应付短期债券(万元),,,,,,,
一年内到期的非流动负债(万元),,,,,,,
其他流动负债(万元),,,,,,,
流动负债合计(万元),8598,6038,7702,4153,12911,6624,
长期借款(万元),,,,,,,
应付债券(万元),,,,,,,
长期应付款(万元),,,,,,,
专项应付款(万元),,,,,,,
预计非流动负债(万元),,,,,,,
长期递延收益(万元),119,121,130,101,52,62,
递延所得税负债(万元),57,57,57,57,,,
其他非流动负债(万元),,,,,,,
非流动负债合计(万元),176,178,186,158,52,62,
负债合计(万元),8774,6216,7888,4311,12963,6687,
实收资本(或股本)(万元),13408,10056,10056,10056,8000,1000,
资本公积(万元),56864,23999,23999,23999,3153,16526,
减:库存股(万元),,,,,,,
专项储备(万元),,,,,,,
盈余公积(万元),1349,1349,1349,783,740,1245,
一般风险准备(万元),,,,,,,
未确定的投资损失(万元),,,,,,,
未分配利润(万元),19430,17930,15759,8520,28742,24526,
拟分配现金股利(万元),,,,,,,
外币报表折算差额(万元),,,,,,,
归属于母公司股东权益合计(万元),91051,53337,51165,43358,40634,43298,
少数股东权益(万元),,,,,,,
所有者权益(或股东权益)合计(万元),91051,53337,51165,43358,40634,43298,
负债和所有者权益(或股东权益)总计(万元),99825,59553,59054,47669,53597,49985,		
