报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),51788,64478,104145,115756,100184,104417,108722,93313,20201,21908,6628,1958,1459,2075,
结算备付金(万元),,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,
交易性金融资产(万元),62282,46206,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,
应收票据(万元),3108,4648,5166,4765,2602,1110,1385,275,10,660,350,654,900,,
应收账款(万元),99968,93720,86698,84249,85673,75979,67744,68015,73495,63685,51105,42722,31851,22420,
预付款项(万元),1034,1036,1342,573,996,685,501,475,626,121,65,213,27,239,
应收保费(万元),,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,
其他应收款(万元),,8109,,7158,4067,5151,4303,3886,4490,3612,2853,4227,11778,10534,
应收出口退税(万元),,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,
存货(万元),85675,86624,88322,95067,76891,76641,68196,70041,47217,51346,64319,53996,55418,44045,
待摊费用(万元),,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,
其他流动资产(万元),329,949,808,213,,,,10000,17800,13000,21000,16935,9935,8700,
流动资产合计(万元),312455,305770,293816,307782,270412,263983,250850,246004,163840,154332,146320,120704,111369,88013,
发放贷款及垫款(万元),,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,2000,2000,,,,,,73,75,49,35,
