报告日期,2019-09-30,2019-06-30,2018-12-31,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
货币资金(万元),31639,16333,27826,15106,19647,4294,12446,
结算备付金(万元),,,,,,,,
拆出资金(万元),,,,,,,,
交易性金融资产(万元),,34,,,,,,
衍生金融资产(万元),,,,,,,,
应收票据(万元),,18,973,,145,277,553,
应收账款(万元),54464,49349,22755,,23056,32748,12754,
预付款项(万元),1347,881,929,529,330,307,508,
应收保费(万元),,,,,,,,
应收分保账款(万元),,,,,,,,
应收分保合同准备金(万元),,,,,,,,
应收利息(万元),,,,,,,,
应收股利(万元),,,,,,,,
其他应收款(万元),,2192,1455,,2031,2919,3301,
应收出口退税(万元),,,,,,,,
应收补贴款(万元),,,,,,,,
应收保证金(万元),,,,,,,,
内部应收款(万元),,,,,,,,
买入返售金融资产(万元),,,,,,,,
存货(万元),51256,39511,27745,30478,26014,20415,11768,
待摊费用(万元),,,,,,,,
待处理流动资产损益(万元),,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,
其他流动资产(万元),4697,3517,2457,4278,3678,2363,3501,
流动资产合计(万元),146074,111834,84139,78236,74900,63322,44830,
发放贷款及垫款(万元),,,,,,,,
可供出售金融资产(万元),,,,,,,,
持有至到期投资(万元),,,,,,,,
长期应收款(万元),,,,,,,,
长期股权投资(万元),,,,,,,,
其他长期投资(万元),,,,,,,,
投资性房地产(万元),,,,,,,,
固定资产原值(万元),,29517,26936,,,,,
累计折旧(万元),,5116,4145,,,,,
固定资产净值(万元),,24402,22791,,,,,
固定资产减值准备(万元),,,,,,,,
固定资产(万元),,24402,22791,22084,22092,2238,1950,
在建工程(万元),,,,179,,13797,2174,
工程物资(万元),,,,,,,,
固定资产清理(万元),,,,,,,,
生产性生物资产(万元),,,,,,,,
公益性生物资产(万元),,,,,,,,
油气资产(万元),,,,,,,,
无形资产(万元),6519,6501,5809,4425,4262,4096,4016,
开发支出(万元),,,,,,,,
商誉(万元),,,,,,,,
长期待摊费用(万元),674,600,355,127,117,81,127,
股权分置流通权(万元),,,,,,,,
递延所得税资产(万元),1116,1158,835,896,640,403,314,
其他非流动资产(万元),396,617,286,985,247,25,246,
非流动资产合计(万元),35361,33278,30076,28696,27358,20639,8827,
资产总计(万元),181436,145112,114215,106932,102258,83961,53657,
短期借款(万元),4244,3094,,9087,10207,4310,500,
向中央银行借款(万元),,,,,,,,
吸收存款及同业存放(万元),,,,,,,,
拆入资金(万元),,,,,,,,
交易性金融负债(万元),546,,,320,,,,
衍生金融负债(万元),,,,,,,,
应付票据(万元),257,8580,7984,,,,,
应付账款(万元),94747,58635,36004,,37941,32922,11414,
预收账款(万元),845,869,1243,1012,855,771,592,
卖出回购金融资产款(万元),,,,,,,,
应付手续费及佣金(万元),,,,,,,,
应付职工薪酬(万元),3904,3609,1971,2208,2338,1559,1203,
应交税费(万元),1498,798,1393,540,787,1074,783,
应付利息(万元),55,16,12,,60,12,1,
应付股利(万元),,,,,,,,
其他应交款(万元),,,,,,,,
应付保证金(万元),,,,,,,,
内部应付款(万元),,,,,,,,
其他应付款(万元),,971,574,,412,978,381,
预提费用(万元),,,,,,,,
预计流动负债(万元),,,,,,,,
应付分保账款(万元),,,,,,,,
保险合同准备金(万元),,,,,,,,
代理买卖证券款(万元),,,,,,,,
代理承销证券款(万元),,,,,,,,
国际票证结算(万元),,,,,,,,
国内票证结算(万元),,,,,,,,
递延收益(万元),,,,,,,,
应付短期债券(万元),,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,
其他流动负债(万元),,,,,,,,
流动负债合计(万元),106823,76572,49181,50929,52601,41627,14875,
长期借款(万元),8260,8260,8260,7780,3980,,,
应付债券(万元),,,,,,,,
长期应付款(万元),,,,,,,,
专项应付款(万元),,,,,,,,
预计非流动负债(万元),,,,,,,,
长期递延收益(万元),12,14,18,35,79,34,,
递延所得税负债(万元),5,5,,,,,,
其他非流动负债(万元),,,,,,,,
非流动负债合计(万元),8277,8279,8278,7815,4059,34,0,
负债合计(万元),115100,84851,57459,58745,56660,41660,14875,
实收资本(或股本)(万元),12500,12500,12500,12500,12500,12500,12500,
资本公积(万元),29680,29680,29681,22681,22738,22672,19275,
减:库存股(万元),,,,,,,,
专项储备(万元),,,,,,,,
盈余公积(万元),1972,1972,1972,1155,1155,293,198,
一般风险准备(万元),,,,,,,,
未确定的投资损失(万元),,,,,,,,
未分配利润(万元),22244,16120,12480,11701,9202,6866,6801,
拟分配现金股利(万元),,,,,,,,
外币报表折算差额(万元),,,,,,,,
归属于母公司股东权益合计(万元),66336,60260,56696,48124,45534,42248,38650,
少数股东权益(万元),,,60,63,64,53,132,
所有者权益(或股东权益)合计(万元),66336,60260,56756,48187,45598,42301,38782,
负债和所有者权益(或股东权益)总计(万元),181436,145112,114215,106932,102258,83961,53657,		
