报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),47930,52302,49673,49033,55410,87390,76946,89927,125466,40887,36328,39587,19587,30013,8913,9710,
结算备付金(万元),,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,
应收票据(万元),,1310,993,1700,1521,720,360,615,1,830,946,1300,1500,22,10,380,
应收账款(万元),101549,86913,75597,66933,66916,60456,71656,73791,78079,65900,55307,47990,61238,60276,37881,29451,
预付款项(万元),14022,14116,13706,11636,31887,33603,27277,4030,8042,9498,7168,8673,10432,12641,14635,6969,
应收保费(万元),,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,
应收利息(万元),,,,,19,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,
其他应收款(万元),,11766,,11860,,7608,3795,4828,4493,4673,5712,4592,5025,5138,8753,2990,
应收出口退税(万元),,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,
存货(万元),46491,38657,35288,33868,38672,33246,25624,25821,26011,27220,21791,35200,40157,32209,13460,8610,
待摊费用(万元),,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,
其他流动资产(万元),9270,8679,9920,8026,8649,6698,5770,6974,2633,1838,2009,,,,,,
流动资产合计(万元),229038,213744,196460,183056,217685,229722,211427,205985,244724,150846,129261,137343,137940,140300,83651,58109,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,5788,6624,5849,2902,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,
长期股权投资(万元),,,,,,,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,
投资性房地产(万元),647,666,685,703,722,741,759,778,797,816,853,928,965,1002,1077,1152,
固定资产原值(万元),,234686,,215858,,159242,,172590,,,130890,116969,,96336,,,
