报告日期,2019-09-30,2019-06-30,2018-12-31,2017-12-31,2016-12-31,2015-12-31,
货币资金(万元),4515,9608,7457,8503,4676,9941,
结算备付金(万元),,,,,,,
拆出资金(万元),,,,,,,
交易性金融资产(万元),,,,,,,
衍生金融资产(万元),,,,,,,
应收票据(万元),800,166,,259,,,
应收账款(万元),27734,21136,20849,19499,22732,9883,
预付款项(万元),836,746,440,383,309,448,
应收保费(万元),,,,,,,
应收分保账款(万元),,,,,,,
应收分保合同准备金(万元),,,,,,,
应收利息(万元),,,,,,,
应收股利(万元),,,,,,321,
其他应收款(万元),,1503,,1514,615,334,
应收出口退税(万元),,,,,,,
应收补贴款(万元),,,,,,,
应收保证金(万元),,,,,,,
内部应收款(万元),,,,,,,
买入返售金融资产(万元),,,,,,,
存货(万元),21282,17939,18138,19761,19288,21328,
待摊费用(万元),,,,,,,
待处理流动资产损益(万元),,,,,,,
一年内到期的非流动资产(万元),,,,,,,
其他流动资产(万元),2048,1572,1464,2034,1780,4357,
流动资产合计(万元),58576,52671,49609,51952,49401,46612,
发放贷款及垫款(万元),,,,,,,
可供出售金融资产(万元),,,,4909,4982,5000,
持有至到期投资(万元),,,,,,,
长期应收款(万元),,,,,,,
长期股权投资(万元),,,,,,,
其他长期投资(万元),,,,,,,
投资性房地产(万元),,,,,,,
固定资产原值(万元),,37217,,,,,
累计折旧(万元),,12394,,,,,
固定资产净值(万元),,24824,,,,,
固定资产减值准备(万元),,,,,,,
固定资产(万元),,24824,,11608,9500,10941,
在建工程(万元),,6672,,8076,2321,746,
工程物资(万元),,,,,,,
固定资产清理(万元),,,,,,,
生产性生物资产(万元),,,,,,,
公益性生物资产(万元),,,,,,,
油气资产(万元),,,,,,,
无形资产(万元),11237,11310,11457,11751,9656,9878,
开发支出(万元),,,,,,,
商誉(万元),,,,,,,
长期待摊费用(万元),582,691,476,695,915,,
股权分置流通权(万元),,,,,,,
递延所得税资产(万元),950,946,973,917,599,313,
其他非流动资产(万元),774,999,513,167,509,139,
非流动资产合计(万元),46609,45443,40718,38123,28481,27016,
资产总计(万元),105185,98114,90327,90076,77882,73628,
短期借款(万元),18500,18500,16950,15298,13948,17500,
向中央银行借款(万元),,,,,,,
吸收存款及同业存放(万元),,,,,,,
拆入资金(万元),,,,,,,
交易性金融负债(万元),20,26,,,,,
衍生金融负债(万元),,,,,,,
应付票据(万元),1379,806,,2500,1930,2802,
应付账款(万元),14236,13980,12291,14875,11499,4431,
预收账款(万元),706,578,735,1474,896,386,
卖出回购金融资产款(万元),,,,,,,
应付手续费及佣金(万元),,,,,,,
应付职工薪酬(万元),587,491,589,543,510,361,
应交税费(万元),1128,561,979,819,1114,2298,
应付利息(万元),,51,27,22,21,32,
应付股利(万元),,,,,,6230,
其他应交款(万元),,,,,,,
应付保证金(万元),,,,,,,
内部应付款(万元),,,,,,,
其他应付款(万元),,327,,5087,5017,5011,
预提费用(万元),,,,,,,
预计流动负债(万元),,,,,,,
应付分保账款(万元),,,,,,,
保险合同准备金(万元),,,,,,,
代理买卖证券款(万元),,,,,,,
代理承销证券款(万元),,,,,,,
国际票证结算(万元),,,,,,,
国内票证结算(万元),,,,,,,
递延收益(万元),,,,,,,
应付短期债券(万元),,,,,,,
一年内到期的非流动负债(万元),,,,,,,
其他流动负债(万元),,,,,,,
流动负债合计(万元),36912,35320,31895,40619,34936,39052,
长期借款(万元),3000,,,,,,
应付债券(万元),,,,,,,
长期应付款(万元),,,,,,,
专项应付款(万元),,,,,,,
预计非流动负债(万元),283,276,256,229,406,290,
长期递延收益(万元),282,306,354,309,,,
递延所得税负债(万元),,,,,,,
其他非流动负债(万元),,,,,,,
非流动负债合计(万元),3565,582,610,538,406,290,
负债合计(万元),40477,35902,32505,41157,35343,39342,
实收资本(或股本)(万元),12000,12000,12000,12000,12000,12000,
资本公积(万元),19820,19820,19820,19820,19820,19820,
减:库存股(万元),,,,,,,
专项储备(万元),,,,,,,
盈余公积(万元),2807,2807,2807,1886,1164,278,
一般风险准备(万元),,,,,,,
未确定的投资损失(万元),,,,,,,
未分配利润(万元),30083,27586,23196,15212,9556,2188,
拟分配现金股利(万元),,,,,,,
外币报表折算差额(万元),,,,,,,
归属于母公司股东权益合计(万元),64708,62212,57822,48919,42539,34286,
少数股东权益(万元),,,,,,,
所有者权益(或股东权益)合计(万元),64708,62212,57822,48919,42539,34286,
负债和所有者权益(或股东权益)总计(万元),105185,98114,90327,90076,77882,73628,		
