报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),201438,153202,160348,147671,159716,143980,136240,149271,65473,48672,30454,18759,17933,12653,
结算备付金(万元),,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,
应收票据(万元),19677,23480,20821,19803,22580,7875,3111,15806,18352,13135,28411,24304,14454,9574,
应收账款(万元),60679,62222,50174,55575,46038,61345,50678,47691,36094,40233,32856,23568,21401,11338,
预付款项(万元),889,776,2409,828,1095,1078,928,384,833,646,614,950,1076,812,
应收保费(万元),,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,
其他应收款(万元),,12337,,16814,17268,12145,2412,1810,1799,1764,1646,1202,1447,1497,
应收出口退税(万元),,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,
存货(万元),98598,93059,85672,88961,86728,79467,68374,71177,70262,68216,67246,71623,69616,62426,
待摊费用(万元),,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,
其他流动资产(万元),3917,24957,13033,31480,12323,11303,5991,5235,1451,1743,395,2645,110,695,
流动资产合计(万元),393504,370033,359046,361133,345748,317194,267733,291374,194265,174409,161622,143050,126039,98995,
发放贷款及垫款(万元),,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,2791,1292,1992,1993,1994,1994,2505,2861,5150,4650,4600,
持有至到期投资(万元),,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,
长期股权投资(万元),,,,,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,1413,
固定资产原值(万元),,99867,,93430,,88486,,86520,,84143,78520,,,,
累计折旧(万元),,52891,,50766,,50079,,49600,,47641,44889,,,,
固定资产净值(万元),,46976,,42664,,38407,,36919,,36502,33631,,,,
固定资产减值准备(万元),,,,,,,,,,,,,,,
固定资产(万元),,46976,,42664,39385,38407,35053,36919,36481,36502,33631,34281,31253,30286,
在建工程(万元),,22278,,13613,13684,14964,16829,9471,5288,5046,4199,2287,5654,4910,
工程物资(万元),,,,,,,,,,,,,,,
固定资产清理(万元),,262,,34,,18,91,,,,,,72,299,
生产性生物资产(万元),,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,
无形资产(万元),19451,18391,9043,9167,9110,9226,9297,9346,9220,9322,9527,9660,9984,20715,
开发支出(万元),22,22,22,22,43,21,14,25,7,7,,174,,,
商誉(万元),,,,,,,,,,,,,,,
长期待摊费用(万元),2180,2360,2801,2314,2331,2169,1661,1498,887,,11,52,93,69,
股权分置流通权(万元),,,,,,,,,,,,,,,
递延所得税资产(万元),2090,2026,1538,1762,1321,1262,643,1053,723,818,648,359,400,562,
其他非流动资产(万元),2948,4031,2952,2809,2148,2148,2148,2148,2724,2324,2324,2334,2072,842,
非流动资产合计(万元),111171,99135,80898,75175,69315,70208,67730,62455,57324,56524,53201,54297,54180,63696,
资产总计(万元),504675,469167,439944,436308,415063,387401,335463,353829,251588,230933,214822,197347,180218,162691,
短期借款(万元),10675,30945,30745,20710,21100,18353,5570,11170,21297,18839,22384,43318,45947,51985,
向中央银行借款(万元),,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,
