报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),10359,14990,13582,12259,9863,12418,5108,6581,7275,18660,26538,5071,5191,4093,3788,2951,1876,6222,2988,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,,
应收票据(万元),4625,9757,9822,5367,2673,2872,3009,3453,3330,4896,2140,1898,1617,575,1158,1177,1395,728,,
应收账款(万元),19067,18673,24239,12924,14224,13541,13066,7191,10309,7037,9507,4810,5508,4302,4827,6005,4803,3464,3267,
预付款项(万元),1256,1151,1568,1261,2113,2118,2863,1279,1495,873,891,521,416,227,178,217,340,301,171,
应收保费(万元),,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,,,,
其他应收款(万元),,1500,,692,382,1011,346,339,657,300,365,311,388,129,108,126,192,381,453,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,
存货(万元),44850,40276,40873,36715,30874,27375,21144,16727,14601,14208,13833,13041,11484,11806,12946,13401,13304,10636,8761,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,,
其他流动资产(万元),480,2,612,1763,730,874,385,791,185,106,,550,419,777,1307,1500,1677,1442,1042,
流动资产合计(万元),82366,86348,92248,70983,60859,60209,45921,36362,37851,46081,53273,26201,25024,21910,24311,25379,23586,23174,16682,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,,,,
长期股权投资(万元),,,,,,,,,,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,,,,,,,
固定资产原值(万元),,103801,,87087,,61703,,53597,,47858,,41927,40338,31459,27961,27628,26324,22796,16364,
累计折旧(万元),,25982,,22385,,19311,,17238,,15503,,14159,12463,11069,8591,7386,6221,4069,2444,
