报告日期,2020-09-30,2020-06-30,2019-12-31,2019-06-30,2018-12-31,2017-12-31,2016-12-31,
货币资金(万元),26055,22338,18577,14973,9706,8919,7652,
结算备付金(万元),,,,,,,,
拆出资金(万元),,,,,,,,
交易性金融资产(万元),,,,,,,,
衍生金融资产(万元),,,,,,,,
应收票据(万元),1879,3329,11686,16851,9211,4471,1864,
应收账款(万元),48088,39998,29139,27847,21491,19831,18028,
预付款项(万元),5235,4668,2582,3734,4027,1230,1243,
应收保费(万元),,,,,,,,
应收分保账款(万元),,,,,,,,
应收分保合同准备金(万元),,,,,,,,
应收利息(万元),62,,,,14,0,0,
应收股利(万元),,,,,,,,
其他应收款(万元),,153,129,,,,,
应收出口退税(万元),,,,,,,,
应收补贴款(万元),,,,,,,,
应收保证金(万元),,,,,,,,
内部应收款(万元),,,,,,,,
买入返售金融资产(万元),,,,,,,,
存货(万元),25374,24818,15906,18857,19943,11781,8815,
待摊费用(万元),,,,,,,,
待处理流动资产损益(万元),,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,
其他流动资产(万元),56691,1086,336,507,103,581,8,
流动资产合计(万元),175475,106680,89501,82850,64610,46891,37822,
发放贷款及垫款(万元),,,,,,,,
可供出售金融资产(万元),,,,,,,,
持有至到期投资(万元),,,,,,,,
长期应收款(万元),,,,,,,,
长期股权投资(万元),,,,,,,,
其他长期投资(万元),,,,,,,,
投资性房地产(万元),,,,,,,,
固定资产原值(万元),,30955,30647,,,,,
累计折旧(万元),,16445,15422,,,,,
固定资产净值(万元),,14511,15225,,,,,
固定资产减值准备(万元),,,,,,,,
固定资产(万元),,14511,15225,,,,,
在建工程(万元),,13921,9033,,,,,
工程物资(万元),,,,,,,,
固定资产清理(万元),,,,,,,,
生产性生物资产(万元),,,,,,,,
公益性生物资产(万元),,,,,,,,
油气资产(万元),,,,,,,,
无形资产(万元),3596,3619,3606,3651,3631,3712,3784,
开发支出(万元),,,,,,,,
商誉(万元),,,,,,,,
长期待摊费用(万元),,,,,,,,
股权分置流通权(万元),,,,,,,,
递延所得税资产(万元),1616,1544,1516,1260,1064,471,349,
其他非流动资产(万元),7678,7465,4120,2255,96,289,3237,
非流动资产合计(万元),45522,41061,33501,25162,21780,21494,17923,
资产总计(万元),220997,147741,123002,108012,86390,68385,55746,
短期借款(万元),6000,16000,14000,15000,9000,7500,7000,
向中央银行借款(万元),,,,,,,,
吸收存款及同业存放(万元),,,,,,,,
拆入资金(万元),,,,,,,,
交易性金融负债(万元),,,,,,,,
衍生金融负债(万元),,,,,,,,
应付票据(万元),33929,31265,19327,16257,,,,
应付账款(万元),19097,19691,13278,10879,,,,
预收账款(万元),0,,1310,1276,3260,1642,450,
卖出回购金融资产款(万元),,,,,,,,
应付手续费及佣金(万元),,,,,,,,
应付职工薪酬(万元),598,556,1226,993,1218,955,741,
应交税费(万元),944,744,1309,1741,1288,2236,1006,
应付利息(万元),7,19,19,13,13,11,10,
应付股利(万元),,,,,,,,
其他应交款(万元),,,,,,,,
应付保证金(万元),,,,,,,,
内部应付款(万元),,,,,,,,
其他应付款(万元),,218,1158,,,,,
预提费用(万元),,,,,,,,
预计流动负债(万元),,,,,,,,
应付分保账款(万元),,,,,,,,
保险合同准备金(万元),,,,,,,,
代理买卖证券款(万元),,,,,,,,
代理承销证券款(万元),,,,,,,,
国际票证结算(万元),,,,,,,,
国内票证结算(万元),,,,,,,,
递延收益(万元),,,,,,,,
应付短期债券(万元),,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,
其他流动负债(万元),,,,,,,,
流动负债合计(万元),61879,69526,51626,46189,33147,26113,19985,
长期借款(万元),,,,,,,,
应付债券(万元),,,,,,,,
长期应付款(万元),,,100,,,,,
专项应付款(万元),,100,,,,,,
预计非流动负债(万元),,,,,,,,
长期递延收益(万元),5772,5882,5968,4618,4235,4263,3609,
递延所得税负债(万元),176,185,205,87,96,0,0,
其他非流动负债(万元),,,,,,,,
非流动负债合计(万元),6048,6167,6273,4705,4331,4263,3609,
负债合计(万元),67927,75693,57900,50893,37478,30376,23594,
实收资本(或股本)(万元),10800,8100,8100,8100,8100,8100,8100,
资本公积(万元),93946,20865,20865,20865,20865,20865,20865,
减:库存股(万元),,,,,,,,
专项储备(万元),,,,,,,,
盈余公积(万元),3610,3610,3610,1992,1992,902,315,
一般风险准备(万元),,,,,,,,
未确定的投资损失(万元),,,,,,,,
未分配利润(万元),44715,39474,32528,26163,17956,8143,2872,
拟分配现金股利(万元),,,,,,,,
外币报表折算差额(万元),,,,,,,,
归属于母公司股东权益合计(万元),153070,72048,65102,57119,48912,38010,32151,
少数股东权益(万元),,,,,,,,
所有者权益(或股东权益)合计(万元),153070,72048,65102,57119,48912,38010,32151,
负债和所有者权益(或股东权益)总计(万元),220997,147741,123002,108012,86390,68385,55746,		
