报告日期,2020-09-30,2020-06-30,2019-12-31,2019-06-30,2018-12-31,2017-12-31,2017-06-30,2016-12-31,2016-03-31,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),105746,109041,87184,64269,67880,53131,34425,15472,21632,35733,1941,172,
结算备付金(万元),,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,
交易性金融资产(万元),0,,11,20618,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,
应收票据(万元),,,,,,,,,,,,,
应收账款(万元),9108,9756,8324,9782,,,13300,15922,3872,5582,1683,526,
预付款项(万元),28393,15643,16444,12302,9726,6687,2709,6184,3518,4731,2414,1069,
应收保费(万元),,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,
应收利息(万元),2,,,,,,14,20,5,,,,
应收股利(万元),,,,,,,,,,,,,
其他应收款(万元),,,,,,,10334,14042,8521,9913,6219,2673,
应收出口退税(万元),,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,
存货(万元),79612,60875,51727,46660,57962,36540,27623,38788,23516,19616,12233,5335,
待摊费用(万元),,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,
其他流动资产(万元),2951,4640,1911,4253,4052,7519,14100,14167,5443,321,450,,
流动资产合计(万元),261775,240976,213761,225136,203851,140676,102505,104596,66506,75895,24939,9775,
发放贷款及垫款(万元),,,,,,,,,,,,,
可供出售金融资产(万元),,,,,210,50,50,50,50,50,,,
持有至到期投资(万元),,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,
长期股权投资(万元),,,,466,490,21066,20542,19100,18037,17724,,,
其他长期投资(万元),,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,
固定资产原值(万元),,4122,1586,,,,,,,,,,
累计折旧(万元),,1275,1159,,,,,,,,,,
固定资产净值(万元),,2847,428,,,,,,,,,,
固定资产减值准备(万元),,,,,,,,,,,,,
固定资产(万元),,2847,428,,,,485,547,512,534,432,448,
在建工程(万元),,,,,,,,,,,,,
工程物资(万元),,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,
无形资产(万元),189,123,164,207,274,320,337,301,216,212,17,47,
开发支出(万元),,,,,,,,,,,,,
商誉(万元),,,,,,,,,,,,,
长期待摊费用(万元),238,236,306,471,567,429,496,565,468,515,162,109,
股权分置流通权(万元),,,,,,,,,,,,,
递延所得税资产(万元),2616,2398,1800,2696,2588,1173,771,749,141,143,115,274,
其他非流动资产(万元),0,,3846,2105,1851,1776,1169,914,28,,,,
非流动资产合计(万元),8206,7790,8729,8905,6480,25290,23850,22227,19451,19178,726,878,
资产总计(万元),269981,248766,222490,234041,210331,165966,126355,126823,85957,95073,25665,10652,
短期借款(万元),2419,1416,,,1755,,,2567,,,6000,,
向中央银行借款(万元),,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,
应付票据(万元),8338,24109,6844,19266,,,,,,,,,
应付账款(万元),25285,31638,33363,56580,,,25191,31770,8408,9966,10444,1213,
预收账款(万元),3,48,53,68,78,9,4,40,161,222,63,28,
卖出回购金融资产款(万元),,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,
应付职工薪酬(万元),5634,4977,5585,4685,6517,4870,3732,3152,1215,1478,810,541,
应交税费(万元),6859,11055,12976,7718,14622,24211,7250,6017,938,1507,226,865,
应付利息(万元),1,,,,,,,2,,,12,,
应付股利(万元),,,,,,,,,,,,,
其他应交款(万元),,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,
其他应付款(万元),,,,,,,910,1437,588,8357,89,552,
预提费用(万元),,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,,,,,,
其他流动负债(万元),,,,,,,,,,,,,
