报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),5323,8105,15092,16343,9739,14016,13726,11771,1579,2655,1808,8796,1197,2461,6700,
结算备付金(万元),,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,436,501,,
衍生金融资产(万元),,,,,,,,,,,,,,,,
应收票据(万元),916,1396,1132,1567,690,479,375,380,511,312,297,387,814,717,665,
应收账款(万元),11437,11723,13521,12697,13850,13750,12717,11023,11082,9850,7858,8260,7420,6673,5400,
预付款项(万元),405,572,380,144,315,147,413,228,278,144,129,147,230,137,77,
应收保费(万元),,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,
其他应收款(万元),,433,,418,13,445,454,414,594,571,719,46,1173,739,188,
应收出口退税(万元),,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,
存货(万元),7901,7902,8438,8454,7285,7559,6580,6264,5499,5413,3989,3537,3349,3731,4533,
待摊费用(万元),,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,1000,500,,,,
其他流动资产(万元),55091,48695,45597,43411,48572,44273,47212,49509,15629,14397,13545,5237,11729,9880,4822,
流动资产合计(万元),81389,78827,84580,83034,80464,80670,81476,79588,35171,33341,29346,26910,26350,24838,22384,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,901,901,901,901,901,1181,1181,1181,2180,3900,900,900,
持有至到期投资(万元),,,,,,,,,,,,,,,,
长期应收款(万元),,,27,,,,,,,,,,,,,
长期股权投资(万元),35,27,,27,40,32,30,28,22,22,21,24,,257,,
其他长期投资(万元),,,,,,,,,,,,,,,,
投资性房地产(万元),2326,2378,2420,2467,2517,2562,2608,2655,2702,2750,2844,,,,,
固定资产原值(万元),,45830,,43370,,36277,,33259,,31525,29584,,18803,16341,,
累计折旧(万元),,14515,,13014,,11792,,10622,,9720,8674,,8986,8082,,
固定资产净值(万元),,31314,,30356,,24485,,22637,,21805,20910,,9816,8259,,
固定资产减值准备(万元),,,,,,,,,,,,,,,,
固定资产(万元),,31314,,30356,26026,24485,23122,22637,21691,21805,20910,22322,9816,8259,8009,
在建工程(万元),,5305,,4551,5374,1136,1533,938,497,480,344,461,9977,6765,3522,
工程物资(万元),,,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,
无形资产(万元),3085,3111,3142,3134,3141,3166,3186,3208,3208,3217,3261,4214,4262,4348,4427,
开发支出(万元),,,,,,,,,,,,,,,,
商誉(万元),,,,,,,,,,,,,,,,
长期待摊费用(万元),,,,,,,,,,,,,,,,
股权分置流通权(万元),,,,,,,,,,,,,,,,
递延所得税资产(万元),286,273,280,299,284,154,171,173,163,163,177,146,175,148,129,
其他非流动资产(万元),1042,379,1349,615,874,2942,1279,968,1290,435,488,550,615,1397,883,
非流动资产合计(万元),45260,43688,43348,42350,39157,35376,32830,31509,30756,30052,29226,29897,28744,22073,17870,
资产总计(万元),126649,122515,127927,125384,119621,116046,114306,111097,65927,63393,58572,56806,55094,46910,40255,
短期借款(万元),,,,,,,,,,,,,900,,50,
向中央银行借款(万元),,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,,,,
应付票据(万元),,,,,,,,,,,,,,,,
应付账款(万元),3603,3681,,5138,,4951,4670,4311,4285,5048,4005,5132,4146,3935,3065,
预收账款(万元),180,307,231,243,207,254,265,289,250,296,298,238,157,203,171,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,
应付职工薪酬(万元),3070,2740,2217,3061,2830,2440,1992,2638,2494,2155,2237,1904,2091,2021,1865,
应交税费(万元),1446,694,528,587,1383,1503,1146,876,1314,1380,1388,1015,1350,732,623,
应付利息(万元),,,,,,,,,,,,,1,,0,
应付股利(万元),,,,,,,,,,,,2500,,,,
其他应交款(万元),,,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,,
其他应付款(万元),,240,,296,298,298,108,180,54,61,52,5,281,332,682,
预提费用(万元),,,,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,,,,,,,,,
其他流动负债(万元),,,,,,,,,,,,,,,,
流动负债合计(万元),8439,7663,8968,9325,8886,9446,8180,8294,8397,8940,7980,10795,8927,7223,6456,
长期借款(万元),,,,,,,,,,,,,,,,
应付债券(万元),,,,,,,,,,,,,,,,
长期应付款(万元),,,,,,,,,,,,,,,,
专项应付款(万元),,,,,,,,,,,,,,,,
预计非流动负债(万元),,,,,,,,,,,,,,,,
长期递延收益(万元),901,932,963,993,1030,246,258,270,77,83,94,109,123,165,208,
递延所得税负债(万元),879,925,952,977,,,,,,,,,,0,,
其他非流动负债(万元),,,,,,,,,,,,,,,,
非流动负债合计(万元),1780,1857,1914,1971,1030,246,258,270,77,83,94,109,123,166,208,
负债合计(万元),10219,9520,10883,11295,9916,9692,8438,8563,8474,9023,8074,10903,9050,7388,6663,
实收资本(或股本)(万元),19800,19800,19800,19800,19800,19800,10000,10000,7500,7500,7500,7500,7500,7500,7500,
资本公积(万元),41061,41061,41061,41061,41061,41061,50861,50861,11251,11251,11251,11251,10051,10050,10047,
减:库存股(万元),,,,,,,,,,,,,,,,
专项储备(万元),,,,,,,,,,,,,,,,
盈余公积(万元),6333,6333,6333,6333,5001,5001,5001,5001,3997,3997,3997,3183,3183,2391,1496,
一般风险准备(万元),,,,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,,,
未分配利润(万元),47305,44210,48315,45396,42438,38922,38473,35694,33853,30825,27049,23460,24789,19202,14202,
拟分配现金股利(万元),,,,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,,,,
归属于母公司股东权益合计(万元),114501,111406,115508,112591,108302,104785,104335,101557,56601,53572,49797,45393,45522,39142,33245,
少数股东权益(万元),1929,1589,1537,1498,1402,1570,1533,977,852,798,700,510,522,380,346,
所有者权益(或股东权益)合计(万元),116430,112995,117045,114089,109704,106355,105869,102534,57453,54370,50497,45903,46044,39522,33591,
负债和所有者权益(或股东权益)总计(万元),126649,122515,127927,125384,119621,116046,114306,111097,65927,63393,58572,56806,55094,46910,40255,		
