报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),10246,9454,11128,13466,10268,10330,15994,16653,29248,12823,17434,12177,24844,3714,3248,3780,5511,6332,5324,5868,1378,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,,,,
应收票据(万元),2896,4009,2776,2888,5519,5867,4964,3410,2245,2898,1809,2504,1869,2572,2278,3693,4368,2529,2458,3744,2140,
应收账款(万元),43428,41148,48971,38410,32670,32737,31780,32763,25259,21949,13671,13529,14513,14304,13590,12025,11049,12168,13423,9475,8464,
预付款项(万元),841,840,873,526,639,556,422,561,1310,736,330,216,149,399,464,252,245,779,1306,275,72,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,
应收利息(万元),10,3,,,,,,,,48,,82,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,,,,,,
其他应收款(万元),,1649,,545,565,642,640,499,768,728,349,301,447,372,588,560,526,449,42,40,90,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,,,
存货(万元),15830,14425,11397,12842,12295,11011,10538,10334,9161,7099,5233,5014,4644,4314,4523,4624,4474,4429,4603,3491,3997,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,0,,,,,,,,,,,,
其他流动资产(万元),97,82,228,373,317,3157,131,167,48,12050,7000,12000,,,,,,,,,,
流动资产合计(万元),74914,71610,76988,69050,62273,64299,64469,64386,68040,58330,45824,45824,46468,25675,24692,24934,26174,26686,27156,22893,16141,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,,,,,,
长期股权投资(万元),,,,,,,,,,,,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,,,,,,,,,
固定资产原值(万元),,32075,,30223,,28332,,27853,,9671,,8572,,8442,8431,8388,,,,,,
累计折旧(万元),,12618,,11518,,10334,,9556,,2337,,2093,,1830,1692,1554,,,,,,
固定资产净值(万元),,19457,,18705,,17998,,18296,,7334,,6480,,6612,6738,6834,,,,,,
固定资产减值准备(万元),,173,,173,,173,,173,,39,,39,,39,39,39,,,,,,
固定资产(万元),,19284,,18532,17525,17825,17787,18123,7272,7295,6415,6441,6523,6573,6700,6795,2813,2840,3041,2574,2392,
在建工程(万元),,9158,,6840,6241,5462,5409,5422,8285,8286,3767,3588,830,351,211,144,,,,,,
工程物资(万元),,,,,,,,,,,,,,,,,,,,,,
固定资产清理(万元),,0,,0,,,,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,,,,,,
无形资产(万元),13790,13952,14135,14275,13574,13750,13901,14066,5321,5428,2509,2523,2538,2553,2568,2582,2612,2641,373,354,364,
开发支出(万元),,,,,,,,,,,,,,,,,,,,,,
商誉(万元),70091,70091,70091,67069,53380,53380,53380,53380,54338,54338,,,,,,,,,,,,
长期待摊费用(万元),541,513,307,270,192,78,62,101,75,80,85,96,109,122,135,150,182,214,42,26,,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,,,,,
递延所得税资产(万元),2629,2645,2704,1792,525,530,535,542,17,22,25,28,36,42,44,46,51,34,39,37,71,
其他非流动资产(万元),,,32,1845,1213,1344,958,545,,,,,,,,,,,,,,
非流动资产合计(万元),115712,115644,114750,110623,92650,92369,92031,92180,75307,75450,12800,12678,10037,9642,9658,9718,5658,5729,3496,2992,2826,
资产总计(万元),190626,187254,191738,179673,154923,156668,156500,156566,143347,133780,58625,58501,56504,35317,34349,34652,31832,32415,30652,25885,18968,
短期借款(万元),14298,15169,18876,12612,9319,11191,9971,9000,3966,3498,,,,,,,,,,,1500,
向中央银行借款(万元),,,,,,,,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,,,,,,,,,,
应付票据(万元),3537,2924,,650,,1660,1310,300,1470,1707,792,550,485,484,500,1097,972,1609,840,908,,
应付账款(万元),17409,17317,,16321,,11390,11084,13651,12719,10572,7118,7877,6484,6330,6461,6644,5537,5619,6877,5609,5451,
预收账款(万元),287,258,229,72,93,80,69,88,131,97,143,42,74,65,74,54,62,66,77,60,532,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,,,,,,,
应付职工薪酬(万元),1502,1008,834,1200,779,825,838,1780,978,573,428,550,460,398,457,526,597,530,701,388,378,
应交税费(万元),1865,1622,3345,2267,790,815,1481,1843,1174,865,502,681,712,957,585,654,579,688,687,784,653,
应付利息(万元),5,7,25,25,,,,9,,,,,,,,,,,,,,
应付股利(万元),,,,,,,,,,,,,,,552,932,1382,3408,1140,,597,
其他应交款(万元),,,,,,,,,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,,,,,,,,
其他应付款(万元),,13170,,14746,2952,3041,3308,3303,1065,27452,669,673,1361,685,600,451,489,358,461,151,261,
预提费用(万元),,,,,,,,,,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,,,,,,,,,,,,,,,
其他流动负债(万元),,,,,,,,,,,,,,,,,,,,,,
流动负债合计(万元),52863,51474,56477,47895,26707,29003,28061,29974,21502,44764,9652,10372,9575,8918,9229,10358,9618,12279,10783,7899,9372,
长期借款(万元),600,600,600,,,,,,,,,,,,,,,,,,,
应付债券(万元),,,,,,,,,,,,,,,,,,,,,,
长期应付款(万元),,,,,,,,,,,,,,,,,,,,,,
专项应付款(万元),,,,,,,,,,,,,,,,,,,,,,
预计非流动负债(万元),,,,,214,214,214,214,,,,,,,,,,,,,,
长期递延收益(万元),1488,1575,,1750,,10,,,,66,,,,,,,,,,,,
递延所得税负债(万元),2484,2516,2545,2567,2488,2530,2571,2614,295,308,,,,,,,,,,,,
其他非流动负债(万元),,,1749,,,,9,,61,,,,,,,,,,,,,
非流动负债合计(万元),4571,4691,4895,4317,2702,2754,2795,2828,356,374,0,0,0,0,0,0,0,0,0,0,0,
负债合计(万元),57434,56165,61372,52211,29409,31757,30856,32802,21858,45138,9652,10372,9575,8918,9229,10358,9618,12279,10783,7899,9372,
实收资本(或股本)(万元),19303,19303,19303,19303,19303,19303,19303,19303,19303,16000,10000,10000,10000,7500,7500,7500,7500,7500,7500,7500,6657,
资本公积(万元),83349,83275,83202,83129,83070,82997,82923,82850,82788,54159,21956,21956,21956,4862,4862,4862,4862,4862,4862,4862,1095,
减:库存股(万元),,,,,,,,,,,,,,,,,,,,,,
专项储备(万元),,,,,,,,,,,,,,,,,,,,,,
盈余公积(万元),2680,2680,2680,2680,2680,2680,2680,2680,2358,2358,2358,2358,1869,1869,1869,1869,1412,1412,1003,480,109,
一般风险准备(万元),,,,,,,,,,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,,,,,,,,,
未分配利润(万元),27777,25688,24994,21603,19795,19190,19955,18126,17040,14704,14660,13815,13105,12168,10890,10063,8440,6361,6504,5144,1736,
拟分配现金股利(万元),,,,,,,,,,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,,,,,,,,,,
归属于母公司股东权益合计(万元),133109,130946,130180,126715,124848,124169,124861,122960,121489,88641,48973,48129,46929,26399,25121,24294,22214,20136,19869,17986,9596,
少数股东权益(万元),83,143,187,747,666,741,783,804,,,,,,,,,,,,,,
所有者权益(或股东权益)合计(万元),133192,131089,130366,127462,125513,124910,125644,123764,121489,88641,48973,48129,46929,26399,25121,24294,22214,20136,19869,17986,9596,
负债和所有者权益(或股东权益)总计(万元),190626,187254,191738,179673,154923,156668,156500,156566,143347,133780,58625,58501,56504,35317,34349,34652,31832,32415,30652,25885,18968,		
