报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2015-03-31,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),7066,13548,6466,10965,4640,4294,13934,15394,11162,28373,8779,7145,8308,3863,2647,1368,
结算备付金(万元),,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,365,201,,,,,,,,,,,
衍生金融资产(万元),,,,330,,,,,,,,,,,,,
应收票据(万元),9240,6385,6404,11820,5088,9009,5069,994,4627,3674,4748,3680,2544,2719,2065,1608,
应收账款(万元),26658,29732,27386,26548,25580,26051,24812,24339,20393,17975,16878,14556,12030,12484,6888,4380,
预付款项(万元),1973,559,2647,1025,589,797,1230,403,978,434,326,242,541,339,203,299,
应收保费(万元),,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,
应收利息(万元),78,74,87,81,,68,113,102,202,85,110,82,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,
其他应收款(万元),,273,,84,166,94,98,85,111,98,85,185,102,105,104,129,
应收出口退税(万元),,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,
存货(万元),33198,30038,24206,22478,25823,23198,20599,16962,17822,15592,11085,9886,12261,11560,11139,9837,
待摊费用(万元),,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,12,21,26,38,2,2,485,,
其他流动资产(万元),5614,1658,5655,5572,8545,9436,9159,14063,15012,700,634,350,46,35,,1,
流动资产合计(万元),84156,82267,72962,78902,70795,73150,75013,72343,70321,66952,42671,36164,35834,31107,23530,17622,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,
长期应收款(万元),53,51,,,,,,,,,,,,,,,
长期股权投资(万元),,,,,,,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,,,,
固定资产原值(万元),,31688,,28419,,28017,,22465,,21864,19883,14470,,,,,
累计折旧(万元),,10193,,8162,,7214,,6400,,5667,4943,3995,,,,,
固定资产净值(万元),,21495,,20257,,20803,,16065,,16197,14939,10475,,,,,
固定资产减值准备(万元),,,,,,,,,,,,,,,,,
固定资产(万元),,21495,,20257,20428,20803,16195,16065,16039,16197,14939,10475,4622,4641,3222,3324,
在建工程(万元),,1027,,793,293,30,4675,2756,53,34,1058,2036,172,91,1406,771,
工程物资(万元),,,,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,
