报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),35519,33395,37359,29828,26553,31782,33514,39028,50569,50896,49783,49385,46143,42324,41177,41337,38949,46279,6326,7575,2637,4503,5220,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,451,451,451,451,,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,
应收票据(万元),19698,16358,12905,15379,9665,7931,7621,10150,7393,6539,6253,7256,3386,3667,5967,7351,1664,959,1912,5124,4361,3130,1676,
应收账款(万元),43475,42620,40268,32908,39783,33362,30316,25966,29782,28342,26601,17120,23212,20856,19072,15132,21459,19774,17890,13771,11776,9942,7340,
预付款项(万元),1005,1278,1376,801,2008,1474,1622,927,1133,604,501,398,250,1618,237,91,586,559,469,304,317,252,1175,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,,,,,,,,
其他应收款(万元),,384,,422,860,3495,3483,3201,3322,3208,3311,3110,145,172,207,76,200,203,238,106,104,88,76,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,0,,,,,,,,,,,,,,
存货(万元),24220,25053,25200,25681,24648,17622,15227,13299,12776,11937,11089,8930,8548,8051,8469,9147,8840,8472,8293,7978,6339,4455,3417,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,8,,,,3,,11,20,,,,,,,,,,,,,,
其他流动资产(万元),3,5,,465,,1424,1300,1432,1600,1600,1702,1709,1700,4500,4500,4638,4500,,,,,,,
流动资产合计(万元),124276,119093,117577,105485,103968,97542,93538,94453,106586,103147,99240,87908,83383,81187,79628,77772,76198,76246,35128,34857,25534,22369,18905,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,233,210,210,,,,,,,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资(万元),,,,,,,210,,,,,,,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,,,,,,,,,,,
