报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,
货币资金(万元),29352,34072,58745,5443,4434,5627,4204,3874,7352,7240,6905,654,
结算备付金(万元),,,,,,,,0,,,,,
拆出资金(万元),,,,,,,,0,,,,,
交易性金融资产(万元),,,,,,,,0,,,,,
衍生金融资产(万元),,,,,,,,0,,,,,
应收票据(万元),7547,6526,3919,5562,3046,1667,1690,3217,1485,1036,1509,657,
应收账款(万元),10323,10207,9717,8382,11126,10740,9528,10591,7654,8454,7241,6686,
预付款项(万元),3825,2157,2760,1853,2271,1502,1895,1143,1001,1425,619,424,
应收保费(万元),,,,,,,,0,,,,,
应收分保账款(万元),,,,,,,,0,,,,,
应收分保合同准备金(万元),,,,,,,,0,,,,,
应收利息(万元),,,,,,,,0,,,,,
应收股利(万元),,,,,,,,0,,,,,
其他应收款(万元),,73,,70,138,49,39,417,540,3855,4584,8634,
应收出口退税(万元),,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,0,,,,,
存货(万元),12443,8691,13636,12107,14223,14665,10971,10723,10849,9727,8709,8938,
待摊费用(万元),,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,0,,,,,
其他流动资产(万元),12745,15389,422,375,164,173,,0,,,29,46,
流动资产合计(万元),76359,77114,89336,33792,35402,34424,28327,29965,28881,31738,29596,26040,
发放贷款及垫款(万元),,,,,,,,0,,,,,
可供出售金融资产(万元),,,,,,,,0,,,,,
持有至到期投资(万元),,,,,,,,0,,,,,
长期应收款(万元),,,,,,,,0,,,,,
长期股权投资(万元),3000,2936,1868,1865,1967,2010,2016,2025,1971,1905,1920,,
其他长期投资(万元),,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,0,,,,,
固定资产原值(万元),,48760,,47996,44570,42520,40919,,39108,,35204,,
累计折旧(万元),,24855,,23756,23361,22820,21524,,19534,,16596,,
固定资产净值(万元),,23905,,24240,21209,19700,19395,,19574,,18608,,
固定资产减值准备(万元),,,,,,,,,,,,,
固定资产(万元),,23905,,24240,21209,19700,19395,19150,19574,17387,18608,24290,
在建工程(万元),,7253,,5383,4775,5175,2532,1290,434,2972,1889,2451,
工程物资(万元),,92,,,,,,0,,,,,
固定资产清理(万元),,,,,3,,,0,,,,,
生产性生物资产(万元),,,,,,,,0,,,,,
公益性生物资产(万元),,,,,,,,,,,,,
油气资产(万元),,,,,,,,0,,,,,
无形资产(万元),5034,5067,3669,3695,3721,3411,3459,3506,3540,3581,3628,4041,
开发支出(万元),,,,,,,,0,,,,,
商誉(万元),256,256,256,256,256,256,256,256,256,256,256,256,
长期待摊费用(万元),1118,811,875,861,841,879,175,177,204,232,259,178,
股权分置流通权(万元),,,,,,,,,,,,,
递延所得税资产(万元),556,497,413,401,342,327,230,244,193,351,176,170,
其他非流动资产(万元),5422,3911,4247,3623,4343,2970,2712,936,878,669,665,757,
非流动资产合计(万元),49053,45530,41709,40325,37457,34727,30774,27584,27050,27353,27401,32144,
资产总计(万元),125412,122644,131045,74117,72859,69151,59101,57549,55931,59090,56997,58184,
