报告日期,2020-09-30,2020-06-30,2019-12-31,2019-06-30,2018-12-31,2017-12-31,2016-12-31,
货币资金(万元),,244644,285389,172409,174620,167188,125049,
结算备付金(万元),,,,,,,,
拆出资金(万元),,,,,,,,
交易性金融资产(万元),,33910,11046,12009,,,,
衍生金融资产(万元),,,,,,,,
应收票据(万元),,9740,5940,11371,,,,
应收账款(万元),,38481,19665,28832,,,,
预付款项(万元),,146482,101795,79347,56483,14608,9763,
应收保费(万元),,,,,,,,
应收分保账款(万元),,,,,,,,
应收分保合同准备金(万元),,,,,,,,
应收利息(万元),,,,,,,,
应收股利(万元),,,,,,,,
其他应收款(万元),,1921,4045,,,,,
应收出口退税(万元),,,,,,,,
应收补贴款(万元),,,,,,,,
应收保证金(万元),,,,,,,,
内部应收款(万元),,,,,,,,
买入返售金融资产(万元),,,,,,,,
存货(万元),,226057,179026,215565,176407,182013,144178,
待摊费用(万元),,,,,,,,
待处理流动资产损益(万元),,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,
其他流动资产(万元),,11827,13579,16612,9957,4081,488,
流动资产合计(万元),,713221,620767,545326,466154,421148,390463,
发放贷款及垫款(万元),,,,,,,,
可供出售金融资产(万元),,,,,10000,10000,10000,
持有至到期投资(万元),,,,,,,,
长期应收款(万元),,,,,,,,
长期股权投资(万元),,,,,,50942,50706,
其他长期投资(万元),,,,,,,,
投资性房地产(万元),,1066,1253,680,711,764,1722,
固定资产原值(万元),,320784,303740,,,,,
累计折旧(万元),,106166,95841,,,,,
固定资产净值(万元),,214617,207899,,,,,
固定资产减值准备(万元),,,,,,,,
固定资产(万元),,214617,207899,,,,,
在建工程(万元),,7340,10647,,,,,
工程物资(万元),,,,,,,,
固定资产清理(万元),,32,,,,,,
生产性生物资产(万元),,,,,,,,
公益性生物资产(万元),,,,,,,,
油气资产(万元),,,,,,,,
无形资产(万元),,35063,35480,35858,36160,15586,15620,
开发支出(万元),,,,,,,,
商誉(万元),,326,326,326,326,,,
长期待摊费用(万元),,1351,1649,1844,1547,800,1213,
股权分置流通权(万元),,,,,,,,
递延所得税资产(万元),,4780,4147,3968,4781,2796,2921,
其他非流动资产(万元),,2480,3366,,60,9563,1016,
非流动资产合计(万元),,267055,264768,261710,278060,234362,227903,
资产总计(万元),1000415,980275,885535,807036,744215,655510,618366,
短期借款(万元),,138225,123275,109800,106400,88371,70800,
向中央银行借款(万元),,,,,,,,
吸收存款及同业存放(万元),,,,,,,,
拆入资金(万元),,,,,,,,
交易性金融负债(万元),,,,,,,,
衍生金融负债(万元),,,,,,,,
应付票据(万元),,261557,235061,224297,,,,
应付账款(万元),,20228,18705,33805,,,,
预收账款(万元),,,39920,22085,27789,21936,28773,
卖出回购金融资产款(万元),,,,,,,,
应付手续费及佣金(万元),,,,,,,,
应付职工薪酬(万元),,13427,16290,10868,12656,10354,7935,
应交税费(万元),,25021,8943,8718,6393,10100,9351,
应付利息(万元),,214,226,,,,,
应付股利(万元),,,,,,,,
其他应交款(万元),,,,,,,,
应付保证金(万元),,,,,,,,
内部应付款(万元),,,,,,,,
其他应付款(万元),,4202,3727,,,,,
预提费用(万元),,,,,,,,
预计流动负债(万元),,,,,,,,
应付分保账款(万元),,,,,,,,
保险合同准备金(万元),,,,,,,,
代理买卖证券款(万元),,,,,,,,
代理承销证券款(万元),,,,,,,,
国际票证结算(万元),,,,,,,,
国内票证结算(万元),,,,,,,,
递延收益(万元),,,,,,,,
应付短期债券(万元),,,,,,,,
一年内到期的非流动负债(万元),,3000,2000,1000,,,,
其他流动负债(万元),,3460,,2912,2982,,,
流动负债合计(万元),,489472,448147,418183,381099,385740,394275,
长期借款(万元),,6000,8000,9000,10000,,,
应付债券(万元),,,,,,,,
长期应付款(万元),,,,,,,,
专项应付款(万元),,,,,,,,
预计非流动负债(万元),,,,,,,,
长期递延收益(万元),,11743,12091,11495,11665,3184,2903,
递延所得税负债(万元),,,686,,,,,
其他非流动负债(万元),,,,,,,,
非流动负债合计(万元),,17743,20777,20495,21665,5086,4805,
负债合计(万元),503099,507215,468925,438677,402764,390826,399080,
实收资本(或股本)(万元),,126956,126956,126956,126956,125290,120799,
资本公积(万元),,24071,24071,11071,11071,8593,4043,
减:库存股(万元),,,,,,,,
专项储备(万元),,,,,,,,
盈余公积(万元),,18200,18200,13873,13873,8248,5074,
一般风险准备(万元),,,,,,,,
未确定的投资损失(万元),,,,,,,,
未分配利润(万元),,258717,202423,172512,147684,121642,88457,
拟分配现金股利(万元),,,,,,,,
外币报表折算差额(万元),,,,,,,,
归属于母公司股东权益合计(万元),451456,427944,371651,324413,299585,263774,218373,
少数股东权益(万元),,45116,44959,43946,41866,910,914,
所有者权益(或股东权益)合计(万元),497317,473061,416610,368359,341450,264684,219286,
负债和所有者权益(或股东权益)总计(万元),1000415,980275,885535,807036,744215,655510,618366,		
