报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-06-30,2018-12-31,2017-12-31,2016-12-31,
货币资金(万元),39633,60488,33026,34342,20499,35098,62837,38067,
结算备付金(万元),,,,,,,,,
拆出资金(万元),,,,,,,,,
交易性金融资产(万元),70511,70095,,,,,,,
衍生金融资产(万元),,,,,,,,,
应收票据(万元),20282,15033,30559,47362,20900,14120,22468,8071,
应收账款(万元),79372,73213,63940,45115,45021,30092,42582,38536,
预付款项(万元),935,995,730,516,498,1319,1544,2420,
应收保费(万元),,,,,,,,,
应收分保账款(万元),,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,
应收利息(万元),,,,,,,,,
应收股利(万元),,,,,,,,,
其他应收款(万元),,1202,,1449,,,,,
应收出口退税(万元),,,,,,,,,
应收补贴款(万元),,,,,,,,,
应收保证金(万元),,,,,,,,,
内部应收款(万元),,,,,,,,,
买入返售金融资产(万元),,,,,,,,,
存货(万元),71093,65858,61713,67456,78385,80157,62207,23797,
待摊费用(万元),,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,
其他流动资产(万元),1622,794,1231,713,982,19791,2227,8847,
流动资产合计(万元),284560,287679,192278,196953,167457,181788,197924,120504,
发放贷款及垫款(万元),,,,,,,,,
可供出售金融资产(万元),,,,,,,,,
持有至到期投资(万元),,,,,,,,,
长期应收款(万元),,,,,,,,,
长期股权投资(万元),31407,32325,31874,29588,27783,25023,19044,19910,
其他长期投资(万元),,,,,,,,,
投资性房地产(万元),9077,9120,9281,9441,9761,10082,17585,15779,
固定资产原值(万元),,83779,,81556,,,,,
累计折旧(万元),,38362,,35775,,,,,
固定资产净值(万元),,45416,,45781,,,,,
固定资产减值准备(万元),,,,,,,,,
固定资产(万元),,45416,,45781,,,,,
在建工程(万元),,666,,10,,,,,
工程物资(万元),,,,,,,,,
固定资产清理(万元),,,,,,,,,
生产性生物资产(万元),,,,,,,,,
公益性生物资产(万元),,,,,,,,,
油气资产(万元),,,,,,,,,
无形资产(万元),12450,12484,12566,12667,9819,9992,8695,9477,
开发支出(万元),,,,,,,,,
商誉(万元),,,,,,,,,
长期待摊费用(万元),232,272,288,331,376,290,375,32,
股权分置流通权(万元),,,,,,,,,
递延所得税资产(万元),2864,2574,2693,2365,1769,1294,1138,1008,
其他非流动资产(万元),6135,5630,5039,1844,1221,1316,2464,3283,
非流动资产合计(万元),108470,108488,107547,102026,96803,92849,88137,84554,
资产总计(万元),393030,396167,299825,298980,264261,274637,286061,205058,
短期借款(万元),51901,53771,79587,69910,54820,49857,101480,78140,
向中央银行借款(万元),,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,
拆入资金(万元),,,,,,,,,
交易性金融负债(万元),,,,,,,,,
衍生金融负债(万元),,,,,,,,,
应付票据(万元),21610,16816,9974,8685,3234,,,,
应付账款(万元),36512,37113,37539,44536,49878,,,,
预收账款(万元),,,4531,4455,6090,6912,7343,1888,
卖出回购金融资产款(万元),,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,
应付职工薪酬(万元),1714,2276,1718,2237,1859,2328,2476,2470,
应交税费(万元),730,1722,3495,7253,3648,5226,3116,1188,
应付利息(万元),,,,,51,136,98,60,
应付股利(万元),,,,,,,,,
其他应交款(万元),,,,,,,,,
应付保证金(万元),,,,,,,,,
内部应付款(万元),,,,,,,,,
其他应付款(万元),,1412,,533,,,,,
预提费用(万元),,,,,,,,,
预计流动负债(万元),,,,,,,,,
应付分保账款(万元),,,,,,,,,
保险合同准备金(万元),,,,,,,,,
代理买卖证券款(万元),,,,,,,,,
代理承销证券款(万元),,,,,,,,,
国际票证结算(万元),,,,,,,,,
国内票证结算(万元),,,,,,,,,
递延收益(万元),,,,,,,,,
应付短期债券(万元),,,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,,
其他流动负债(万元),105,105,,,,,,,
流动负债合计(万元),116031,116303,137371,137610,120249,137768,196622,130313,
长期借款(万元),,,,,,,,,
应付债券(万元),,,,,,,,,
长期应付款(万元),,,,,,,,,
专项应付款(万元),,,,,,,,,
预计非流动负债(万元),1217,1241,1300,1390,1438,1405,1542,1850,
长期递延收益(万元),2815,2763,2382,2324,1808,1181,,,
递延所得税负债(万元),,,,,,,,,
其他非流动负债(万元),60,81,,,,,,,
非流动负债合计(万元),4092,4085,3682,3714,3246,2586,1542,1850,
负债合计(万元),120123,120387,141052,141324,123495,140353,198165,132163,
实收资本(或股本)(万元),30222,30222,22666,22666,22666,22666,21000,21000,
资本公积(万元),171621,171621,66287,66287,66287,66287,42963,42963,
减:库存股(万元),,,,,,,,,
专项储备(万元),,,,,,,,,
盈余公积(万元),3518,3518,3504,3504,2416,2416,1341,461,
一般风险准备(万元),,,,,,,,,
未确定的投资损失(万元),,,,,,,,,
未分配利润(万元),67646,70078,65949,64908,49190,42494,22635,8019,
拟分配现金股利(万元),,,,,,,,,
外币报表折算差额(万元),,,,,,,,,
归属于母公司股东权益合计(万元),273111,275949,158927,157726,140833,134174,87967,72788,
少数股东权益(万元),-204,-169,-155,-70,-67,110,-71,107,
所有者权益(或股东权益)合计(万元),272907,275780,158772,157656,140766,134284,87896,72895,
负债和所有者权益(或股东权益)总计(万元),393030,396167,299825,298980,264261,274637,286061,205058,		
