报告日期,2020-09-30,2020-06-30,2019-12-31,2019-06-30,2018-12-31,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
货币资金(万元),41940,15869,8079,21041,6056,12429,13687,22166,4716,
结算备付金(万元),,,,,,,,,,
拆出资金(万元),,,,,,,,,,
交易性金融资产(万元),26710,,,1800,,,,268,309,
衍生金融资产(万元),,,,,,,,,,
应收票据(万元),,,,13637,14661,,,,,
应收账款(万元),75012,64614,74557,74209,63706,,,,,
预付款项(万元),16990,4688,4586,1784,1737,1531,6644,2481,967,
应收保费(万元),,,,,,,,,,
应收分保账款(万元),,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,
应收利息(万元),,,,,,,,,,
应收股利(万元),,,,,,,,,,
其他应收款(万元),,26,256,,,,,,,
应收出口退税(万元),,,,,,,,,,
应收补贴款(万元),,,,,,,,,,
应收保证金(万元),,,,,,,,,,
内部应收款(万元),,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,
存货(万元),116941,97207,109248,108534,105435,105769,112490,80175,47464,
待摊费用(万元),,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,
其他流动资产(万元),13723,13453,13826,15317,13545,13132,8649,2311,9,
流动资产合计(万元),316883,218893,237796,236357,206467,210916,217076,160332,100868,
发放贷款及垫款(万元),,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,
长期应收款(万元),,,,,,,,,,
长期股权投资(万元),,,,,,,,,,
其他长期投资(万元),,,,,,,,,,
投资性房地产(万元),,,,,,,,,,
固定资产原值(万元),,219784,216759,,,,,,,
累计折旧(万元),,73160,64161,,,,,,,
固定资产净值(万元),,146625,152598,,,,,,,
固定资产减值准备(万元),,,,,,,,,,
固定资产(万元),,146625,152598,,,74164,60176,62819,56808,
在建工程(万元),,33367,29526,,,76692,50550,602,2920,
工程物资(万元),,2353,2395,,,,,,,
固定资产清理(万元),,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,
油气资产(万元),,,,,,,,,,
无形资产(万元),17779,17910,18170,18428,18686,9469,9357,9642,8839,
开发支出(万元),,,,,,,,,,
商誉(万元),,,,,,,,,,
长期待摊费用(万元),,,,,,,4,,,
股权分置流通权(万元),,,,,,,,,,
递延所得税资产(万元),4317,4001,4309,3475,3149,1840,1933,1687,1213,
其他非流动资产(万元),5782,2079,2469,2243,6508,10966,15538,7309,1913,
非流动资产合计(万元),214377,206335,209466,210566,193877,173131,137558,82059,71693,
资产总计(万元),531260,425229,447262,446924,400344,384048,354634,242391,172561,
短期借款(万元),188470,194471,246543,261350,185802,175420,43500,51400,34000,
向中央银行借款(万元),,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,
拆入资金(万元),,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,
应付票据(万元),,,,1449,1449,,,,,
应付账款(万元),31981,17458,24400,28260,23881,,,,,
预收账款(万元),,,899,648,1618,940,1957,1448,3502,
卖出回购金融资产款(万元),,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,
应付职工薪酬(万元),3862,2917,4117,3202,4566,3744,5191,5035,3700,
应交税费(万元),2049,365,1654,1177,1976,1565,2033,2782,1190,
应付利息(万元),,,,,,,,,,
应付股利(万元),,,,,,,,,,
其他应交款(万元),,,,,,,,,,
应付保证金(万元),,,,,,,,,,
内部应付款(万元),,,,,,,,,,
其他应付款(万元),,159,25,,,,,,,
预提费用(万元),,,,,,,,,,
预计流动负债(万元),,,,,,,,,,
应付分保账款(万元),,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,
国际票证结算(万元),,,,,,,,,,
国内票证结算(万元),,,,,,,,,,
递延收益(万元),,,,,,,,,,
应付短期债券(万元),,,,,,,,,,
一年内到期的非流动负债(万元),10000,,,,,3077,6154,7692,4616,
其他流动负债(万元),82,158,,,,,,,,
流动负债合计(万元),237524,216747,277638,296436,219623,221252,271186,136450,85253,
长期借款(万元),20000,30000,,,40000,40000,,6154,13846,
应付债券(万元),,,,,,,,,,
长期应付款(万元),,,,,,,,,,
专项应付款(万元),,,,,,,,,,
预计非流动负债(万元),,,,,,,,,,
长期递延收益(万元),17251,17484,18009,11560,8911,924,936,175,200,
递延所得税负债(万元),,,,,,,,,,
其他非流动负债(万元),,,,,,,,,,
非流动负债合计(万元),37251,47484,18009,11560,48911,40924,936,6329,14046,
负债合计(万元),274775,264231,295647,307996,268534,262175,272123,142779,99299,
实收资本(或股本)(万元),99853,74890,74890,74890,74890,74890,60060,60060,60060,
资本公积(万元),81984,18429,18429,18429,18429,18429,2116,11557,2407,
减:库存股(万元),,,,,,,,,,
专项储备(万元),5461,5115,4386,3701,2934,2300,1548,853,381,
盈余公积(万元),7120,7120,7120,6160,6160,4811,4811,3309,1630,
一般风险准备(万元),,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,
未分配利润(万元),62067,55443,46790,35747,29397,21443,13977,23833,8784,
拟分配现金股利(万元),,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,
归属于母公司股东权益合计(万元),256485,160997,151614,138928,131810,121872,82511,99612,73262,
少数股东权益(万元),,,,,,,,,,
所有者权益(或股东权益)合计(万元),256485,160997,151614,138928,131810,121872,82511,99612,73262,
负债和所有者权益(或股东权益)总计(万元),531260,425229,447262,446924,400344,384048,354634,242391,172561,		
