报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),107697,93560,100678,107059,88250,85251,91291,102040,30061,38868,35604,16630,17089,
结算备付金(万元),,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,
应收票据(万元),100,16691,516,11584,11685,13203,279,548,12483,1282,2026,2480,1084,
应收账款(万元),30593,29125,37035,34397,32094,17942,16609,14966,17271,16749,13272,11716,7036,
预付款项(万元),1917,2087,2811,701,93,905,237,300,356,275,103,218,250,
应收保费(万元),,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,
其他应收款(万元),,1003,,954,950,919,941,701,288,328,209,130,399,
应收出口退税(万元),,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,
存货(万元),25902,24503,24056,22786,25019,25912,25726,22751,18632,9888,4931,3786,3691,
待摊费用(万元),,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,
其他流动资产(万元),2269,6981,6823,6574,538,1188,2438,2191,732,743,65,,,
流动资产合计(万元),169380,173950,172972,184054,158631,145319,137521,143498,79823,68133,56210,34960,29548,
发放贷款及垫款(万元),,,,,,,,,,,,,,
可供出售金融资产(万元),,,,1072,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,
长期股权投资(万元),353,353,1072,,,0,344,344,334,329,692,666,678,
其他长期投资(万元),,,,,,,,,,,,,,
投资性房地产(万元),10767,4896,,,,,,,,,,,,
固定资产原值(万元),,12618,,11710,,10071,,9243,8376,8016,,,,
累计折旧(万元),,5253,,4618,,4185,,3782,3419,3076,,,,
固定资产净值(万元),,7364,,7091,,5886,,5461,4957,4940,,,,
固定资产减值准备(万元),,,,,,,,,,,,,,
固定资产(万元),,7364,,7091,6824,5886,5405,5461,4957,4940,4729,5053,5166,
在建工程(万元),,7086,,9823,9327,9328,9275,9009,7233,6319,1420,66,,
工程物资(万元),,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,
无形资产(万元),2806,2793,,2880,2885,2740,2761,2798,2754,2825,2859,2836,756,
开发支出(万元),,,,,,,,,,,,,,
商誉(万元),,,,,,,,,,,,,,
长期待摊费用(万元),,,,,,,,,,,,148,319,
股权分置流通权(万元),,,,,,,,,,,,,,
