报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),46831,49834,64491,58110,19710,13078,11426,7109,10447,1860,2261,
结算备付金(万元),,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,
应收票据(万元),18687,16303,18060,14075,,,,3776,,,7419,
应收账款(万元),41751,45199,32549,38809,,,,19364,,,5281,
预付款项(万元),433,38,141,1816,1563,2,10,31,27,18,8,
应收保费(万元),,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,
应收利息(万元),139,341,178,,,,,,,,,
应收股利(万元),,,0,,,,,,,,,
其他应收款(万元),,362,,274,,,,108,,,329,
应收出口退税(万元),,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,
存货(万元),22127,21190,15684,19604,18656,19946,16006,9664,7769,6714,3378,
待摊费用(万元),,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,
其他流动资产(万元),1033,482,305,485,299,790,702,31,68,76,61,
流动资产合计(万元),131558,133748,131633,133172,87401,71536,59588,40083,38154,24682,18737,
发放贷款及垫款(万元),,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,
长期股权投资(万元),,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,
固定资产原值(万元),,25129,,18534,15119,13911,10729,,,,,
累计折旧(万元),,4531,,3490,3082,2705,2077,,,,,
固定资产净值(万元),,20598,,15043,12037,11205,8652,,,,,
固定资产减值准备(万元),,,,,,,,,,,,
固定资产(万元),,20598,,15043,12037,11205,8652,6180,4677,4099,3260,
在建工程(万元),,49,,,,,,,,190,7,
工程物资(万元),,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,
无形资产(万元),1481,1491,1501,1512,1522,1525,850,862,861,27,17,
开发支出(万元),,,,,,,,,,,,
商誉(万元),,,,,,,,,,,,
长期待摊费用(万元),331,405,409,447,496,532,509,434,349,182,24,
股权分置流通权(万元),,,,,,,,,,,,
递延所得税资产(万元),508,391,382,383,328,278,183,136,111,82,30,
其他非流动资产(万元),3946,3720,2437,935,1460,138,980,333,113,59,175,
非流动资产合计(万元),31033,26654,20820,18320,15842,13678,11174,7945,6110,4638,3513,
资产总计(万元),162591,160402,152453,151492,103244,85214,70762,48029,44265,29320,22250,
短期借款(万元),2600,2600,1100,1100,1100,1326,1326,,1608,2114,2557,
向中央银行借款(万元),,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,
应付票据(万元),29094,26874,,28583,,,,4877,,,3739,
应付账款(万元),37688,39755,,33063,,,,16386,,,6424,
预收账款(万元),,20,,,0,2,5,,,,,
卖出回购金融资产款(万元),,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,
应付职工薪酬(万元),3892,3505,3402,3849,2810,2272,2760,1671,1386,976,594,
应交税费(万元),851,1024,729,1147,1649,1551,1492,938,1253,938,201,
应付利息(万元),3,3,2,2,,,,,,,4,
应付股利(万元),,,0,,,,,,,,,
其他应交款(万元),,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,
其他应付款(万元),,5710,,2693,,,,1101,,,4174,
预提费用(万元),,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,,140,218,,
其他流动负债(万元),,,,,,,,,,,,
流动负债合计(万元),80915,79491,68553,70437,59766,47401,41229,24974,23829,19803,17693,
长期借款(万元),,,,,,,,,,,,
应付债券(万元),,,,,,,,,,,,
长期应付款(万元),,,,,,,,,1209,1898,1507,
专项应付款(万元),,,,,,,,,,,,
预计非流动负债(万元),,,,,,,,,,,,
长期递延收益(万元),2044,2133,1159,1214,1045,1095,862,432,460,516,408,
递延所得税负债(万元),,,,,0,0,0,0,0,0,,
其他非流动负债(万元),,,,,,,,,,,,
非流动负债合计(万元),2044,2133,1159,1214,1045,1095,862,432,1668,2414,1915,
负债合计(万元),82959,81624,69712,71650,60811,48496,42091,25405,25498,22216,19608,
实收资本(或股本)(万元),11626,11626,7266,7266,5450,5450,5450,5450,5450,4211,1000,
资本公积(万元),37185,37185,41545,41545,8361,8361,8361,8361,8361,1900,117,
减:库存股(万元),,,,,,,,,,,,
专项储备(万元),,,,,,,,,,,,
盈余公积(万元),3167,3167,3167,3167,1490,1490,1490,496,496,249,152,
一般风险准备(万元),,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,
未分配利润(万元),27658,26802,30766,27866,27134,21419,13371,8319,4463,747,1374,
拟分配现金股利(万元),,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,
归属于母公司股东权益合计(万元),79633,78778,82741,79842,42433,36718,28671,22623,18767,7104,2642,
少数股东权益(万元),,,,,,,,,,,,
所有者权益(或股东权益)合计(万元),79633,78778,82741,79842,42433,36718,28671,22623,18767,7104,2642,
负债和所有者权益(或股东权益)总计(万元),162591,160402,152453,151492,103244,85214,70762,48029,44265,29320,22250,		
