报告日期,2019-09-30,2019-06-30,2018-12-31,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
货币资金(万元),,85552,85804,85174,81369,69385,56652,
结算备付金(万元),,,,,,,,
拆出资金(万元),,,,,,,,
交易性金融资产(万元),,,,,,,,
衍生金融资产(万元),,,,,,,,
应收票据(万元),,15,,,193,,,
应收账款(万元),,26588,19573,,22352,21206,18990,
预付款项(万元),,19680,19745,18152,21902,18633,17053,
应收保费(万元),,,,,,,,
应收分保账款(万元),,,,,,,,
应收分保合同准备金(万元),,,,,,,,
应收利息(万元),,265,105,,,,,
应收股利(万元),,,,,,,,
其他应收款(万元),,2925,3018,,2156,22827,47404,
应收出口退税(万元),,,,,,,,
应收补贴款(万元),,,,,,,,
应收保证金(万元),,,,,,,,
内部应收款(万元),,,,,,,,
买入返售金融资产(万元),,,,,,,,
存货(万元),,35133,30667,28131,26388,19139,21609,
待摊费用(万元),,,,,,,,
待处理流动资产损益(万元),,,,,,,,
一年内到期的非流动资产(万元),,73,76,75,75,73,71,
其他流动资产(万元),,5220,5527,3382,6723,5902,5435,
流动资产合计(万元),,175452,164516,161206,161158,157165,167213,
发放贷款及垫款(万元),,,,,,,,
可供出售金融资产(万元),,,2030,2030,2030,2030,2030,
持有至到期投资(万元),,,,,,,,
长期应收款(万元),,332,377,386,562,495,539,
长期股权投资(万元),,24687,23542,22915,17449,14764,14189,
其他长期投资(万元),,,,,,,,
投资性房地产(万元),,3784,3938,4112,3160,3293,3596,
固定资产原值(万元),,357936,347892,,,,,
累计折旧(万元),,129555,121947,,,,,
固定资产净值(万元),,228381,225944,,,,,
固定资产减值准备(万元),,,,,,,,
固定资产(万元),,228381,225944,163887,161240,113084,109187,
在建工程(万元),,,,106627,83562,96058,83564,
工程物资(万元),,,,,,,,
固定资产清理(万元),,,,,,,,
生产性生物资产(万元),,,,,,,,
公益性生物资产(万元),,,,,,,,
油气资产(万元),,,,,,,,
无形资产(万元),,27849,28495,22443,22914,22936,22859,
开发支出(万元),,,,,,,,
商誉(万元),,1333,,,,,,
长期待摊费用(万元),,1537,1623,1575,1411,1343,1371,
股权分置流通权(万元),,,,,,,,
递延所得税资产(万元),,1295,1335,1431,1449,1877,1640,
其他非流动资产(万元),,1609,1534,1059,2496,1244,701,
非流动资产合计(万元),,363225,354182,326465,296273,257124,239675,
资产总计(万元),563888,538677,518698,487671,457431,414289,406888,
短期借款(万元),,3000,3000,1000,,,,
向中央银行借款(万元),,,,,,,,
吸收存款及同业存放(万元),,,,,,,,
拆入资金(万元),,,,,,,,
交易性金融负债(万元),,,,,,,,
衍生金融负债(万元),,,,,,,,
应付票据(万元),,1726,5132,,17194,1875,2911,
应付账款(万元),,112881,115765,,66634,47596,52189,
预收账款(万元),,86163,75081,70948,86249,69194,65389,
卖出回购金融资产款(万元),,,,,,,,
应付手续费及佣金(万元),,,,,,,,
应付职工薪酬(万元),,14312,18438,11708,5279,5517,4777,
应交税费(万元),,1743,2203,1820,2661,2540,3399,
应付利息(万元),,4,33,,,,,
应付股利(万元),,2154,12138,,26023,22443,,
其他应交款(万元),,,,,,,,
应付保证金(万元),,,,,,,,
内部应付款(万元),,,,,,,,
其他应付款(万元),,22987,23170,,25636,22325,24850,
预提费用(万元),,,,,,,,
预计流动负债(万元),,,,,,,,
应付分保账款(万元),,,,,,,,
保险合同准备金(万元),,,,,,,,
代理买卖证券款(万元),,,,,,,,
代理承销证券款(万元),,,,,,,,
国际票证结算(万元),,,,,,,,
国内票证结算(万元),,,,,,,,
递延收益(万元),,,,,,,,
应付短期债券(万元),,,,,,,,
一年内到期的非流动负债(万元),,333,254,248,253,237,230,
其他流动负债(万元),,,,,,,,
流动负债合计(万元),,245304,255217,237688,229929,171727,153746,
长期借款(万元),,23745,23957,24048,24202,24556,1935,
应付债券(万元),,,,,,,,
长期应付款(万元),,,,40,,,,
专项应付款(万元),,40,40,,40,2665,2665,
预计非流动负债(万元),,,,,,,,
长期递延收益(万元),,11127,11458,11065,10396,7732,4605,
递延所得税负债(万元),,150,150,,,,,
其他非流动负债(万元),,,,,,,,
非流动负债合计(万元),,35061,35604,35152,34637,34953,9204,
负债合计(万元),291780,280365,290821,272840,264567,206680,162950,
实收资本(或股本)(万元),,80000,80000,80000,80000,80000,80000,
资本公积(万元),,51084,51084,51084,51084,379,15912,
减:库存股(万元),,,,,,,,
专项储备(万元),,761,493,451,290,201,6,
盈余公积(万元),,8906,8906,3816,3816,52431,46568,
一般风险准备(万元),,,,,,,,
未确定的投资损失(万元),,,,,,,,
未分配利润(万元),,96445,67544,60774,39895,59130,83332,
拟分配现金股利(万元),,,,,,,,
外币报表折算差额(万元),,,,,,,,
归属于母公司股东权益合计(万元),,237196,208027,196125,175085,192142,225818,
少数股东权益(万元),,21115,19849,18706,17779,15468,18121,
所有者权益(或股东权益)合计(万元),272108,258312,227877,214831,192865,207609,243939,
负债和所有者权益(或股东权益)总计(万元),563888,538677,518698,487671,457431,414289,406888,		
