报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2018-12-31,2018-03-31,2017-12-31,2016-12-31,2015-12-31,
货币资金(万元),228122,243597,224838,73379,145130,95351,21794,36858,11021,11373,7063,
结算备付金(万元),,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,
交易性金融资产(万元),177703,39694,45760,85660,277360,318218,,,,,,
衍生金融资产(万元),637,832,,,,,,,,,,
应收票据(万元),,,,,,,,,,,,
应收账款(万元),18231,14634,18308,19721,17989,11045,,,,,,
预付款项(万元),5546,6917,4418,2642,2577,2293,2042,3862,3339,1672,569,
应收保费(万元),,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,
应收利息(万元),,,,,,63,,,,,,
应收股利(万元),,,,,,,,,,,,
其他应收款(万元),,2209,,2708,,2730,,3843,3664,3557,1306,
应收出口退税(万元),,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,
存货(万元),59745,74945,86558,97927,87191,68790,81151,84763,96266,46106,38989,
待摊费用(万元),,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,
其他流动资产(万元),456131,484217,483875,282109,2117,3492,223117,97174,132629,187020,135779,
流动资产合计(万元),948419,867044,866248,564145,534891,501983,352352,240093,258886,257356,192521,
发放贷款及垫款(万元),,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,
持有至到期投资(万元),,1083,1058,1033,1000,1000,1000,,,,,
长期应收款(万元),,,,,,,,,,,,
长期股权投资(万元),,,,,,,,,,4616,4656,
其他长期投资(万元),,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,
固定资产原值(万元),,183445,,168266,,163551,,,,,,
累计折旧(万元),,61373,,52937,,46748,,,,,,
固定资产净值(万元),,122073,,115329,,116803,,,,,,
固定资产减值准备(万元),,,,,,,,,,,,
固定资产(万元),,122073,,115329,,116803,,102732,96433,64989,30323,
在建工程(万元),,23260,,,,,,4312,4494,14537,14367,
工程物资(万元),,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,
无形资产(万元),30323,30581,30679,31037,30744,30843,30570,24093,20812,21492,21987,
开发支出(万元),,,,,,,,,,,,
商誉(万元),,,,,,,,,,,,
长期待摊费用(万元),1363,,,,,,,,,,,
股权分置流通权(万元),,,,,,,,,,,,
递延所得税资产(万元),7866,8338,7462,5138,5253,2562,4152,3709,3752,1933,1019,
其他非流动资产(万元),1541,1880,1646,1213,1508,1019,981,14309,11289,26977,2949,
非流动资产合计(万元),192822,187214,187244,177511,172885,168386,164058,149156,136780,134544,75301,
资产总计(万元),1141242,1054259,1053492,741656,707777,670370,516411,389248,395666,391900,267823,
短期借款(万元),70000,65000,,,,,,31723,33771,1000,4182,
向中央银行借款(万元),,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,
交易性金融负债(万元),,,,15,,,,,,,9,
衍生金融负债(万元),,,,,,,,,,,,
应付票据(万元),,,,,,,,,,,,
应付账款(万元),118866,115484,61904,116433,121927,130314,,,,,,
预收账款(万元),,,,13003,29022,43364,12470,22205,17050,19871,11813,
