报告日期,2019-09-30,2019-06-30,2018-12-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),2260,4233,6286,3249,1096,1682,254,1348,1236,354,
结算备付金(万元),,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,
应收票据(万元),,,,,,,,,,,
应收账款(万元),17382,15245,12165,9495,6348,2632,2131,75,59,181,
预付款项(万元),436,607,192,91,105,77,247,117,76,65,
应收保费(万元),,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,
应收利息(万元),,,,,,,,,,,
应收股利(万元),,,,,,,,,,,
其他应收款(万元),,2,9,2,3,2,17,17,403,41,
应收出口退税(万元),,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,
存货(万元),4776,2922,2978,1737,2380,3076,2480,2283,2195,1627,
待摊费用(万元),,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,
其他流动资产(万元),222,,,,120,1370,4600,590,549,95,
流动资产合计(万元),25077,23009,21630,14573,10050,8840,9729,4429,4518,2363,
发放贷款及垫款(万元),,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,
长期股权投资(万元),,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,
投资性房地产(万元),391,398,412,441,455,,,,,,
固定资产原值(万元),,6372,6341,6310,,,,,,,
累计折旧(万元),,726,622,425,,,,,,,
固定资产净值(万元),,5645,5718,5885,,,,,,,
固定资产减值准备(万元),,,,,,,,,,,
固定资产(万元),,5645,5718,5885,5951,6416,562,580,601,620,
在建工程(万元),,,,,,,5372,,,,
