报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),6152,10735,16978,2779,6355,12676,15185,10468,6563,11747,10891,8259,654,1072,
结算备付金(万元),,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,
交易性金融资产(万元),17886,22019,24968,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,
应收票据(万元),1331,767,1294,1108,1579,692,941,1120,729,1000,201,531,510,803,
应收账款(万元),20717,17221,12384,10159,8508,10840,10160,7954,8470,4098,4125,3316,2156,2297,
预付款项(万元),1964,452,292,276,776,201,206,565,450,158,97,90,508,884,
应收保费(万元),,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,
其他应收款(万元),,258,,41,59,47,26,28,30,30,43,18,101,506,
应收出口退税(万元),,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,
存货(万元),9958,6916,4680,4624,4648,4397,4441,3962,3731,3039,2648,2926,2998,2502,
待摊费用(万元),,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,
其他流动资产(万元),1404,298,546,41720,35212,34368,36630,44,36,29,17,503,5302,1624,
流动资产合计(万元),59564,58666,61185,60706,57137,63220,67590,24142,20010,20101,18021,15644,12230,9687,
发放贷款及垫款(万元),,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,
长期股权投资(万元),,,,,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,
投资性房地产(万元),998,1011,1024,1038,1051,1064,506,512,525,,,,,,
固定资产原值(万元),,9817,,9671,,9013,,8199,7695,6460,,4601,4549,,
累计折旧(万元),,2153,,1839,,1546,,1280,1051,864,,542,216,,
固定资产净值(万元),,7664,,7832,,7467,,6919,6644,5596,,4059,4333,,
固定资产减值准备(万元),,,,,,,,,,,,,,,
固定资产(万元),,7664,,7832,7927,7467,6839,6919,6644,5596,3950,4059,4333,181,
在建工程(万元),,,,,,,,,,,,,,,
工程物资(万元),,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,
无形资产(万元),506,460,40,25,26,28,28,29,32,34,37,37,20,22,
开发支出(万元),,,,,,,,,,,,,,,
商誉(万元),,,,,,,,,,,,,,,
