报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-03-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),22803,17120,28942,16533,10890,7768,7205,4722,5286,36734,5054,5613,6317,2566,1295,2613,3417,2254,
结算备付金(万元),,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,
应收票据(万元),21004,20172,21561,16067,14318,19225,21594,19957,19659,13950,10597,8581,8293,4977,6954,5675,7446,936,
应收账款(万元),6520,4539,8263,6848,5622,6812,7473,4216,5171,5164,4730,3649,4220,4257,5715,3434,3836,4146,
预付款项(万元),1952,2336,1392,2788,2142,3619,1298,3572,1978,2524,1713,1998,357,2825,597,4959,608,1077,
应收保费(万元),,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,,,
其他应收款(万元),,139,,49,112,119,145,146,141,180,162,141,81,50,46,79,36,274,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,
存货(万元),6453,10653,10080,9011,11345,7307,8396,9417,6155,4910,5452,5911,6660,5761,6368,3151,3640,4718,
待摊费用(万元),,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,
其他流动资产(万元),12109,15917,7427,22764,27677,27840,27871,27956,27805,825,897,1148,931,504,136,85,310,,
流动资产合计(万元),70985,70876,77725,74059,72105,72691,73982,69986,66195,64287,28605,27041,26858,20940,21112,19996,19294,13405,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,,,
长期股权投资(万元),,,,,,,,,,,,,,2900,3272,3575,3614,2499,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,,,,,,
固定资产原值(万元),,53318,,53373,,52379,,50593,,50079,49522,49132,32026,32046,,31486,,,
累计折旧(万元),,26507,,24800,,22718,,20832,,18904,17927,16958,15040,14380,,11579,,,
固定资产净值(万元),,26810,,28573,,29661,,29761,,31175,31595,32174,16986,17665,,19908,,,
固定资产减值准备(万元),,,,,,,,,,,,,,,,8,,,
固定资产(万元),,26810,,28573,29014,29661,29028,29761,30533,31175,31595,32174,16986,17665,18779,19899,21015,22678,
在建工程(万元),,7050,,3168,1872,1736,1089,845,273,77,5,,11660,14312,2745,652,30,33,
工程物资(万元),,191,,0,47,17,83,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,,,
