报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),105838,96127,111711,72487,69808,66997,64723,96501,47890,48122,47814,49307,53226,54493,22322,18573,32694,
结算备付金(万元),0,0,0,,0,,,,,,,,,,0,0,0,
拆出资金(万元),0,0,0,,0,,,,,,,,,,0,0,0,
交易性金融资产(万元),0,0,0,,0,,,,,,,,,,0,0,0,
衍生金融资产(万元),0,0,0,,0,,,,,,,,,,0,0,0,
应收票据(万元),301,246,180,144,573,1452,2297,2278,3081,3325,3737,2850,1300,204,9000,0,0,
应收账款(万元),26334,31967,33268,28840,23886,27363,28764,26318,20599,22391,22394,22542,25787,27529,12273,5692,5015,
预付款项(万元),6529,3137,5020,10646,6994,990,765,2351,12009,6427,5184,1685,2153,2258,2514,3032,4350,
应收保费(万元),0,0,0,,0,,,,,,,,,,0,0,0,
应收分保账款(万元),0,0,0,,0,,,,,,,,,,0,0,0,
应收分保合同准备金(万元),0,0,0,,0,,,,,,,,,,0,0,0,
应收利息(万元),145,0,0,,,,,,,,,,,6,0,0,7,
应收股利(万元),0,3151,0,,,2798,,,,2769,,,,,0,0,0,
其他应收款(万元),,1871,,1675,1089,1332,1739,1113,1220,1190,1088,1215,1370,1440,5062,1468,1716,
应收出口退税(万元),,,,,,,,,,,,,,,0,0,0,
应收补贴款(万元),,,,,,,,,,,,,,,0,0,0,
应收保证金(万元),,,,,,,,,,,,,,,0,0,0,
内部应收款(万元),,,,,,,,,,,,,,,0,0,0,
买入返售金融资产(万元),0,,0,,0,,0,,,,,,,,0,0,0,
存货(万元),17523,16669,11030,7865,9189,8515,6697,7953,5709,5530,5182,6500,10142,9050,4706,4819,4561,
待摊费用(万元),,,,,,,,,,,,,,,0,0,0,
待处理流动资产损益(万元),,,,,,,,,,,,,,,0,0,0,
一年内到期的非流动资产(万元),0,0,0,,0,,,,,,,,,,0,0,0,
其他流动资产(万元),70584,39588,30250,49540,59384,53036,57960,24453,591,1189,1231,3772,3802,3755,0,0,0,
流动资产合计(万元),230213,192757,193382,171198,170923,162484,162944,160968,91099,90944,86630,87872,97781,98735,55877,33584,48343,
发放贷款及垫款(万元),0,0,0,,0,,,,,,,,,,0,0,0,
可供出售金融资产(万元),0,0,0,22471,22243,22243,22243,22243,22243,22243,22243,22243,22243,22243,0,0,0,
持有至到期投资(万元),0,0,0,,0,,,,,,,,,,0,0,0,
长期应收款(万元),0,0,0,,0,,,,,,,,,,0,0,0,
长期股权投资(万元),2702,2720,2798,2848,0,,,,,,,,,,7231,8496,7982,
其他长期投资(万元),,,,,,,,,,,,,,,0,0,0,
投资性房地产(万元),0,0,0,,0,,,,,,,,,,0,0,0,
固定资产原值(万元),,398888,,391846,,372691,,364682,,346216,326709,306292,274128,,98255,75546,0,
累计折旧(万元),,120754,,112778,,105289,,97935,,91555,84519,69852,56330,,17748,14369,0,
固定资产净值(万元),,278134,,279068,,267402,,266746,,254661,242191,236440,217798,,80507,61178,0,
固定资产减值准备(万元),,1632,,2132,,,,,,,259,259,193,,5,5,0,
固定资产(万元),,276502,,276936,269848,267402,267674,266746,254414,254661,241931,236181,217605,205770,80502,61173,63918,
在建工程(万元),,35630,,22331,28764,20404,18115,19139,25626,24689,35148,37009,46599,41566,16684,17389,3596,
工程物资(万元),,6157,,4776,,5242,4499,4192,4120,3726,3748,5195,4606,4119,4825,3752,3793,
固定资产清理(万元),,25,,40,,96,113,131,128,,,1,,8,0,0,0,
生产性生物资产(万元),0,0,0,,0,,,,,,,,,,0,0,0,
公益性生物资产(万元),,,,,,,,,,,,,,,0,0,0,
油气资产(万元),0,0,0,,0,,,,,,,,,,0,0,0,
无形资产(万元),37480,36408,35820,30991,29355,29633,29034,28973,28611,28802,27917,27478,29029,27688,14468,5180,4526,
开发支出(万元),0,0,0,,0,,0,,,,,,,,0,0,0,
商誉(万元),563,557,557,557,2622,2622,2622,2622,2622,2622,2622,2622,2622,2622,0,0,0,
长期待摊费用(万元),2806,2998,3180,3146,2974,3020,3156,3232,2512,2685,2388,1726,1783,2284,407,2842,3015,
股权分置流通权(万元),,,,,,,,,,,,,,,0,0,0,
递延所得税资产(万元),12343,12315,11756,11850,11168,11160,11160,11155,10907,10907,10984,10003,8996,7963,703,221,71,
其他非流动资产(万元),6343,6182,6099,818,1221,822,739,647,586,485,452,,911,1008,0,0,0,
非流动资产合计(万元),414242,401966,392857,376765,368195,362643,359354,359078,351767,350819,347433,342457,334394,315270,124819,99053,86902,
资产总计(万元),644455,594723,586239,547963,539117,525127,522299,520046,442866,441763,434063,430329,432175,414005,180696,132637,135245,
短期借款(万元),53066,62896,63716,55666,76935,76627,81002,79502,81285,90300,53100,40250,49700,47000,10800,0,1490,
向中央银行借款(万元),0,,0,,0,,,,,,,,,,0,0,0,
吸收存款及同业存放(万元),0,,0,,0,,,,,,,,,,0,0,0,
拆入资金(万元),0,,0,,0,,,,,,,,,,0,0,0,
交易性金融负债(万元),0,,0,,0,,,,,,,,,,0,0,0,
衍生金融负债(万元),0,,0,,0,,,,,,,,,,0,0,0,
应付票据(万元),0,,,5000,,2690,0,3875,,,,,,,0,0,0,
应付账款(万元),43741,43854,,34890,,37015,34121,33457,31723,29872,33713,35769,36373,40507,13115,7403,9590,
预收账款(万元),37817,32064,28893,27933,28298,23544,21670,22604,20568,19536,19951,19837,20183,19603,6777,7009,5899,
卖出回购金融资产款(万元),0,,0,,0,,,,,,,,,,0,0,0,
应付手续费及佣金(万元),0,,0,,0,,,,,,,,,,0,0,0,
应付职工薪酬(万元),4622,3155,2787,4714,3750,2515,3695,5758,3729,2496,4432,4207,4260,4043,1879,1634,1098,
应交税费(万元),8054,7291,3743,6309,5402,6771,5493,4498,4679,7353,4774,4088,4486,7778,2545,1190,1041,
应付利息(万元),621,1007,238,239,,135,156,164,182,185,141,169,243,262,91,0,0,
应付股利(万元),0,,0,,,,0,,,2400,,,,,0,0,572,
其他应交款(万元),,,,,,,,,,,,,,,0,0,0,
应付保证金(万元),,,,,,,,,,,,,,,0,0,0,
内部应付款(万元),,,,,,,,,,,,,,,0,0,0,
其他应付款(万元),,6188,,5776,4120,3303,3241,3733,3738,3759,5304,15481,17117,13852,6203,6705,4893,
预提费用(万元),,,,,,,,,,,,,,,0,0,0,
预计流动负债(万元),0,,0,,,,,,,,,,,,0,0,0,
