报告日期,2019-09-30,2019-06-30,2018-12-31,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
货币资金(万元),5293,4055,3839,2687,4614,6171,5578,
结算备付金(万元),,,,,,,,
拆出资金(万元),,,,,,,,
交易性金融资产(万元),,,,,,,,
衍生金融资产(万元),,,,,,,,
应收票据(万元),2507,1876,2099,,,,,
应收账款(万元),9969,9508,8503,,,,,
预付款项(万元),693,502,630,677,545,1010,1551,
应收保费(万元),,,,,,,,
应收分保账款(万元),,,,,,,,
应收分保合同准备金(万元),,,,,,,,
应收利息(万元),,,,,,,,
应收股利(万元),,,,,,,,
其他应收款(万元),1105,,,761,412,966,6557,
应收出口退税(万元),,,,,,,,
应收补贴款(万元),,,,,,,,
应收保证金(万元),,,,,,,,
内部应收款(万元),,,,,,,,
买入返售金融资产(万元),,,,,,,,
存货(万元),2066,1947,2010,2071,2129,1971,1982,
待摊费用(万元),,,,,,,,
待处理流动资产损益(万元),,,,,,,,
一年内到期的非流动资产(万元),992,685,7,417,693,,135,
其他流动资产(万元),3130,2964,2754,2229,2290,1861,837,
流动资产合计(万元),25755,22412,20834,21191,21571,24290,27448,
发放贷款及垫款(万元),,,,,,,,
可供出售金融资产(万元),,,300,300,300,300,300,
持有至到期投资(万元),,,,,,,,
长期应收款(万元),2817,2928,3093,2389,2231,1162,637,
长期股权投资(万元),,,,,,,,
其他长期投资(万元),,,,,,,,
投资性房地产(万元),,,,,,,,
固定资产原值(万元),66368,,,,,,,
累计折旧(万元),17428,,,,,,,
固定资产净值(万元),48940,,,,,,,
固定资产减值准备(万元),62,,,,,,,
固定资产(万元),48879,,,45623,46630,45192,28162,
在建工程(万元),31256,,,13898,12746,985,9454,
工程物资(万元),5,,,,,,,
固定资产清理(万元),144,,,,,,,
生产性生物资产(万元),,,,,,,,
公益性生物资产(万元),,,,,,,,
油气资产(万元),,,,,,,,
无形资产(万元),2991,3017,2724,2885,2642,2733,2492,
开发支出(万元),,,,,,,,
商誉(万元),,,,,,,,
长期待摊费用(万元),1202,944,826,304,364,330,82,
股权分置流通权(万元),,,,,,,,
递延所得税资产(万元),188,178,181,237,225,136,212,
其他非流动资产(万元),6300,3700,5120,1710,1945,6827,3509,
非流动资产合计(万元),94081,87927,82082,67346,67083,57665,44848,
资产总计(万元),119836,110339,102916,88537,88654,81955,72296,
短期借款(万元),18910,17055,17414,17505,18000,15100,13100,
向中央银行借款(万元),,,,,,,,
吸收存款及同业存放(万元),,,,,,,,
拆入资金(万元),,,,,,,,
交易性金融负债(万元),,,,,,,,
衍生金融负债(万元),,,,,,,,
应付票据(万元),6000,6000,4000,,,,,
应付账款(万元),4243,4575,2741,,,,,
预收账款(万元),321,459,329,405,518,428,293,
卖出回购金融资产款(万元),,,,,,,,
应付手续费及佣金(万元),,,,,,,,
应付职工薪酬(万元),491,500,644,491,515,486,384,
应交税费(万元),1467,1156,1760,1253,1377,1409,828,
应付利息(万元),159,,,,,,,
应付股利(万元),,,,,,,,
其他应交款(万元),,,,,,,,
应付保证金(万元),,,,,,,,
内部应付款(万元),,,,,,,,
其他应付款(万元),2776,,,6698,5063,2296,9260,
预提费用(万元),,,,,,,,
预计流动负债(万元),,,,,,,,
应付分保账款(万元),,,,,,,,
保险合同准备金(万元),,,,,,,,
代理买卖证券款(万元),,,,,,,,
代理承销证券款(万元),,,,,,,,
国际票证结算(万元),,,,,,,,
国内票证结算(万元),,,,,,,,
递延收益(万元),,,,,,,,
应付短期债券(万元),,,,,,,,
一年内到期的非流动负债(万元),9697,7789,6156,3548,4224,2956,1153,
其他流动负债(万元),186,161,217,166,174,197,187,
流动负债合计(万元),44250,40336,37064,36009,37881,32004,39379,
长期借款(万元),6944,7222,5000,,,,,
应付债券(万元),,,,,,,,
长期应付款(万元),8803,,,3779,5182,5813,2874,
专项应付款(万元),,,,,,,,
预计非流动负债(万元),,,33,33,33,,,
长期递延收益(万元),563,180,195,128,139,56,67,
递延所得税负债(万元),54,56,65,68,75,86,27,
其他非流动负债(万元),,,,,,,,
非流动负债合计(万元),16364,13254,13068,4009,5429,5955,2967,
负债合计(万元),60614,53589,50131,40018,43309,37959,42346,
实收资本(或股本)(万元),12000,12000,12000,12000,12000,12000,10000,
资本公积(万元),13833,13833,13833,13833,13833,13833,6033,
减:库存股(万元),,,,,,,,
专项储备(万元),842,817,812,955,907,1055,908,
盈余公积(万元),1760,1760,1439,1042,1042,906,712,
一般风险准备(万元),,,,,,,,
未确定的投资损失(万元),,,,,,,,
未分配利润(万元),30786,28340,24701,20689,17562,16202,12296,
拟分配现金股利(万元),,,,,,,,
外币报表折算差额(万元),,,,,,,,
归属于母公司股东权益合计(万元),59221,56750,52785,48519,45345,43996,29950,
少数股东权益(万元),,,,,,,,
所有者权益(或股东权益)合计(万元),59221,56750,52785,48519,45345,43996,29950,
负债和所有者权益(或股东权益)总计(万元),119836,110339,102916,88537,88654,81955,72296,		
