报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2010-06-30,2009-12-31,2009-06-30,
货币资金(万元),165795,86672,91657,200621,76968,86517,84611,158196,66967,153220,67066,126815,42876,104064,35612,78405,25271,68076,22030,36790,15363,28563,10628,22586,4043,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
交易性金融资产(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
应收票据(万元),1128,1151,902,536,,,154,222,148,469,823,1520,1209,390,1086,500,139,78,60,658,60,91,210,63,25,
应收账款(万元),171304,167866,163110,101548,,,151114,116234,142647,89495,113154,89175,98582,63936,86396,43527,29386,30590,26792,14333,23309,10309,10907,8784,8777,
预付款项(万元),53680,48072,47998,38892,57445,50462,53781,44592,50493,46532,55118,40414,49857,37658,35999,17729,12077,10974,8728,5983,3030,2058,2132,1328,1580,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
应收利息(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
应收股利(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
其他应收款(万元),,16585,,15482,18243,16309,15095,14869,17517,15670,18122,16481,16347,17537,15272,13457,12847,11539,9986,8742,6455,5028,3945,3360,2952,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
存货(万元),33764,31586,42883,42079,34891,27764,34479,32950,34115,44398,47937,59087,52954,52018,59169,57839,72350,54809,27902,17650,14017,8050,12064,5101,9771,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
其他流动资产(万元),203,3014,1018,1138,1372,1443,551,327,1012,141,1239,1436,2010,2627,5781,5826,5789,6156,,,,0,,,,
流动资产合计(万元),442728,354946,364681,400297,344408,313578,339785,367390,312901,349925,303460,334929,263834,278229,239317,217284,157860,182221,95499,84157,62234,54100,39885,41222,27149,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
可供出售金融资产(万元),,,,1826,1766,1766,1616,1566,454,404,244,244,235,288,,,,,,,,0,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
长期股权投资(万元),197,188,197,197,198,198,200,200,,,,,,,288,288,288,288,288,288,238,238,328,228,322,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
投资性房地产(万元),3655,3695,3735,3775,4503,4546,4592,4637,3649,3712,3776,3839,3903,3967,4030,4094,4157,4221,,,,0,,,,
固定资产原值(万元),,17844,,,,,,,,,,,,,8913,8675,8299,9516,14775,14600,14060,13748,12511,12284,12232,
累计折旧(万元),,5999,,,,,,,,,,,,,2810,2601,2316,3227,4285,3976,3559,3252,3686,3345,3020,
固定资产净值(万元),,11845,,,,,,,,,,,,,6103,6074,5982,6289,10490,10624,10501,10496,8825,8939,9212,
固定资产减值准备(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
固定资产(万元),,11845,,11717,9734,7523,7457,7609,7272,7414,6621,6474,6141,6266,6103,6074,5982,6289,10490,10624,10501,10496,8825,8939,9212,
在建工程(万元),,,,,1032,3111,3126,3032,,,,,,,,,,,,,,0,,,,
工程物资(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
油气资产(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
无形资产(万元),217,262,312,377,437,510,604,522,685,917,859,1089,1231,1214,1179,1210,1207,1077,1005,181,274,371,468,567,655,
开发支出(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
商誉(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
长期待摊费用(万元),275,295,320,324,344,364,15,38,83,129,174,220,265,311,356,402,278,,,,,0,0,0,1,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
递延所得税资产(万元),1909,1864,1934,1778,1586,1637,1168,988,1100,915,949,1131,888,586,875,421,453,423,350,235,107,108,83,78,83,
其他非流动资产(万元),,,,,,,,,675,,,,,,,,,,,,,0,,,,
非流动资产合计(万元),20732,19368,20039,19994,19600,19656,18778,18592,13918,13490,12622,12997,12663,12631,12831,12489,12366,12298,12133,11327,11120,11213,9705,9813,10273,
资产总计(万元),463459,374314,384720,420291,364008,333234,358563,385982,326818,363415,316082,347926,276497,290860,252148,229773,170227,194519,107632,95484,73354,65313,49590,51035,37422,
短期借款(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
向中央银行借款(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
拆入资金(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
交易性金融负债(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
衍生金融负债(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
应付票据(万元),404,833,3792,3792,,,,,,203,,294,,,,,,,,,,0,592,,,
应付账款(万元),105714,96440,106312,109773,,,87779,102238,78723,90248,84101,77604,58307,55388,54493,56787,32023,36639,28311,27400,30399,20606,16501,14371,9621,
预收账款(万元),136251,117196,129053,146081,137999,108709,138795,145281,136370,154181,135140,166536,134058,149413,119856,98085,82703,103527,28635,28855,8882,11892,6090,8079,4445,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
应付职工薪酬(万元),22808,22119,21687,21082,18707,17829,17700,17290,14440,14071,11519,10913,9523,9594,8078,7741,1365,1232,971,839,866,839,768,702,595,
应交税费(万元),2916,2656,3438,4644,3444,4167,1876,6102,3432,4258,2499,3718,2352,4176,3975,3784,1971,976,154,231,998,1163,313,1985,471,
应付利息(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
应付股利(万元),28,28,28,22,,,17,17,17,13,14,11,11,9,7,7,7,4,2,3,3,1,2,,,
其他应交款(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
应付保证金(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
内部应付款(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
其他应付款(万元),,10138,,10812,11781,11456,12623,15576,12317,15199,11623,15989,10927,11911,10243,11895,10827,10079,6088,5729,5459,3088,2337,1308,1411,
预提费用(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
预计流动负债(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
应付分保账款(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
代理承销证券款(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
国际票证结算(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
国内票证结算(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
递延收益(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
