报告日期,2020-09-30,2020-06-30,2019-12-31,2018-12-31,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
货币资金(万元),65269,73147,27405,37869,34408,7940,11018,10637,
结算备付金(万元),,,,,,,,,
拆出资金(万元),,,,,,,,,
交易性金融资产(万元),16000,,,,,,783,,
衍生金融资产(万元),,,,,,,,,
应收票据(万元),,160,294,,,,,,
应收账款(万元),16419,20524,21631,,,,,,
预付款项(万元),3538,664,468,276,554,308,356,399,
应收保费(万元),,,,,,,,,
应收分保账款(万元),,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,
应收利息(万元),234,,,,,,,,
应收股利(万元),,,,,,,,,
其他应收款(万元),,62,8604,,125,4205,75,3023,
应收出口退税(万元),,,,,,,,,
应收补贴款(万元),,,,,,,,,
应收保证金(万元),,,,,,,,,
内部应收款(万元),,,,,,,,,
买入返售金融资产(万元),,,,,,,,,
存货(万元),50672,38379,64702,49433,44433,77101,81775,88694,
待摊费用(万元),,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,
其他流动资产(万元),2153,1022,2034,2884,3143,5135,8455,15188,
流动资产合计(万元),154354,133958,125138,108197,100950,114844,118616,128213,
发放贷款及垫款(万元),,,,,,,,,
可供出售金融资产(万元),,,,,,,2131,,
持有至到期投资(万元),,,,,,,,,
长期应收款(万元),,,,,,,,,
长期股权投资(万元),,,,,,,,,
其他长期投资(万元),,,,,,,,,
投资性房地产(万元),,,,,,,,,
固定资产原值(万元),,143087,142855,,,,,,
累计折旧(万元),,72736,70859,,,,,,
固定资产净值(万元),,70351,71995,,,,,,
固定资产减值准备(万元),,3178,3242,,,,,,
固定资产(万元),,67173,68753,,72489,73842,83308,83791,
在建工程(万元),,,,,2240,12,11,588,
工程物资(万元),,,,,,,,,
固定资产清理(万元),,,,,,,,,
生产性生物资产(万元),,,,,,,,,
公益性生物资产(万元),,,,,,,,,
油气资产(万元),,,,,,,,,
无形资产(万元),9083,9147,9273,8963,9088,8923,11013,10767,
开发支出(万元),,,,,,,,,
商誉(万元),559,559,559,559,559,559,559,865,
长期待摊费用(万元),,,,,,,,,
股权分置流通权(万元),,,,,,,,,
递延所得税资产(万元),,,,,,,,,
其他非流动资产(万元),,,,,,,,,
非流动资产合计(万元),80014,80471,78830,83948,84376,83336,97023,96012,
资产总计(万元),234367,214430,203968,192146,185326,198180,215639,224225,
短期借款(万元),,,,5000,2000,17000,34000,48517,
向中央银行借款(万元),,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,
拆入资金(万元),,,,,,,,,
交易性金融负债(万元),,,,,,,,,
衍生金融负债(万元),,,,,,,,,
应付票据(万元),,,,,,,,,
应付账款(万元),6563,4141,5033,,,,,,
预收账款(万元),,,,,,240,122,247,
卖出回购金融资产款(万元),,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,
应付职工薪酬(万元),1720,1382,1570,2094,1495,2128,2157,1837,
应交税费(万元),1086,1097,267,977,1207,1100,3160,2059,
应付利息(万元),,,,,,,,,
应付股利(万元),,,,,,,,,
其他应交款(万元),,,,,,,,,
应付保证金(万元),,,,,,,,,
内部应付款(万元),,,,,,,,,
其他应付款(万元),,,1681,,4885,1245,4151,5697,
预提费用(万元),,,,,,,,,
预计流动负债(万元),,,,,,,,,
应付分保账款(万元),,,,,,,,,
保险合同准备金(万元),,,,,,,,,
代理买卖证券款(万元),,,,,,,,,
代理承销证券款(万元),,,,,,,,,
国际票证结算(万元),,,,,,,,,
国内票证结算(万元),,,,,,,,,
递延收益(万元),,,,,,,,,
应付短期债券(万元),,,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,,
其他流动负债(万元),,,,,,,,,
流动负债合计(万元),14451,9868,8657,14077,14111,30349,50123,65256,
长期借款(万元),,,,,,,,,
应付债券(万元),,,,,,,,,
长期应付款(万元),,,,,86,84,80,77,
专项应付款(万元),,,,,,,,,
预计非流动负债(万元),,,,,,,,,
长期递延收益(万元),4500,4500,3900,,,,313,233,
递延所得税负债(万元),,,,,,,,,
其他非流动负债(万元),,,,,,,,,
非流动负债合计(万元),4665,4665,4063,169,86,84,393,310,
负债合计(万元),19116,14533,12721,14245,14197,30433,50516,65566,
实收资本(或股本)(万元),37800,35800,35800,35800,35800,35800,36800,38100,
资本公积(万元),11879,1729,1729,1729,1729,1729,4704,7510,
减:库存股(万元),,,,,,,,,
专项储备(万元),,,,,,,,,
盈余公积(万元),12822,12822,12822,10758,10711,10711,10579,10579,
一般风险准备(万元),,,,,,,,,
未确定的投资损失(万元),,,,,,,,,
未分配利润(万元),152750,149546,140897,129613,122889,119507,112836,102452,
拟分配现金股利(万元),,,,,,,,,
外币报表折算差额(万元),,,,,,,,,
归属于母公司股东权益合计(万元),215251,199896,191247,177900,171129,167747,165123,158659,
少数股东权益(万元),,,,,,,,,
所有者权益(或股东权益)合计(万元),215251,199896,191247,177900,171129,167747,165123,158659,
负债和所有者权益(或股东权益)总计(万元),234367,214430,203968,192146,185326,198180,215639,224225,		
