报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),34770,5287,7743,21279,7241,10571,8715,19906,6566,5730,17279,32489,5006,4276,16546,2055,11491,10673,9438,10041,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,,,
应收票据(万元),3489,6532,443,159,363,64,54,21,15,325,779,334,80,115,846,13,266,559,200,242,
应收账款(万元),68848,55973,52970,54349,53280,47413,45132,47024,45599,39556,32639,36037,40681,39905,28321,28195,24943,23947,18052,12881,
预付款项(万元),9414,8633,5814,2490,5690,3294,1692,915,2249,5131,2346,1540,1065,633,357,861,447,390,3242,1645,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,,,,,
其他应收款(万元),,2485,,1811,2311,2374,3008,1782,2942,2231,2599,1741,2418,1665,1264,1549,1317,770,287,324,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,,
存货(万元),86358,27921,22765,19630,16102,17787,16694,13397,17387,16704,18085,16758,18908,18724,13754,12670,9718,6548,4478,6937,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,,,
其他流动资产(万元),499,3204,2839,333,4361,4291,6643,6063,6046,7285,12477,8141,990,902,804,1934,608,424,317,,
流动资产合计(万元),208209,110034,95918,100050,89348,85795,81937,89109,80803,76962,86203,97040,69148,66220,61891,47278,48791,43311,36012,32070,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,,,,,,166,1373,1614,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,,,,,
长期股权投资(万元),11916,7630,7560,7526,7647,7179,7138,2170,2115,,,,,,,,,,,,
