报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),3959,1824,6409,2670,3174,6666,3986,1585,3689,2717,7000,3137,4350,2511,3938,4845,4448,2617,5741,3480,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),9415,11984,10272,,,,,,,,,,,,7,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,,,
应收票据(万元),8340,9489,8626,8155,9212,8396,9035,7449,6556,7467,7277,6289,6278,6161,3733,6175,4628,5575,399,641,
应收账款(万元),31601,29040,28129,31705,27656,27796,26912,24733,21567,21667,18590,21096,18541,16412,16498,14319,15337,11852,9947,10923,
预付款项(万元),511,481,437,489,854,1250,1899,1073,845,1072,1137,1334,1413,1138,1017,563,338,243,416,612,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,47,,177,245,244,293,388,,,,,3,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,,,,,
其他应收款(万元),,18,,10,108,19,22,21,1860,565,15,19,74,78,99,113,344,363,53,516,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,,
存货(万元),21002,21666,20959,20963,20554,18798,15073,14292,14189,16819,16297,15163,13795,14392,10456,8958,7039,6456,4677,4080,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,,,
其他流动资产(万元),,3,316,14546,16720,13675,22500,35204,33570,33790,34000,,800,134,1148,,31,3815,,252,
流动资产合计(万元),74839,74505,75182,78585,78279,76776,79672,84601,82568,84485,84318,47039,45251,40825,36900,34973,32166,30921,21233,20504,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,,,,,
长期股权投资(万元),3209,3117,2888,2892,2033,1785,,,,,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,,,,,,,,
固定资产原值(万元),,103520,,100318,,89467,,84510,,79144,,76134,73854,69707,61933,46832,42923,42199,39770,32005,
累计折旧(万元),,43974,,39831,,35996,,32717,,30176,,27170,25720,24441,22076,17725,16342,14667,11232,8249,
固定资产净值(万元),,59546,,60486,,53470,,51793,,48967,,48964,48134,45266,39857,29107,26581,27532,28538,23756,
