报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),235511,240482,155085,134876,156401,196225,259212,285112,259015,255546,221195,247430,156532,241001,300136,431249,294017,295495,293640,174599,,173881,117523,69536,33852,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
应收票据(万元),958,1173,443,664,,1434,892,1037,642,1441,868,1059,250,396,,,,,,,,,,,,
应收账款(万元),261848,235539,167776,171861,142717,126749,136104,115655,91662,72637,66273,69030,56824,46020,40342,38358,17578,5896,13116,8605,,8811,2662,2851,4250,
预付款项(万元),142842,134461,37730,30590,35572,36224,30567,25711,26082,30344,19028,19412,18831,14948,7891,8049,4321,2909,2633,3581,,5325,4525,3174,7233,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
其他应收款(万元),,42798,,36957,29520,27589,30572,25461,41921,39997,26398,22052,27765,21163,10469,9433,13994,7108,10399,6686,,6942,5376,4859,5145,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
存货(万元),187435,159332,19919,19181,21427,20630,17545,17159,18389,17082,15665,15886,9200,8366,8700,8205,5172,4263,4141,3949,,3392,3165,1927,1537,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产(万元),69731,72252,65026,60018,37074,38888,53000,32160,11486,33138,9681,8440,176785,87980,70729,909,655,552,45670,426,,348,670,220,123,
流动资产合计(万元),935713,886037,500936,454148,422711,447739,527892,502295,449197,450186,359108,383308,446186,419874,438268,496203,335738,316222,369599,197845,,198699,133921,82567,52141,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,48042,48042,48042,48042,48042,48042,48042,18042,37180,37180,37180,37180,37180,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资(万元),8072,9698,2193,2054,1324,2468,2060,1778,1209,2337,2096,1566,927,1951,1532,1221,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产原值(万元),,519051,,504327,,454334,,436188,,392835,,348024,,283815,,259615,,200601,,191017,,162528,157489,,,
累计折旧(万元),,240795,,218044,,196165,,175956,,156197,,131694,,114657,,95045,,75900,,66396,,59121,50955,,,
固定资产净值(万元),,278256,,286282,,258170,,260232,,236639,,216330,,169157,,164570,,124701,,124621,,103407,106534,,,
固定资产减值准备(万元),,1837,,1922,,2032,,2111,,2112,,2118,,2123,,2122,,2127,,2127,,146,214,,,
固定资产(万元),,276419,,284360,262269,256138,255018,258120,253658,234527,209867,214212,181569,167034,159906,162448,131359,122575,120442,122494,,103261,106320,95963,76598,
在建工程(万元),,18619,,22398,30850,33250,17806,11345,21491,27975,21232,14518,18476,10822,9657,7666,8399,2501,3848,4274,,7404,2559,2896,4113,
工程物资(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
无形资产(万元),96729,98687,85078,84985,84936,84549,85188,89711,74524,74841,76009,72955,72363,68269,68543,65888,3348,3530,3747,3944,,2604,2653,660,162,
开发支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
商誉(万元),1345290,1346425,952287,956014,966016,960024,963002,979852,981665,962096,862355,812919,603723,589263,571598,517158,2300,2300,2300,2300,,,,,,
长期待摊费用(万元),400407,403683,395748,401060,378026,366184,365950,372465,344359,332086,297449,298543,234546,216381,202194,206248,136830,125824,124550,123659,,98040,98227,76842,58024,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
递延所得税资产(万元),19076,20499,15797,16007,15567,15974,17376,20802,22417,21267,23421,22857,21534,20994,19955,19908,1762,1630,2181,2140,,1089,1565,844,135,
其他非流动资产(万元),57481,47795,46587,41778,30278,37719,31745,29801,95396,52625,96193,51125,75771,55043,57218,31939,9569,15057,4194,721,,,,,,
非流动资产合计(万元),2272139,2270697,1843372,1856699,1817308,1804349,1786187,1811917,1842761,1755795,1606666,1525876,1246088,1166938,1127783,1049655,293567,273417,261262,259533,,212398,211324,177205,139032,
资产总计(万元),3207852,3156734,2344308,2310847,2240019,2252088,2314078,2314212,2291958,2205981,1965774,1909184,1692274,1586812,1566051,1545857,629304,589639,630861,457378,428807,411097,345245,259772,191173,
短期借款(万元),308000,330000,310000,230000,226900,210000,250000,220000,190551,230400,140000,50000,50000,,,,,,,,,,,,,
向中央银行借款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
应付票据(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
应付账款(万元),179841,166406,,94010,,86067,112242,84353,68921,87250,68954,66445,58503,71058,70669,61854,33186,32083,50284,23106,,52520,28299,20573,11685,
