报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),22864,27345,30660,22772,10881,10268,15620,23010,9999,17323,6443,5230,4619,2979,
结算备付金(万元),,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,
应收票据(万元),3556,1761,2414,2476,,,1313,,887,,1472,,3077,2912,
应收账款(万元),44289,36834,30707,20485,,,22571,,21005,,23597,,11094,10833,
预付款项(万元),248,163,150,156,258,325,279,170,293,185,261,391,1053,1884,
应收保费(万元),,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,
其他应收款(万元),,818,,1060,871,,625,,534,,463,,836,674,
应收出口退税(万元),,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,
存货(万元),30748,27144,23624,21207,17900,15061,14870,13429,13109,11029,7830,9158,9137,8667,
待摊费用(万元),,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,
其他流动资产(万元),35673,35655,37667,1104,537,465,416,408,3185,229,3071,125,38,8,
流动资产合计(万元),138194,129721,126144,69261,61851,53111,55694,56318,49011,47610,43137,33720,29853,27957,
发放贷款及垫款(万元),,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,920,,346,,346,346,
持有至到期投资(万元),,,,,,,,,,,,,,,
长期应收款(万元),163,162,110,106,156,,,,,,,,,,
长期股权投资(万元),605,614,624,608,552,516,527,546,616,1498,430,1283,416,369,
其他长期投资(万元),,,,,,,,,,,,,,,
