报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-06-30,2018-12-31,2017-12-31,2016-12-31,
货币资金(万元),21418,9484,5401,15409,15157,18146,8259,6218,
结算备付金(万元),,,,,,,,,
拆出资金(万元),,,,,,,,,
交易性金融资产(万元),2900,,,,,,,,
衍生金融资产(万元),,,,,,,,,
应收票据(万元),,,,,9365,,,,
应收账款(万元),37208,32392,17274,14811,13171,,,,
预付款项(万元),3872,3582,3598,970,1696,1646,822,441,
应收保费(万元),,,,,,,,,
应收分保账款(万元),,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,
应收利息(万元),,,,,,,,,
应收股利(万元),,,,,,,,,
其他应收款(万元),,1502,,,,,,,
应收出口退税(万元),,,,,,,,,
应收补贴款(万元),,,,,,,,,
应收保证金(万元),,,,,,,,,
内部应收款(万元),,,,,,,,,
买入返售金融资产(万元),,,,,,,,,
存货(万元),17953,17302,20565,15088,18640,16888,11628,8194,
待摊费用(万元),,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,
其他流动资产(万元),177,45,7199,83,193,409,466,175,
流动资产合计(万元),86229,65943,58523,54627,61145,57122,32073,22015,
发放贷款及垫款(万元),,,,,,,,,
可供出售金融资产(万元),,,,,,,,,
持有至到期投资(万元),,,,,,,,,
长期应收款(万元),,,,,,,,,
长期股权投资(万元),,,,,,,,,
其他长期投资(万元),,,,,,,,,
投资性房地产(万元),,,,,,,,,
固定资产原值(万元),,56208,,55983,,,,,
累计折旧(万元),,16195,,14635,,,,,
固定资产净值(万元),,40014,,41348,,,,,
固定资产减值准备(万元),,,,,,,,,
固定资产(万元),,40014,,41348,,,,,
在建工程(万元),,174,,246,,,,,
工程物资(万元),,,,,,,,,
固定资产清理(万元),,,,,,,,,
生产性生物资产(万元),,,,,,,,,
公益性生物资产(万元),,,,,,,,,
油气资产(万元),,,,,,,,,
无形资产(万元),12787,11732,12024,8268,8711,9212,10259,11035,
开发支出(万元),,,,,,,,,
商誉(万元),,,,,,,,,
长期待摊费用(万元),55,93,93,97,93,90,18,51,
股权分置流通权(万元),,,,,,,,,
递延所得税资产(万元),258,293,184,147,160,91,62,66,
其他非流动资产(万元),,,,3928,64,,,189,
非流动资产合计(万元),52601,52306,53115,54033,50892,52076,48648,31580,
资产总计(万元),138831,118249,111638,108661,112038,109198,80721,53595,
短期借款(万元),27434,21632,17133,9083,6000,3917,2100,8190,
向中央银行借款(万元),,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,
拆入资金(万元),,,,,,,,,
交易性金融负债(万元),,,,,,,,,
衍生金融负债(万元),,,,,,,,,
应付票据(万元),700,,,,816,,,,
应付账款(万元),11451,12996,15307,14767,17708,,,,
预收账款(万元),,,1368,4102,6546,4955,4152,3013,
卖出回购金融资产款(万元),,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,
应付职工薪酬(万元),1279,1330,1200,1881,983,1441,1051,853,
应交税费(万元),1998,2996,765,3267,1269,2131,1937,1219,
应付利息(万元),,,,14,,,,,
应付股利(万元),,,,,,,,,
其他应交款(万元),,,,,,,,,
应付保证金(万元),,,,,,,,,
内部应付款(万元),,,,,,,,,
其他应付款(万元),,2125,,2242,,,,,
预提费用(万元),,,,,,,,,
预计流动负债(万元),,,,,,,,,
应付分保账款(万元),,,,,,,,,
保险合同准备金(万元),,,,,,,,,
代理买卖证券款(万元),,,,,,,,,
代理承销证券款(万元),,,,,,,,,
国际票证结算(万元),,,,,,,,,
国内票证结算(万元),,,,,,,,,
递延收益(万元),,,,,,,,,
应付短期债券(万元),,,,,,,,,
一年内到期的非流动负债(万元),2706,2498,3693,4530,6282,7240,5558,4154,
其他流动负债(万元),,,,,,,,,
流动负债合计(万元),49740,46087,41767,39885,41318,39671,34915,30106,
长期借款(万元),1200,1650,1650,1650,2258,3052,6972,10488,
应付债券(万元),,,,,,,,,
长期应付款(万元),,979,,,,,,,
专项应付款(万元),,,,,,,,,
预计非流动负债(万元),,,,,,,,,
长期递延收益(万元),886,888,937,966,1043,1120,113,131,
递延所得税负债(万元),,,,,,,,,
其他非流动负债(万元),,,,,,,,,
非流动负债合计(万元),2086,3518,3778,4382,6195,9066,10668,10619,
负债合计(万元),51826,49604,45545,44267,47512,48737,45583,40726,
实收资本(或股本)(万元),40011,36001,36001,36001,36001,36001,11200,6000,
资本公积(万元),29056,17963,17963,17963,15263,15263,17794,5638,
减:库存股(万元),,,,,,,,,
专项储备(万元),,,,,,,,,
盈余公积(万元),2624,2624,2624,2624,1725,1725,678,272,
一般风险准备(万元),,,,,,,,,
未确定的投资损失(万元),,,,,,,,,
未分配利润(万元),15314,12057,9506,7806,11537,7472,5465,958,
拟分配现金股利(万元),,,,,,,,,
外币报表折算差额(万元),,,,,,,,,
归属于母公司股东权益合计(万元),87005,68645,66093,64394,64525,60461,35138,12869,
少数股东权益(万元),,,,,,,,,
所有者权益(或股东权益)合计(万元),87005,68645,66093,64394,64525,60461,35138,12869,
负债和所有者权益(或股东权益)总计(万元),138831,118249,111638,108661,112038,109198,80721,53595,		
