报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),18634,16060,19992,22019,5328,9494,17233,23291,18156,30784,12623,16156,7486,6695,5491,4700,4537,
结算备付金(万元),,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,
交易性金融资产(万元),23000,23000,,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,
应收票据(万元),5436,5649,4254,3547,4883,4659,5032,5369,4299,4350,5251,5093,2221,2368,1658,1839,1300,
应收账款(万元),18579,19673,24534,24678,24458,24522,25458,24736,25014,24025,23217,23382,23379,24986,20068,14086,8661,
预付款项(万元),3715,3540,821,1081,2757,635,526,256,303,342,386,432,458,163,48,87,50,
应收保费(万元),,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,,
其他应收款(万元),,6175,,1201,4968,2961,3717,872,1852,1323,2003,669,973,608,584,1725,458,
应收出口退税(万元),,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,
存货(万元),10042,11286,11842,10070,7991,8913,8909,7973,6606,6422,7166,5974,8001,5960,6164,6078,8226,
待摊费用(万元),,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,
其他流动资产(万元),160,185,25209,28507,33000,33000,25013,25212,25000,15000,,,3000,3011,3000,3000,,
流动资产合计(万元),86235,85567,90165,91103,83386,84183,85887,87709,81229,82245,50646,51705,45517,43792,37014,31515,23231,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,500,500,,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,,
长期股权投资(万元),952,956,977,977,1000,,,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,,
投资性房地产(万元),744,754,763,775,,,,,,,,,,,,,,
固定资产原值(万元),,12324,,12164,,10486,,10014,,9091,,9137,,8845,,,,
累计折旧(万元),,5770,,5332,,4662,,4285,,3862,,3564,,2894,,,,
固定资产净值(万元),,6554,,6832,,5824,,5730,,5229,,5573,,5952,,,,
固定资产减值准备(万元),,,,,,,,,,,,,,,,,,
固定资产(万元),,6554,,6832,6048,5824,5811,5730,5391,5229,5408,5573,5716,5952,6358,6396,3616,
在建工程(万元),,646,,259,119,267,287,336,155,142,158,94,126,61,51,50,126,
工程物资(万元),,,,,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,,
无形资产(万元),6057,6131,6202,6261,6328,6401,6474,6547,5198,5264,5320,5385,5516,5644,2774,2969,3169,
开发支出(万元),1051,1051,1051,1051,1031,1031,1031,1031,1008,1008,1016,981,928,914,703,650,628,
商誉(万元),1511,1511,1511,1511,1511,1511,1511,1511,,,,,,,,,,
长期待摊费用(万元),18,19,22,6,6,6,6,9,,,,,,,,,,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,
递延所得税资产(万元),356,354,376,376,313,287,279,280,260,254,269,261,255,261,189,141,82,
其他非流动资产(万元),1805,4213,1368,1368,,,27,28,1585,1690,1401,1497,1323,1217,3675,3278,721,
非流动资产合计(万元),23188,23189,20444,19916,16858,15328,15426,15472,13597,13588,13571,13792,13864,14048,13751,13485,8343,
资产总计(万元),109423,108756,110609,111019,100244,99512,101313,103181,94826,95833,64217,65497,59382,57840,50765,45000,31574,
短期借款(万元),400,460,600,,,,200,500,,1200,3400,3400,3660,3460,2800,2850,4500,
向中央银行借款(万元),,,,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,,,,,,
应付票据(万元),,70,,,,,,,,,,,,,,,,
