报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),28096,31998,25803,31901,28312,11831,23754,32982,17085,9629,23827,17543,15872,14191,14262,14385,
结算备付金(万元),,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,
应收票据(万元),526,402,,,,,,,,,,1800,36,459,,,
应收账款(万元),30409,30729,24310,28631,25844,27418,16809,17778,19354,18446,10196,14029,15780,16715,13152,11304,
预付款项(万元),7350,9770,9678,2139,3018,10051,2306,1529,3166,2070,3333,2590,2181,1225,866,1015,
应收保费(万元),,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,32,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,
其他应收款(万元),,3462,,3793,3845,3534,4061,2920,3235,3709,3478,2052,1884,1006,808,682,
应收出口退税(万元),,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,
存货(万元),36139,35475,30756,25937,28044,26727,31780,30608,36261,34971,31555,29121,19440,12295,8866,7049,
待摊费用(万元),,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,
其他流动资产(万元),845,707,5328,8008,5001,15001,15172,15000,15000,1,,148,,,,,
流动资产合计(万元),107989,112543,99957,100408,94063,94562,93882,100817,94133,68827,72389,67282,55194,45891,37953,34435,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,6500,6500,4500,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,
长期股权投资(万元),,,,,,,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,,,,
固定资产原值(万元),,2974,,2711,,1936,,2006,,,2196,2075,1968,2038,,,
累计折旧(万元),,1536,,1400,,1334,,1362,,,1479,1473,1315,1143,,,
固定资产净值(万元),,1437,,1312,,601,,644,,,717,602,653,895,,,
固定资产减值准备(万元),,,,,,,,,,,,,,,,,
固定资产(万元),,1437,,1312,660,601,604,644,643,656,717,602,653,895,931,941,
在建工程(万元),,93,,35,,,,,,,9,,,,,,
工程物资(万元),,,,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,
无形资产(万元),,73,30,32,33,34,35,37,25,27,29,32,32,36,36,29,
开发支出(万元),,,,,,,,,,,,,,,,,
商誉(万元),,,,,,,,,,,,,,,,,
长期待摊费用(万元),3099,2230,1482,719,434,215,216,223,237,41,53,58,39,74,110,16,
股权分置流通权(万元),,,,,,,,,,,,,,,,,
递延所得税资产(万元),243,244,207,241,238,249,154,162,188,182,136,195,181,169,118,92,
其他非流动资产(万元),,,,,,1000,,,,,,,,,,,
非流动资产合计(万元),13650,11078,14559,8838,7865,6599,1009,1065,1093,906,944,887,904,1174,1195,1078,
资产总计(万元),121639,123621,114516,109246,101928,101161,94891,101882,95226,69733,73333,68169,56098,47064,39149,35513,
短期借款(万元),15000,18000,15000,2000,4000,2700,,,1000,5000,7000,11000,11900,13050,12900,13600,
向中央银行借款(万元),,,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,,,,,
应付票据(万元),,,,,,,,,,,,37,405,514,348,568,
应付账款(万元),31302,31192,,34701,,27188,25467,31642,27664,24550,28050,21900,14060,8326,5667,4511,
预收账款(万元),3419,2600,3444,2511,3602,3337,3793,3244,3521,3052,4264,5953,309,37,18,317,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,,
应付职工薪酬(万元),162,116,152,135,135,129,140,131,106,120,134,98,53,84,121,95,
应交税费(万元),633,649,55,943,233,947,85,1193,302,1474,932,898,1067,1487,1052,933,
应付利息(万元),18,9,14,3,5,0,,,1,7,9,17,22,24,24,26,
应付股利(万元),,,,,,,,,,,,,,,,,
其他应交款(万元),,,,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,,,
其他应付款(万元),,925,,763,,807,778,690,800,534,529,492,443,520,629,578,
预提费用(万元),,,,,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,,,,,,,,,,
其他流动负债(万元),,,,,,,,,,,,,,,,,
流动负债合计(万元),51443,53491,45807,41055,35660,35108,30263,36900,33394,34738,40917,40396,28259,24043,20761,20628,
长期借款(万元),,,,,,,,,,,,,,,,,
应付债券(万元),,,,,,,,,,,,,,,,,
长期应付款(万元),,,,,,,,,,,,,,,,,
专项应付款(万元),,,,,,,,,,,,,,,,,
预计非流动负债(万元),,,,,,,,,,,,,,,,,
长期递延收益(万元),,,,,,,,,,,,,,,,,
递延所得税负债(万元),,,,,,,,,,,,,,,,,
其他非流动负债(万元),,,,,,,,,,,,,,,,,
非流动负债合计(万元),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
负债合计(万元),51443,53491,45807,41055,35660,35108,30263,36900,33394,34738,40917,40396,28259,24043,20761,20628,
实收资本(或股本)(万元),15680,15680,11200,11200,11200,11200,8000,8000,8000,6000,6000,6000,6000,6000,6000,4050,
资本公积(万元),16857,16857,21337,21337,21337,21337,24537,24537,24537,,,,,,,600,
减:库存股(万元),,,,,,,,,,,,,,,,,
专项储备(万元),,,,,,,,,,,,,,,,,
盈余公积(万元),4540,4540,4540,4540,4089,4089,4089,4089,3496,3496,3496,2961,2477,1996,1560,1155,
一般风险准备(万元),,,,,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,,,,
未分配利润(万元),31845,31532,30000,30465,28918,28754,27320,27664,25104,24771,22262,18176,18806,14486,10366,8834,
拟分配现金股利(万元),,,,,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,,,,,
归属于母公司股东权益合计(万元),68922,68609,67077,67541,65544,65379,63945,64289,61137,34267,31758,27137,27282,22482,17926,14638,
少数股东权益(万元),1275,1521,1632,649,724,674,683,693,695,729,658,636,557,539,462,247,
所有者权益(或股东权益)合计(万元),70196,70130,68709,68190,66268,66053,64628,64982,61832,34996,32416,27774,27839,23022,18388,14885,
负债和所有者权益(或股东权益)总计(万元),121639,123621,114516,109246,101928,101161,94891,101882,95226,69733,73333,68169,56098,47064,39149,35513,		
