报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),16610,33586,33434,31112,12810,20818,22160,53954,58110,46605,45050,43966,25394,23698,24896,28799,8713,9290,26212,10289,6122,10650,10415,6478,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,
应收票据(万元),6931,6778,7321,6225,21058,18677,22355,26430,18995,1256,1238,1164,857,969,973,1130,126,222,285,325,118,496,161,210,
应收账款(万元),110526,106278,100518,109802,100782,96146,73439,66570,64564,21033,20989,26361,24185,29522,22772,26884,22585,24937,19536,22666,17874,17284,13330,12435,
预付款项(万元),6639,5502,10319,6080,10066,7213,3921,1499,5347,1262,1819,1095,2447,2117,4148,2326,2507,1888,1292,1233,1515,838,666,496,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,67,,,,,,,143,75,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,,,,,,,,,
其他应收款(万元),,5125,,3674,3892,2877,2512,1994,2718,1972,1349,1053,1470,1396,1195,797,963,1091,1059,1202,1299,788,443,708,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,
存货(万元),24398,24734,21136,23403,20367,17378,16321,17011,21552,6216,6563,6055,7620,6042,6414,5865,3300,2674,3169,2156,1671,1598,2143,902,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产(万元),10823,10567,9735,1474,231,5,5,6,669,,179,7,,,1894,1899,14511,14113,,,,,,,
流动资产合计(万元),181508,192571,187237,181770,169205,163114,140713,167530,171955,78344,77188,79700,61975,63744,62434,67773,52706,54215,51554,37871,28600,31655,27157,21229,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,0,10497,10497,10497,10497,10497,10497,497,497,497,497,497,497,497,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资(万元),,,,,,,,,,,,,,,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产(万元),2762,2810,2845,2901,1786,1816,1372,1399,1425,1451,1477,1503,,,,,,,,,,,,,
固定资产原值(万元),,41447,,26934,,27176,,26021,,8358,,7813,,8842,,7995,,5690,,5656,5650,5622,5402,5361,
累计折旧(万元),,7548,,5926,,4686,,3340,,2407,,1983,,2490,,2128,,1798,,1994,1817,1615,1295,928,
固定资产净值(万元),,33899,,21007,,22490,,22681,,5951,,5831,,6352,,5867,,3892,,3661,3833,4008,4107,4433,
固定资产减值准备(万元),,0,,0,,1,,1,,,,,,,,,,,,,,,,,
固定资产(万元),,33899,,21007,22120,22490,22946,22681,22220,5951,5985,5831,6465,6352,6061,5867,3845,3892,3577,3661,3833,4008,4107,4433,
在建工程(万元),,52938,,24023,733,179,14,,493,493,269,54,340,160,274,108,,,,,,,,,
工程物资(万元),,,,,,,,,,,,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,
无形资产(万元),7710,7856,6762,6917,6953,7103,7258,6596,6850,370,304,314,324,285,288,296,15,17,18,19,22,25,8,13,
开发支出(万元),996,996,996,996,586,586,586,586,405,,,,,,,,,,,,,,,,
商誉(万元),107249,107249,107062,106968,106968,106968,106968,106968,108000,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,
长期待摊费用(万元),60,69,71,77,86,88,96,105,114,123,132,143,155,169,60,64,,44,48,52,60,67,3,5,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,,,,,,,,
递延所得税资产(万元),2629,2601,2771,3033,2246,2156,1907,2028,1892,617,611,672,554,579,506,580,329,377,333,391,246,259,268,184,
其他非流动资产(万元),16918,18506,11857,7312,7713,771,659,918,833,581,136,287,651,642,242,378,,,,,,,,,
非流动资产合计(万元),251644,237421,222835,183731,159687,152653,152303,151777,152729,10493,9821,9711,9396,9094,8337,8199,4599,4740,4386,4534,4571,4770,4795,5046,
资产总计(万元),433153,429992,410072,365501,328893,315768,293016,319308,324683,88837,87009,89412,71371,72837,70771,75973,57305,58955,55940,42405,33171,36425,31952,26275,
短期借款(万元),78749,71449,63185,43545,22187,16858,12000,20000,20000,,300,300,300,800,800,1600,,,,,,,,,
向中央银行借款(万元),,,,,,,,,,,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,
应付票据(万元),5485,10579,,1692,,1305,3010,4689,5178,,,,,,,10,,,,,,,,,
应付账款(万元),68710,62080,,38702,,39048,25775,27478,25606,5358,4895,6172,4504,3845,3442,5109,5046,4616,3642,5116,3614,3933,2524,1552,
预收账款(万元),4073,3992,7408,7507,4423,2575,2041,4408,4166,1322,1814,1509,1718,1261,1560,1192,622,489,797,585,242,390,1677,745,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,,,,,,,,,,
应付职工薪酬(万元),1410,1347,1145,2799,1101,1001,989,2554,1322,837,676,1642,881,802,853,1482,224,225,121,661,172,674,708,599,
应交税费(万元),2016,2161,3515,5224,4523,4546,3468,5699,1344,1057,89,2995,347,2128,465,2378,70,708,-56,2710,672,2040,1210,1283,
应付利息(万元),39,45,32,91,,94,94,94,260,,3,3,3,1,1,3,,,,1,1,1,2,2,
应付股利(万元),,,,1799,,2324,1536,1536,1536,1429,470,470,470,834,,,,,,,,,,,
其他应交款(万元),,,,,,,,,,,,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,,,,,,,,,,,
其他应付款(万元),,20889,,1779,5436,3060,1612,47392,70443,9841,9687,6730,200,233,273,251,151,162,281,190,96,109,62,40,
预提费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债(万元),16308,15417,15355,12293,9029,6029,29,77,120,192,264,287,287,287,287,287,287,287,287,287,287,287,287,287,
其他流动负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,
流动负债合计(万元),197409,187958,181094,115429,90477,76840,50554,113926,129975,20036,18198,20110,8710,10191,7682,12313,6401,6488,5073,9550,5085,7434,6469,4508,
长期借款(万元),7982,15911,12860,22722,18000,24000,30000,,,,,48,120,192,264,335,407,479,551,623,767,910,1198,1485,
应付债券(万元),,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款(万元),,,,,,,,,,,,,,,,,,,,,,,,,
专项应付款(万元),,,,,,,,,,,,,,,,,,,,,,,,,
预计非流动负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,
长期递延收益(万元),1922,1890,1445,1458,1267,1218,1232,1135,305,,,,,,,,,,,,,,,,
递延所得税负债(万元),1794,1848,1580,1630,1661,1710,1779,1844,2019,244,248,252,257,261,260,272,,,,,,,,,
其他非流动负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,
非流动负债合计(万元),12058,20009,16245,26170,21288,27288,33371,3339,2324,244,248,300,377,453,524,608,407,479,551,623,767,910,1198,1485,
负债合计(万元),209467,207967,197339,141599,111765,104128,83924,117266,132299,20280,18446,20410,9087,10644,8205,12921,6808,6967,5624,10173,5851,8345,7667,5993,
实收资本(或股本)(万元),35834,35834,35834,35259,35259,35259,35259,35259,35259,28374,28374,28374,28374,28374,8867,8867,8867,8867,8867,6650,6650,6650,6650,6650,
资本公积(万元),97257,97257,97257,108212,108212,108212,108212,108212,109837,445,445,445,445,445,19952,19952,19952,19952,19952,3493,3493,3493,3493,3493,
减:库存股(万元),,,,,,,,,,,,,,,,,,,,,,,,,
专项储备(万元),,,,,,,,,,,,,,,,,,,,,,,,,
盈余公积(万元),4984,4984,4984,4984,4019,4019,4019,4019,3689,3689,3689,3689,3016,3016,3016,3016,2490,2490,2490,2490,2108,2108,1586,1107,
一般风险准备(万元),,,,,,,,,,,,,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,
未分配利润(万元),74867,73899,65355,59256,54188,49404,45794,39855,30871,29823,29136,29667,24385,24248,24067,24643,19270,20759,19084,19671,15112,15885,12563,9052,
拟分配现金股利(万元),,,,,,,,,,,,,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,,,,,,,,,-43,,,-21,
归属于母公司股东权益合计(万元),212868,211899,203356,207635,201600,196819,193215,187265,179570,62246,61557,62094,56139,56008,55827,56401,50497,51987,50316,32231,27319,28080,24285,20282,
少数股东权益(万元),10818,10126,9377,16267,15528,14821,15877,14777,12814,6311,7006,6908,6146,6185,6738,6651,,,,,,,,,
所有者权益(或股东权益)合计(万元),223685,222025,212734,223902,217127,211640,209092,202042,192384,68557,68563,69002,62285,62193,62566,63052,50497,51987,50316,32231,27319,28080,24285,20282,
负债和所有者权益(或股东权益)总计(万元),433153,429992,410072,365501,328893,315768,293016,319308,324683,88837,87009,89412,71371,72837,70771,75973,57305,58955,55940,42405,33171,36425,31952,26275,		
