报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),33070,14374,21550,19991,21774,24162,27321,20121,16173,14913,
结算备付金(万元),,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,
应收票据(万元),140,38,2375,,,,4180,4794,4491,4907,
应收账款(万元),27585,30673,30237,,,,24875,21569,21648,18229,
预付款项(万元),1030,506,496,429,372,301,299,368,403,458,
应收保费(万元),,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,
应收利息(万元),,,,,,,,,,,
应收股利(万元),,,,,,,,,,,
其他应收款(万元),,810,1215,,,,2164,2768,13264,13216,
应收出口退税(万元),,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,
存货(万元),15237,16680,17557,19784,19956,16808,12098,9989,10488,10136,
待摊费用(万元),,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,
其他流动资产(万元),4176,5485,4259,3080,2161,713,251,403,432,632,
流动资产合计(万元),84560,70915,77690,75238,75767,76758,71187,60013,66899,62491,
发放贷款及垫款(万元),,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,
长期股权投资(万元),15225,14769,16174,15331,14662,15025,14183,471,,,
其他长期投资(万元),,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,
固定资产原值(万元),,80490,76199,,,,,,,,
累计折旧(万元),,25469,23040,,,,,,,,
固定资产净值(万元),,55022,53160,,,,,,,,
固定资产减值准备(万元),,,,,,,,,,,
固定资产(万元),,55022,53160,45388,44448,25245,21986,40642,41442,39236,
在建工程(万元),,21856,19123,12409,3109,8631,1152,683,157,,
工程物资(万元),,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,
油气资产(万元),,,,,,,,,,,
无形资产(万元),28971,27081,27322,27170,27306,16422,14163,14368,1375,1375,
开发支出(万元),,,,,,,,,,,
商誉(万元),404,404,404,404,404,404,404,404,142,142,
长期待摊费用(万元),2734,587,695,845,884,898,995,1129,1292,720,
股权分置流通权(万元),,,,,,,,,,,
递延所得税资产(万元),283,309,311,291,300,300,262,232,228,155,
其他非流动资产(万元),241,4038,2085,3945,4360,7907,2214,515,849,2111,
非流动资产合计(万元),125082,124066,119274,105783,95474,74832,55357,58444,45486,43739,
资产总计(万元),209641,194981,196963,181021,171241,151590,126544,118457,112385,106230,
短期借款(万元),,17000,18900,13900,13900,3000,,11875,1000,2142,
向中央银行借款(万元),,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,
应付票据(万元),22527,21653,25708,,,,15145,15180,10100,10800,
应付账款(万元),19191,21256,24561,,,,18413,14348,18236,16529,
预收账款(万元),641,532,193,328,291,684,315,370,521,434,
卖出回购金融资产款(万元),,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,
应付职工薪酬(万元),1483,1221,2259,1986,1653,2476,1504,2192,1821,1745,
应交税费(万元),755,2315,3485,2530,2535,3199,3164,3809,3367,2575,
应付利息(万元),,39,62,,,,,12,3,11,
应付股利(万元),,,,,,,,5358,,,
其他应交款(万元),,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,
其他应付款(万元),,139,139,,,,228,406,269,363,
预提费用(万元),,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,
递延收益(万元),,,,,,,,,,,
