报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),21780,27794,48878,34098,23496,19352,19627,33861,102929,39944,42162,48810,49850,28539,30097,35741,
结算备付金(万元),,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,
交易性金融资产(万元),38300,34100,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,
应收票据(万元),497,328,300,195,150,325,294,179,118,201,1883,36,380,10,,100,
应收账款(万元),22016,23378,26130,21107,21417,18196,23261,15520,18136,19880,21349,18942,19098,18362,18982,14431,
预付款项(万元),2947,3133,4125,2886,3112,2420,3452,1759,2270,2296,2004,1365,766,952,489,499,
应收保费(万元),,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,
应收利息(万元),,,,,,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,
其他应收款(万元),,3451,,4191,9220,5698,3543,3482,4136,3271,3712,4543,3304,5506,4544,3557,
应收出口退税(万元),,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,
存货(万元),2720,1823,1566,1749,1595,1212,990,522,152,454,162,159,927,702,,3617,
待摊费用(万元),,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,1,,,,
其他流动资产(万元),6866,6582,15527,42056,57619,66909,68427,71752,1504,1002,681,325,276,246,12014,76594,
流动资产合计(万元),97943,100588,99352,106281,116610,114111,119592,127076,129245,67048,71952,74180,74602,54316,66126,134539,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,
长期股权投资(万元),3504,3529,3179,625,609,591,577,556,546,536,494,442,434,120,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,1758,1820,1881,2005,2128,
