报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2018-12-31,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
货币资金(万元),287999,349897,141052,148957,158226,175024,133097,168060,264296,206366,
结算备付金(万元),,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,2474,,
衍生金融资产(万元),,,,,,,,,,,
应收票据(万元),,,28484,29343,72,22838,,,,,
应收账款(万元),391676,211413,217406,630437,561258,588772,,,,,
预付款项(万元),22130,60221,32766,18071,20928,22080,15347,16666,19631,1467,
应收保费(万元),,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,
应收利息(万元),,,,,,,,,,,
应收股利(万元),6077,5077,,5836,,,,,,,
其他应收款(万元),,69881,,45254,,,,,,,
应收出口退税(万元),,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,
存货(万元),10430,8678,15343,3875,93525,11489,7994,10647,13785,,
待摊费用(万元),,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,
其他流动资产(万元),86624,92514,97326,98834,98736,105503,129123,139837,104470,67114,
流动资产合计(万元),1109105,1257336,1028564,994567,1023504,1153090,753257,698042,572731,469187,
发放贷款及垫款(万元),,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,
长期应收款(万元),74787,74434,119690,75610,72836,81378,86554,81594,55687,17020,
长期股权投资(万元),66975,61956,55669,54393,54453,17003,12586,12974,12770,12762,
其他长期投资(万元),,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,
固定资产原值(万元),,2044503,,2001746,,,,,,,
累计折旧(万元),,351390,,306920,,,,,,,
固定资产净值(万元),,1693112,,1694826,,,,,,,
固定资产减值准备(万元),,,,,,,,,,,
固定资产(万元),,1693112,,1694826,,,1855795,1658260,978928,660473,
在建工程(万元),,53407,,78397,,,127511,243421,221936,78297,
工程物资(万元),,6447,,7496,,,,,,,
固定资产清理(万元),,,,,,,,,,,
生产性生物资产(万元),,,,,,,120,,,,
公益性生物资产(万元),,,,,,,,,,,
油气资产(万元),,,,,,,,,,,
